"run_uuid","name","step","train_loss","train_Accuracy","train_F1","valid_loss","valid_Accuracy","valid_Accuracy_seq","valid_F1"
"00409eb42d1442acb48bd70bea104448",UNet_v4_conv-no-skips-num_convs-3-2-f4-r16-ld64,0,0.190044345986491,0.780711242418249,0.7100154872012363,0.1554161112527458,0.8120316485969388,0.0,0.7310305955580944
"00409eb42d1442acb48bd70bea104448",UNet_v4_conv-no-skips-num_convs-3-2-f4-r16-ld64,1,0.1612068041215969,0.7980699498945147,0.7144377011144539,0.1502414567738163,0.8128089126275511,0.0,0.7319831428904507
"00409eb42d1442acb48bd70bea104448",UNet_v4_conv-no-skips-num_convs-3-2-f4-r16-ld64,2,0.15679430062509286,0.7988497577136076,0.7161713158803512,0.14588977594156655,0.8129484215561225,0.0,0.7317320950121479
"00409eb42d1442acb48bd70bea104448",UNet_v4_conv-no-skips-num_convs-3-2-f4-r16-ld64,3,0.15293652760768742,0.7997531810390295,0.7190884741754847,0.1437838799795326,0.8139449139030612,0.0,0.7349534236006352
"00409eb42d1442acb48bd70bea104448",UNet_v4_conv-no-skips-num_convs-3-2-f4-r16-ld64,4,0.15099531027020785,0.8005484407964135,0.7229631974095397,0.14318486987328044,0.813606106505102,0.0,0.737015036202114
"00409eb42d1442acb48bd70bea104448",UNet_v4_conv-no-skips-num_convs-3-2-f4-r16-ld64,5,0.14983590038391106,0.8009337091244726,0.7254318169370221,0.14294214516269918,0.8135861766581632,0.0,0.7349292062355783
"00409eb42d1442acb48bd70bea104448",UNet_v4_conv-no-skips-num_convs-3-2-f4-r16-ld64,6,0.14903648785523724,0.801639347639768,0.7278722546511531,0.14232236314184812,0.8136360012755102,0.0,0.7381765168531611
"00409eb42d1442acb48bd70bea104448",UNet_v4_conv-no-skips-num_convs-3-2-f4-r16-ld64,7,0.14838934732200224,0.8023192329245781,0.7303955302968426,0.14210527511883755,0.8134167729591837,0.0,0.7365157284149323
"00409eb42d1442acb48bd70bea104448",UNet_v4_conv-no-skips-num_convs-3-2-f4-r16-ld64,8,0.14756101706234212,0.8024603606276371,0.7322140797397767,0.14168035391033912,0.8136559311224489,0.0,0.7388028426224007
"00409eb42d1442acb48bd70bea104448",UNet_v4_conv-no-skips-num_convs-3-2-f4-r16-ld64,9,0.1469614066906619,0.8025911870385021,0.7335630475063681,0.14176673670204318,0.8131377551020408,0.0,0.7400693242463987
"00409eb42d1442acb48bd70bea104448",UNet_v4_conv-no-skips-num_convs-3-2-f4-r16-ld64,10,0.14629456143087477,0.8032896146492616,0.7360816326567918,0.14142493979663265,0.8136160714285714,0.0,0.7409560808673802
"00409eb42d1442acb48bd70bea104448",UNet_v4_conv-no-skips-num_convs-3-2-f4-r16-ld64,11,0.1459006601590899,0.8040611814345991,0.7377118057115836,0.14145759356265164,0.8141840720663265,0.0,0.7410967047677839
"00409eb42d1442acb48bd70bea104448",UNet_v4_conv-no-skips-num_convs-3-2-f4-r16-ld64,12,0.14525836247180585,0.8049924182489452,0.7404381498769534,0.14119503601473204,0.8140047034438775,0.0,0.7448657274872241
"00409eb42d1442acb48bd70bea104448",UNet_v4_conv-no-skips-num_convs-3-2-f4-r16-ld64,13,0.14472791624848852,0.8057052676687764,0.7422564596559279,0.14089834157909667,0.8128089126275511,0.0,0.7457243934503326
"00409eb42d1442acb48bd70bea104448",UNet_v4_conv-no-skips-num_convs-3-2-f4-r16-ld64,14,0.1450991550704095,0.8055486880274262,0.7417745221821233,0.14050487109592982,0.8141840720663265,0.0,0.7417309896219278
"00409eb42d1442acb48bd70bea104448",UNet_v4_conv-no-skips-num_convs-3-2-f4-r16-ld64,15,0.14421817564448727,0.8061986995648734,0.743691461242498,0.13937361279920657,0.8153400031887755,0.0,0.7469513418368497
"00409eb42d1442acb48bd70bea104448",UNet_v4_conv-no-skips-num_convs-3-2-f4-r16-ld64,16,0.14395661370726578,0.8067683610232067,0.7455116816185066,0.14031189984204817,0.8134566326530612,0.0,0.744986258467863
