epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.5091,0.0421,0.3996,0.6238,0.0423
1,0.6814,0.0218,0.7182,0.7860,0.0178
2,0.7449,0.0169,0.7978,0.8113,0.0198
3,0.7978,0.0125,0.8126,0.8524,0.0124
4,0.8372,0.0095,0.8246,0.8647,0.0109
