epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.9897,0.0003,0.9164,0.9289,0.0155
1,0.9901,0.0003,0.9285,0.9352,0.0191
2,0.9903,0.0003,0.9062,0.9236,0.0159
3,0.9899,0.0003,0.9269,0.9290,0.0227
4,0.9926,0.0002,0.9301,0.9359,0.0187
