epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.3046,0.0486,0.3550,0.3523,0.0596
1,0.4719,0.0264,0.5461,0.5691,0.0316
2,0.5396,0.0224,0.5559,0.6355,0.0231
3,0.5938,0.0188,0.4908,0.6398,0.0226
4,0.6364,0.0163,0.6865,0.7172,0.0197
