,famfold,rnadist_100,rnadist_200,rnadist_400,hc_100,hc_200,hc_400,samples_100,samples_200,samples_400
23s,0.232,0.384,0.33,0.283,0.335,0.382,0.293,0.323,0.29,0.351
telomerase,0.135,0.192,0.169,0.134,0.198,0.143,0.094,0.155,0.141,0.164
16s,0.305,0.278,0.291,0.342,0.287,0.234,0.329,0.357,0.267,0.319
5s,0.36,0.362,0.437,0.365,0.429,0.449,0.382,0.448,0.255,0.438
grp1,0.351,0.347,0.348,0.348,0.341,0.298,0.34,0.31,0.345,0.311
srp,0.161,0.289,0.265,0.224,0.287,0.252,0.201,0.29,0.24,0.154
RNaseP,0.358,0.395,0.346,0.382,0.381,0.392,0.427,0.386,0.362,0.401
tmRNA,0.302,0.296,0.29,0.331,0.281,0.287,0.324,0.312,0.301,0.329
tRNA,0.562,0.652,0.629,0.606,0.615,0.616,0.655,0.568,0.63,0.603
