train_loss,train_f1,val_loss,val_f1
0.14389825896438907,0.003568334835838013,0.14142034630412642,0.0035446739005088436
0.06198173152061842,0.10306853087099418,0.1023269103920978,0.14365586490705834
0.04571003697307433,0.2905128359469195,0.08089036189991494,0.3321065220355555
0.034773415112394394,0.4152570943016011,0.06993089849534243,0.43144104968637653
0.02956506474164583,0.4925543570241238,0.062476754536771255,0.478326011756399
0.025632256547273215,0.5435111923203862,0.05956670295285142,0.5095161842677001
0.023200982826430412,0.5734403858203809,0.05661253235100404,0.5136301865609191
0.02102974880392016,0.5965775741370175,0.0563232381220745,0.5260457227333803
0.019994841004579753,0.615970181055842,0.05483539621953083,0.5388318803442761
0.018846532377272338,0.6346681411786464,0.0534470515973542,0.5460781150899773
0.017695823763260395,0.6471671635889373,0.05399556427222231,0.5463829549421065
0.0168094993095403,0.6647353412292487,0.052629360856245394,0.5453895033610489
0.01633975373470556,0.670935597344798,0.05411313196401233,0.5528427720743619
0.015672010819475026,0.6824557024052339,0.05274588663292968,0.5528532714205721
0.014608438513478485,0.6938692019834037,0.05395276288947334,0.5463161863286391
