"run_uuid","name","best_epoch","arc_filters","arc_rank","arc_kernel","arc_stride_1","arc_stride_2","arc_num_conv1","arc_num_layers","arc_num_conv2","arc_latent_dim","arc_latent_volume","arc_skip","arc_encoder_blocks","best_epoch","train_loss","train_Accuracy","train_Accuracy_seq","train_F1","valid_loss","valid_Accuracy","valid_Accuracy_seq","valid_F1","test_loss","test_Accuracy","test_Accuracy_seq","test_F1"
"0e12d83b3bf5464f86ba37b49b96122b",A_nc-1-1encode-flat0-skip0,18,"8","0","3","2","2","1","2","0","0","512","0","1",18,0.035766458056301256,0.9659006625791139,0.0,0.965223671244955,0.03447793074408356,0.9663883131377551,0.0,0.9655934042397598,0.03586940136577549,0.9660897090517241,0.0,0.9653099823484608
"325c97ad6f8d40c5a1cc18bea49d4768",A_nc-1-1encode-flat1-skip0,18,"8","0","3","2","2","1","2","0","64","512","0","1",18,0.08464614893722383,0.8958621769514767,0.0,0.8867264504022759,0.11426054093302512,0.8544224330357143,0.0,0.8322664862566947,0.11060990919840746,0.8582048087284483,0.0,0.8402304228695756
"28af3ebd216b4911adad4dbc669372dc",A_nc-1-1encode-flat1-skip1,19,"8","0","3","2","2","1","0","1","64","512","1","1",19,0.012340950713795512,0.9910667194092827,0.03375527426160337,0.9910414707591603,0.01581907203915168,0.98388671875,0.0,0.9838271212965903,0.014173422731330683,0.987969760237069,0.004310344827586207,0.9879469263830946
c0aeb464ca4d49c1b7fbe760b2e4016f,A_nc-2-1encode-flat0-skip0,18,"8","0","3","2","2","2","2","0","0","256","0","1",18,0.04693409831966529,0.9446645487209916,0.0,0.943287750102501,0.045042787583506834,0.9433195153061225,0.0,0.9417895236377458,0.05193413543547022,0.9336190059267241,0.0,0.9318166504736163
"562fb08554004cbca6f5b4f1d3d7db40",A_nc-2-1encode-flat1-skip0,17,"8","0","3","2","2","2","2","0","64","256","0","1",17,0.10592231368213766,0.8611004664425106,0.0,0.8403124919790694,0.1279804773476659,0.8343231823979592,0.0,0.799732806612534,0.12633543834090233,0.8367035964439655,0.0,0.8063748418556724
cf5556ac2ebe4260b4b5b6283ae143f5,A_nc-2-1encode-flat1-skip1,18,"8","0","3","2","2","2","0","1","64","256","1","1",18,0.025288638199054744,0.9751635845200421,0.004746835443037975,0.974896390454822,0.03461315384020611,0.9607979910714286,0.0,0.9601384110017618,0.03495293714362999,0.9595989358836207,0.0,0.9590294714653191
e506ad9c844a416da23249953d8e6831,A_nc-3-1encode-flat0-skip0,19,"8","0","3","2","2","3","2","0","0","128","0","1",19,0.0893567435852083,0.874176926753692,0.0,0.8646809525186844,0.08782947397961909,0.8746811224489796,0.0,0.8651392210989775,0.0918944785050277,0.865545864762931,0.0,0.8551225273791417
c4f6b1747b944bc2abb9aeee6306f062,A_nc-3-1encode-flat1-skip0,19,"8","0","3","2","2","3","2","0","64","128","0","1",19,0.12419187628078561,0.8376021888185654,0.0,0.8067603291096882,0.1351639394249235,0.8227240114795918,0.0,0.7762144696683766,0.13376712542155694,0.822088833512931,0.0,0.7838969268058984
"259f204aec7847a0aff841610c232a52",A_nc-3-1encode-flat1-skip1,19,"8","0","3","2","2","3","0","1","64","128","1","1",19,0.09738906278011668,0.867743769778481,0.0,0.8548099606187763,0.10483298450708389,0.8545320471938775,0.0,0.8377673207265597,0.10720247055949836,0.8519665948275862,0.0,0.8349885457168478
"5d8b8a5c2c644d33b07c55a88ede612c",A_nc-4-1encode-flat0-skip0,18,"8","0","3","2","2","4","2","0","0","64","0","1",18,0.12463067222056509,0.8299297863924051,0.0,0.7986104840817686,0.1273196959982113,0.8245276626275511,0.0,0.7792852723363117,0.1292422910959556,0.8229727909482759,0.0,0.7828468627399502
d0938f1bd2224bd297f5171800e4d683,A_nc-4-1encode-flat1-skip0,15,"8","0","3","2","2","4","2","0","64","64","0","1",15,0.12676241585222478,0.8318715799709916,0.0,0.7967134349498379,0.13280955641245357,0.8237205038265306,0.0,0.7752626694312115,0.12927821920863514,0.8299434267241379,0.0,0.7935902792084866
cc33607b5ce64491b785361051b61557,A_nc-4-1encode-flat1-skip1,19,"8","0","3","2","2","4","0","1","64","64","1","1",19,0.12813275217821327,0.8336207393855485,0.0,0.800640838758715,0.13305722800444583,0.8256536989795918,0.0,0.778095581994467,0.13211247954389144,0.8283102101293104,0.0,0.7913140409936368
"4a0e6f1c44ef498fa50e913ade48b05b",A_nc-5-1encode-flat0-skip0,14,"8","0","3","2","2","5","2","0","0","32","0","1",14,0.13565943088335328,0.8169305857726793,0.0,0.7683149655467022,0.13741448491203542,0.8150809151785714,0.0,0.7505516344470314,0.1373484861747972,0.813788052262931,0.0,0.7579578018005174
c2060bb77453431e9b0000d0555bd8ca,A_nc-5-1encode-flat1-skip0,19,"8","0","3","2","2","5","2","0","64","32","0","1",19,0.13057398239645776,0.8285267503955697,0.0,0.78821375968189,0.13412169458306566,0.8242785395408163,0.0,0.7673302156905663,0.1329878162721108,0.826416015625,0.0,0.7805142656174625
"97263907a4364ded871019c3c5399ec9",A_nc-5-1encode-flat1-skip1,18,"8","0","3","2","2","5","0","1","64","32","1","1",18,0.13158054414051998,0.8253230485232067,0.0,0.784021932374499,0.13681539817123997,0.8187679368622449,0.0,0.7646704396616262,0.13517768141524544,0.821709994612069,0.0,0.7765384821504827
"54ce65a907e24537837b4dc8106b02c3",A_nc-6-1encode-flat0-skip0,13,"8","0","3","2","2","6","2","0","0","16","0","1",13,0.13958031775327676,0.8109826196598101,0.0,0.755465259799634,0.13547457769817237,0.8181202168367347,0.0,0.7571962869072729,0.13744177425215984,0.8161200161637931,0.0,0.7644322046543821
c698ef66c0cc45c68446737df31f9392,A_nc-6-1encode-flat1-skip0,18,"8","0","3","2","2","6","2","0","64","16","0","1",18,0.1362584580349017,0.821266399657173,0.0,0.7717025700975624,0.13706960453062642,0.8213289221938775,0.0,0.7603801868967618,0.138213692939487,0.8198999865301724,0.0,0.7694164505550892
fde1a668737d4fdc895da5a8c5ef58ff,A_nc-6-1encode-flat1-skip1,16,"8","0","3","2","2","6","0","1","64","16","1","1",16,0.13581169025681694,0.8183840981012658,0.0,0.7737806411386227,0.1348542540657277,0.8189473054846939,0.0,0.7593794873407764,0.1401209078472236,0.8116412984913793,0.0,0.7571926549733222
