train_loss,train_f1,val_loss,val_f1
0.08897487327456474,0.02122292433120149,0.14801574764507158,0.1264346625571762
0.04189765152521432,0.25533509155441936,0.07283657014902149,0.6475161581611666
0.029269371647387743,0.4294939002039924,0.05006783999768751,0.7580725412678873
0.02380149068776518,0.5026651276246783,0.04010110087692738,0.7947917418192291
0.02118525652680546,0.5387733197646845,0.03717312719672918,0.8114200547782122
0.018803827436640858,0.5766185465124818,0.034956118477774516,0.8163585731598448
0.01725097090471536,0.6005063506177156,0.03648578921066863,0.8189328166926262
0.015999108450487257,0.6241229124813014,0.03623177457068648,0.8359072170918267
0.015434844486881047,0.6401086255663696,0.03301368995702692,0.8402411543851498
0.013808544005732983,0.6629607747804767,0.03332229343109897,0.8367874293146637
0.01308325883699581,0.6791361283798666,0.03204409166771386,0.8367733055958759
0.012282354074995965,0.6961533342541018,0.03316662208443241,0.833588272603708
0.011573884808458388,0.7068647131226176,0.032814671112490555,0.8453138492602533
0.01066165256081149,0.724569229547903,0.03351501615584961,0.8410068553915527
0.010055496344575659,0.7371897068558729,0.033261989309851615,0.8444575541327943
