"run_uuid","name","step","train_loss","train_Accuracy","train_F1","valid_loss","valid_Accuracy","valid_Accuracy_seq","valid_F1"
"015ddc6d85064482b73887c92eb8481f",UNet-num_convs-2-3-stride-1-1,8,0.0005600041744716,0.9999948493539029,0.9999948472118737,0.0004726487980462,1.0,1.0,1.0
"015ddc6d85064482b73887c92eb8481f",UNet-num_convs-2-3-stride-1-1,9,0.000475195502184,0.9999948493539029,0.9999948472083003,0.0003643654131245,1.0,1.0,1.0
"015ddc6d85064482b73887c92eb8481f",UNet-num_convs-2-3-stride-1-1,10,0.0004046110914998,0.9999938192246836,0.9999938168678594,0.00027100526584,1.0,1.0,1.0
"015ddc6d85064482b73887c92eb8481f",UNet-num_convs-2-3-stride-1-1,11,0.0003188081066157,0.9999948493539029,0.9999948473736595,0.000220961197296,1.0,1.0,1.0
"015ddc6d85064482b73887c92eb8481f",UNet-num_convs-2-3-stride-1-1,12,0.000290504333612,0.9999958794831224,0.9999958778340058,0.0001893041252125,1.0,1.0,1.0
"015ddc6d85064482b73887c92eb8481f",UNet-num_convs-2-3-stride-1-1,13,0.0002347659087545,0.9999958794831224,0.999995877816132,0.0002433850625364,1.0,1.0,1.0
"015ddc6d85064482b73887c92eb8481f",UNet-num_convs-2-3-stride-1-1,14,0.000220158517051,0.9999958794831224,0.9999958777931216,0.0001675145601383,1.0,1.0,1.0
"015ddc6d85064482b73887c92eb8481f",UNet-num_convs-2-3-stride-1-1,15,0.0001983340114878,0.9999958794831224,0.9999958777669717,0.0001262877407016,1.0,1.0,1.0
"015ddc6d85064482b73887c92eb8481f",UNet-num_convs-2-3-stride-1-1,16,0.0001690570933522,0.9999958794831224,0.9999958778706959,0.0001359767343181,1.0,1.0,1.0
"015ddc6d85064482b73887c92eb8481f",UNet-num_convs-2-3-stride-1-1,17,0.0001588048196683,0.9999958794831224,0.9999958778463455,0.0001859987503255,1.0,1.0,1.0
"015ddc6d85064482b73887c92eb8481f",UNet-num_convs-2-3-stride-1-1,18,0.0001437373950758,0.9999958794831224,0.9999958767803659,0.0000874225511418,1.0,1.0,1.0
"015ddc6d85064482b73887c92eb8481f",UNet-num_convs-2-3-stride-1-1,19,0.0001251630966806,0.9999958794831224,0.999995877933193,0.0000992272352403,1.0,1.0,1.0
"04cb721e5c1b4640b1e2c4e4168952fd",UNet-num_convs-2-3-stride-2-2,0,0.15304247396781978,0.8199993407172996,0.7611826133883767,0.10966122560963339,0.8581792091836735,0.0,0.8297472000149271
