"run_uuid","name","best_epoch","arc_filters","arc_rank","arc_kernel","arc_stride_1","arc_stride_2","arc_num_conv1","arc_num_conv2","arc_skip_conn","hyp_lr","hyp_output_th","hyp_scheduler","best_epoch","train_loss","train_Accuracy","train_Accuracy_seq","train_F1","valid_loss","valid_Accuracy","valid_Accuracy_seq","valid_F1","test_loss","test_Accuracy","test_Accuracy_seq","test_F1"
b4c3d119991d412a9b2a56ce3fb9f2f7,UNet-num_convs-2-2-stride-1-1,19,"4","8","3","1","1","2","2",1,"0.001","0.5",none,19,0.0002339630911193,0.9999958794831224,0.9978902953586498,0.9999958777040171,0.0000867965298275,1.0,1.0,1.0,0.0000907113851632,1.0,1.0,1.0
e209e0896bd7446fb2e476b74bff4232,UNet-num_convs-2-2-stride-1-2,19,"4","8","3","1","2","2","2",1,"0.001","0.5",none,19,0.000096288011686,0.9999969096123418,0.9984177215189873,0.9999969083355779,0.000075682890643,1.0,1.0,1.0,0.0000773960681695,1.0,1.0,1.0
f65a8a6b1fb743cc92e316aec902e194,UNet-num_convs-2-2-stride-2-1,19,"4","8","3","2","1","2","2",1,"0.001","0.5",none,19,0.0929805735432649,0.887735487539557,0.0,0.8764826806058812,0.0891370347567967,0.8904257015306123,0.0,0.8785108045129951,0.09484832592565438,0.8823326373922413,0.0,0.868689964143315
b8b78e51b04b4384b5641104ab78312c,UNet-num_convs-2-2-stride-2-2,19,"4","8","3","2","2","2","2",1,"0.001","0.5",none,19,0.09361919352022405,0.8856144514767933,0.0,0.8735696599401683,0.0899619136233719,0.8894491390306123,0.0,0.8765698859821612,0.09584584138516722,0.8805310479525862,0.0,0.8665653483280902
"015ddc6d85064482b73887c92eb8481f",UNet-num_convs-2-3-stride-1-1,18,"4","8","3","1","1","2","3",1,"0.001","0.5",none,18,0.0001437373950758,0.9999958794831224,0.9978902953586498,0.9999958767803659,0.0000874225511418,1.0,1.0,1.0,0.000087155244822,1.0,1.0,1.0
"07e62c7b1bce4802936b78a3f22c07b6",UNet-num_convs-2-3-stride-1-2,18,"4","8","3","1","2","2","3",1,"0.001","0.5",none,18,0.0001269653887438,0.9999969096123418,0.9984177215189873,0.999996908294176,0.0000691363180819,1.0,1.0,1.0,0.0000702472002088,1.0,1.0,1.0
"5ea72884921242c2bb5e88b9281d8622",UNet-num_convs-2-3-stride-2-1,19,"4","8","3","2","1","2","3",1,"0.001","0.5",none,19,0.09284685015332599,0.8870236682489452,0.0,0.8754506604183637,0.08957973669986335,0.8909737723214286,0.0,0.8777319519003526,0.09552734653497565,0.8818864493534483,0.0,0.8677129225472733
"04cb721e5c1b4640b1e2c4e4168952fd",UNet-num_convs-2-3-stride-2-2,17,"4","8","3","2","2","2","3",1,"0.001","0.5",none,17,0.0932127720193018,0.8893682423523207,0.0,0.8782899367191928,0.0894732377967056,0.8923987563775511,0.0,0.8804709480553916,0.09455113986442829,0.8849087419181034,0.0,0.871968077266978
"0b795c61bbaa45f8abaaff1fa89f1009",UNet-num_convs-3-1-stride-1-1,18,"4","8","3","1","1","3","1",1,"0.001","0.5",none,18,0.0003704193005751,0.9999958794831224,0.9978902953586498,0.9999958776581584,0.0002138681415164,1.0,1.0,1.0,0.0002213188056665,1.0,1.0,1.0
db2b0c5602d74576adcf30bae38ee3ef,UNet-num_convs-3-1-stride-1-2,18,"4","8","3","1","2","3","1",1,"0.001","0.5",none,18,0.0002766887213787,0.9999958794831224,0.9978902953586498,0.9999958776581584,0.0001748273872571,1.0,1.0,1.0,0.0001835365968371,1.0,1.0,1.0
