train_loss,train_f1,val_loss,val_f1
0.16343569435706043,0.014356805258563523,0.1187633790075779,0.020195116309872505
0.05729871786980316,0.15614188668018011,0.10464637878796329,0.08196157143506469
0.049725674055140424,0.254706590139345,0.09886335051901962,0.11996357389620108
0.04228628367524256,0.30718221417464764,0.09986611740744632,0.13822577756270937
0.03974605353567937,0.32924052113938784,0.09813066740398822,0.15824017790800607
0.03865739849932266,0.3423794058930233,0.09940400860555794,0.15918277196303868
0.03758995805048582,0.3537146543216166,0.0972616072744131,0.16874954936473377
0.03597182343064836,0.3655309839218822,0.09959633060447548,0.16417989196528973
0.0362913730375544,0.37171455072423504,0.0992482124949279,0.16245959030392723
0.034505522198448275,0.38205111842320116,0.10232771594563256,0.16255317049914936
0.03391198707612777,0.39022013496512514,0.10036493105732876,0.16828831174956319
0.03406315368383822,0.3885040041432771,0.10012203067865061,0.16750940425057906
0.03429703418203075,0.39809497305780234,0.09588132359735344,0.17534721403949027
0.033147103764643575,0.3987069627487685,0.10415221010537251,0.1623511018914478
0.03234963623261211,0.4108565222032793,0.1045020766556263,0.16656901778469166
