run_name,test_file,arc_num_params,arc_num_conv,arc_pool_mode,arc_up_mode,arc_addition,arc_skip,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
unet-4-8-8-8-8-nc-1-pool-max-up-transpose-skip1-add-sum,test_0.csv,2256,1,max,transpose,sum,1,0.009257607126632069,0.012898891413470313,0.009778589560200685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
unet-4-8-8-8-8-nc-1-pool-max-up-transpose-skip0,test_0.csv,2256,1,max,transpose,sum,0,0.1314584166597465,0.13252280804575706,0.13850007064897438,0.7762577787658784,0.7908600044872686,0.7664775672866663,0.8256578405195147,0.8203224649234694,0.8138722386853449,0.0,0.0,0.0
unet-4-8-8-8-8-nc-1-pool-max-up-upsample-skip1-add-sum,test_0.csv,1808,1,max,upsample,sum,1,0.0016565620553515702,0.0006121013412128526,0.00040548162385299483,0.9996609794869162,0.9995144445528066,0.9997641075760335,0.9995148091376582,0.9996611926020408,0.9997642780172413,0.7531645569620253,0.826530612244898,0.8793103448275862
unet-4-8-8-8-8-nc-1-pool-max-up-upsample-skip0,test_0.csv,1604,1,max,upsample,sum,0,0.1384273453100824,0.13393697218627346,0.14072030371633068,0.7622237253411275,0.7554941880398351,0.7464644581710547,0.8064253279931435,0.8132274394132653,0.8008317618534483,0.0,0.0,0.0
unet-4-8-8-8-8-pool-avg-up-transpose-skip1-add-sum,test_0.csv,3888,2,avg,transpose,sum,1,0.0010544194464492198,0.00027946710980934455,6.190301459794463e-05,1.0,0.9999979389296991,1.0,0.9999979397415611,1.0,1.0,0.9989451476793249,1.0,1.0
unet-4-8-8-8-8-pool-avg-up-transpose-skip0,test_0.csv,3888,2,avg,transpose,sum,0,0.13467554683612368,0.1341756367865874,0.13836033051383906,0.758188631385441,0.7726978373910162,0.7593265159595591,0.818966121110232,0.8173130580357143,0.8136365167025862,0.0,0.0,0.0
unet-4-8-8-8-8-pool-avg-up-upsample-skip1-add-sum,test_0.csv,3440,2,avg,upsample,sum,1,0.0007526962652087521,0.00012245946508839404,0.00013072371094212626,0.9998504295588844,0.9998093049670839,0.9998399234698665,0.9998094260944093,0.9998505261479592,0.9998400457974138,0.9029535864978903,0.923469387755102,0.9181034482758621
unet-4-8-8-8-8-pool-avg-up-upsample-skip0,test_0.csv,3236,2,avg,upsample,sum,0,0.13685754171026407,0.1333845061611156,0.13943977808130198,0.7653572593297506,0.7648488816933805,0.7604910375403159,0.811573913831751,0.8157784598214286,0.8092756600215517,0.0,0.0,0.0
unet-4-8-8-8-8-pool-max-up-transpose-skip1-add-sum,test_0.csv,3888,2,max,transpose,sum,1,0.0007831266622570145,7.803188901209292e-05,5.849115191738057e-05,1.0,0.9999958794831224,1.0,0.9999958794831224,1.0,1.0,0.9989451476793249,1.0,1.0
unet-4-8-8-8-8-pool-max-up-transpose-skip0,test_0.csv,3888,2,max,transpose,sum,0,0.1335617660658772,0.13544099169726276,0.14091065037867118,0.7588080217885793,0.7744429513095491,0.7535659127026563,0.820040545886076,0.8153300382653061,0.8076508620689655,0.0,0.0,0.0
unet-4-8-8-8-8-pool-max-up-upsample-skip1-add-sum,test_0.csv,3440,2,max,upsample,sum,1,0.000753281368585554,0.0001411879514177729,0.00014480177613787135,0.9998404599436522,0.9997917827914121,0.9998399234698665,0.9997919138976793,0.9998405612244898,0.9998400457974138,0.8939873417721519,0.9183673469387755,0.9181034482758621
unet-4-8-8-8-8-pool-max-up-upsample-skip0,test_0.csv,3236,2,max,upsample,sum,0,0.14039308277552137,0.13511555550657972,0.14213525208419767,0.7399493687229663,0.7336214421865757,0.723746513568087,0.8028136949498945,0.8131875797193877,0.8024733970905172,0.0,0.0,0.0
