name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
23s_S.aureus_domain6,0.3333333333333333,0.2328767123287671,0.27419354838709675,0.27419354838709675,rnadist_100,23s
23s_T.thermophilus_domain3,0.5360824742268041,0.5048543689320388,0.5451041571074607,0.5199999999999999,rnadist_100,23s
23s_E.coli_domain3,0.4489795918367347,0.4,0.4615384615384615,0.42307692307692313,rnadist_100,23s
23s_H.pylori_domain3,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,rnadist_100,23s
23s_B.subtilis_domain4,0.42168674698795183,0.36082474226804123,0.39999999999999997,0.3888888888888889,rnadist_100,23s
23s_S.aureus_domain4,0.19791666666666666,0.19791666666666666,0.19791666666666666,0.19791666666666666,rnadist_100,23s
23s_T.thermophilus_domain6,0.6029411764705882,0.5540540540540541,0.5774647887323944,0.5774647887323944,rnadist_100,23s
23s_E.coli_domain6,0.3787878787878788,0.3424657534246575,0.3597122302158274,0.3597122302158274,rnadist_100,23s
23s_B.subtilis_domain3,0.26881720430107525,0.2336448598130841,0.2852626031969085,0.25,rnadist_100,23s
23s_H.pylori_domain6,0.26666666666666666,0.23529411764705882,0.25,0.25,rnadist_100,23s
23s_B.subtilis_domain6,0.5423728813559322,0.43243243243243246,0.48120300751879697,0.48120300751879697,rnadist_100,23s
23s_T.thermophilus_domain4,0.3953488372093023,0.35789473684210527,0.3756906077348066,0.3756906077348066,rnadist_100,23s
23s_E.coli_domain4,0.4939759036144578,0.422680412371134,0.47258929739631034,0.45555555555555555,rnadist_100,23s
23s_S.aureus_domain3,0.44036697247706424,0.4444444444444444,0.4516129032258065,0.4423963133640553,rnadist_100,23s
23s_H.pylori_domain4,0.44,0.4888888888888889,0.47861271676300576,0.4631578947368421,rnadist_100,23s
