name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
grp1_a.I1.e.L.dispersa.UNK.SSU.516,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_s.I1.e.T.thermophila.C1.LSU.1925.schem,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.789,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.e.P.pachydermus.C1.SSU.943,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.e.P.clavariiformis.C1.SSU.943,0.14285714285714285,0.01,0.018691588785046728,0.018691588785046728,rnadist_400,grp1
grp1_a.I1.e.L.dispersa.UNK.SSU.1210,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.e.S.sclerotiorum_1837.C1.LSU.798,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.e.P.macrosporus.C1.SSU.1506,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.m.M.grisea.B2.ND1,0.4,0.09230769230769231,0.15,0.15,rnadist_400,grp1
grp1_a.I1.b.Synechococcus.sp2.C3.tLEU,0.38461538461538464,0.06578947368421052,0.11235955056179775,0.11235955056179775,rnadist_400,grp1
grp1_a.I1.b.Dermocarpa.sp.ATCC29371.C3.tMET,0.8,0.05194805194805195,0.0975609756097561,0.0975609756097561,rnadist_400,grp1
grp1_a.I1.e.C.ellipsoidea.IAMC-87.C1.SSU.1506,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.e.C.merochlorophea.UNK.SSU.1046,0.75,0.0821917808219178,0.14814814814814814,0.14814814814814814,rnadist_400,grp1
grp1_a.I1.e.Staurastrum.sp.M753.C1.SSU.1506,0.75,0.025,0.048387096774193554,0.048387096774193554,rnadist_400,grp1
grp1_a.I1.e.S.paniceum.UNK.SSU.1506,0.7142857142857143,0.07462686567164178,0.13513513513513511,0.13513513513513511,rnadist_400,grp1
grp1_a.I1.e.P.macrosporus.C1.SSU.943,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.e.S.paniceum.UNK.SSU.287,0.4444444444444444,0.05970149253731343,0.10526315789473685,0.10526315789473685,rnadist_400,grp1
grp1_a.I1.e.A.capsulatus.G184B.C1.SSU,0.42857142857142855,0.025210084033613446,0.047619047619047616,0.047619047619047616,rnadist_400,grp1
grp1_a.I1.c.S.bicolor.C3.tLEU,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_b.I1.e.M.anisopliae.2.C1.LSU.1921,0.6666666666666666,0.0380952380952381,0.07207207207207207,0.07207207207207207,rnadist_400,grp1
grp1_b.I1.e.T.thermophila.C1.LSU.1925,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.e.C.merochlorophea.UNK.SSU.1389,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.e.M.caldariorum.C1.SSU.1506,0.0,0.0,0.0,0.0,rnadist_400,grp1
grp1_a.I1.e.C.grayi.UNK.SSU.1046,0.42857142857142855,0.04,0.07317073170731708,0.07317073170731708,rnadist_400,grp1
grp1_b.I1.e.C.saccharophila.C1.SSU.156,0.0,0.0,0.0,0.0,rnadist_400,grp1
