run_name,exp,run,arc_features,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
mlp_f64_64_64,SimpleMLP_cd-hit0_full,mlp_f64_64_64,"[64, 64, 64]",172736,0.08285663168256481,0.10257996193000249,0.08071986479418618,0.6230365183868477,0.6904853928385614,0.6547588991212082,0.664033881837903,0.6224323216873137,0.6629636938286984,0.0,0.0,0.0
mlp_f32_64_64,SimpleMLP_cd-hit0_full,mlp_f32_64_64,"[32, 64, 64]",105120,0.08700962411239743,0.10252183569329125,0.08147408493927547,0.6011668376889332,0.6552794469019986,0.6455430888561533,0.6523792535236292,0.6306750210430809,0.6523771662909031,0.0,0.0,0.0
mlp_f32_32_64,SimpleMLP_cd-hit0_full,mlp_f32_32_64,"[32, 32, 64]",102016,0.0755818581674248,0.10161046790225166,0.07968827124152865,0.6464585351517053,0.7175956007858281,0.651418467982076,0.7004143056544252,0.6396495795979292,0.659781516342415,0.010091145833333334,0.014642857015132904,0.0
mlp_f32_32_32,SimpleMLP_cd-hit0_full,mlp_f32_32_32,"[32, 32, 32]",84576,0.07703400768029194,0.09761977727924075,0.07993799128702708,0.6117585385854069,0.690796484489645,0.6610274060378741,0.6797627931896986,0.6398735285789116,0.6695566179962454,0.0,0.0,0.0
mlp_f16_64_64,SimpleMLP_cd-hit0_full,mlp_f16_64_64,"[16, 64, 64]",71312,0.08328713305915396,0.11018936336040497,0.08746787692819323,0.6024939352247907,0.6414114168203612,0.6401641062698751,0.6398105982781664,0.5881185213025996,0.6364511428153312,0.0,0.0,0.0
mlp_f16_32_64,SimpleMLP_cd-hit0_full,mlp_f16_32_64,"[16, 32, 64]",68720,0.08369912020862103,0.10986056391681943,0.08371252034391675,0.5781632119042358,0.648562895145927,0.637444060123255,0.6412325235513904,0.5971701955078771,0.6531128889954678,0.0,0.0,0.0
mlp_f16_32_32,SimpleMLP_cd-hit0_full,mlp_f16_32_32,"[16, 32, 32]",51280,0.07671475790751477,0.09955120512417384,0.07954942009278707,0.6190050776692887,0.6937945013592387,0.6390831093176274,0.6848863787532823,0.6392446348504764,0.6655672547616177,0.0,0.0,0.0
mlp_f16_16_64,SimpleMLP_cd-hit0_full,mlp_f16_16_64,"[16, 16, 64]",67424,0.0772127415984869,0.10108791930334908,0.0851120895573071,0.5943287408958178,0.6812022566570458,0.6194030730732655,0.6719050103593509,0.6299697984234195,0.6406656038221535,0.0,0.0,0.0
mlp_f16_16_32,SimpleMLP_cd-hit0_full,mlp_f16_16_32,"[16, 16, 32]",50496,0.0864619583201905,0.10982272773981094,0.07900905396257128,0.6117488974137316,0.6789746331815655,0.6672743882188407,0.6738415208269157,0.6311741779132257,0.6771892900323907,0.0,0.0,0.0
mlp_f16_16_16,SimpleMLP_cd-hit0_full,mlp_f16_16_16,"[16, 16, 16]",42032,0.09498873011519511,0.11427269237382072,0.08223627933434077,0.5365431183794622,0.6035301573478475,0.6444863750372375,0.6148121684020867,0.5851953884639964,0.6578511227298635,0.0,0.0,0.0
mlp_f8_64_64,SimpleMLP_cd-hit0_full,mlp_f8_64_64,"[8, 64, 64]",54408,0.08554245857521892,0.11171808945281166,0.08737224979060036,0.5632163785811034,0.6405070866683945,0.6096042802001548,0.6276445625156,0.58708056217203,0.6386612706984076,0.0,0.0,0.0
mlp_f8_32_64,SimpleMLP_cd-hit0_full,mlp_f8_32_64,"[8, 32, 64]",52072,0.08218015870079398,0.1099621057510376,0.08917940301554543,0.5840404401792754,0.6473215661814218,0.6228943076429837,0.6442726283026767,0.5903602366234774,0.6280604842342213,0.0013020833333333333,0.006696428571428571,0.0
mlp_f8_32_32,SimpleMLP_cd-hit0_full,mlp_f8_32_32,"[8, 32, 32]",34632,0.08539750908191006,0.11016040827546801,0.09038618526288442,0.5633379352961275,0.6440224906707014,0.6102448661040122,0.6294848030278083,0.5840840712093885,0.62717982094805,0.0,0.0,0.0
mlp_f8_16_64,SimpleMLP_cd-hit0_full,mlp_f8_16_64,"[8, 16, 64]",50904,0.07978160725906491,0.1010247256074633,0.08340837167842048,0.609367178878756,0.6760305669658685,0.6275757049723139,0.6601911372503301,0.6239192967818606,0.646534142777098,0.0,0.0,0.0
mlp_f8_16_32,SimpleMLP_cd-hit0_full,mlp_f8_16_32,"[8, 16, 32]",33976,0.07850310780728857,0.10720399234976087,0.08810558915138245,0.5762883052077837,0.6638122792972452,0.6214195301546633,0.6563447818705431,0.6036604759096551,0.631763531830218,0.0,0.0,0.0
mlp_f8_16_16,SimpleMLP_cd-hit0_full,mlp_f8_16_16,"[8, 16, 16]",25512,0.0884276785266896,0.10704531520605087,0.08002599541630064,0.6081592978424345,0.6683862599115534,0.6555840180231053,0.6624870739689129,0.6304672696829393,0.6630574752696933,0.0,0.0,0.0
mlp_f8_8_64,SimpleMLP_cd-hit0_full,mlp_f8_8_64,"[8, 8, 64]",50320,0.07505046048512061,0.1007384295974459,0.08303018765790122,0.6275170584168376,0.7102742421583618,0.6522031289095166,0.6853678951647783,0.6351992970315887,0.6595047962361286,0.0,0.0,0.0
mlp_f8_8_32,SimpleMLP_cd-hit0_full,mlp_f8_8_32,"[8, 8, 32]",33648,0.08162044803611934,0.10281507670879364,0.08086276373692922,0.6216095453798588,0.6777585524993777,0.6388220197147693,0.674320884318884,0.6353026864717429,0.6545610429440477,0.0003255208333333333,0.0,0.0
mlp_f8_8_16,SimpleMLP_cd-hit0_full,mlp_f8_8_16,"[8, 8, 16]",25312,0.09119599390154083,0.11068608292511531,0.08236507645675115,0.6073627792674495,0.6685133469636443,0.6384277416249339,0.6587294067907147,0.6248784518079752,0.6609756065872906,0.0,0.0,0.0
