train_loss,train_f1,val_loss,val_f1
0.19758737898605355,0.0021607427929490994,0.07648529937683508,0.0
0.08263416203149294,0.03747917230478694,0.06323943206847742,0.021719351570440994
0.0662824881847127,0.16170034947900963,0.05021740669577286,0.183362740738605
0.05306835081112587,0.2873089210024385,0.04037351854916277,0.3071496568210714
0.043576491270530024,0.385156758573511,0.033375835206745,0.3705723319421722
0.03827649250752845,0.44138271878559715,0.029161669715339768,0.41639807909815263
0.03340167036059044,0.48704336411466537,0.026551733435741787,0.44844209081978587
0.03092070040687666,0.5204988779928201,0.02490183153864125,0.4575661982400828
0.027929696191291688,0.545952424186348,0.023563925787035762,0.5036929966444735
0.02737446788351162,0.5630253923968469,0.022691184574545456,0.49597473909491585
0.025106871137553353,0.5810275929999076,0.022004150408159555,0.5232372437822563
0.024413378064725863,0.5987636897819549,0.021545737395705335,0.5265789193058126
0.022400444483984323,0.6109160336997603,0.02131620315224703,0.555098356578943
0.02211185162729126,0.6217968224707291,0.021040989094060557,0.5672526409851012
0.02113605129643012,0.6367348657196251,0.020606713987694217,0.5499491898501233
