epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.3147,0.0558,0.4190,0.4231,0.0504
1,0.4480,0.0316,0.4389,0.4434,0.0484
2,0.5138,0.0266,0.5740,0.6097,0.0295
3,0.5541,0.0233,0.5863,0.6227,0.0282
