run_name,arc_features,arc_encoder_blocks,arc_num_params,arc_latent_volume,arc_num_conv,arc_skip,train_swaps,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
nc_2_n4_3_n8_1_skip1_noise0.95,"[4, 4, 4, 4, 8]",4,1556,64.0,2,1,0.95,0.15017326990095506,0.1404454054740759,0.14773731529712678,0.3221450689464206,0.34083538610176456,0.32382066325492753,0.34083538610176456,0.3221450689464206,0.32382066325492753,0.0,0.0,0.0
nc_2_n4_3_n8_1_skip0_noise0.95,"[4, 4, 4, 4, 8]",4,1364,64.0,2,0,0.95,0.1517192849091121,0.1416116597560736,0.1495498885711034,0.305224873364942,0.31215954181481814,0.28259944923876756,0.31215954181481814,0.305224873364942,0.28259944923876756,0.0,0.0,0.0
nc_2_n4_3_n8_1_skip1_noise0.85,"[4, 4, 4, 4, 8]",4,1556,64.0,2,1,0.85,0.14892819141890823,0.1252323887669123,0.13269925316174824,0.5203207395939411,0.3550601312651938,0.5047012113193822,0.3550601312651938,0.5203207395939411,0.5047012113193822,0.0,0.0,0.0
nc_2_n4_3_n8_1_skip0_noise0.85,"[4, 4, 4, 4, 8]",4,1364,64.0,2,0,0.85,0.1515401417718214,0.14149668125005868,0.14952338735262552,0.30464381171354366,0.3135166531140884,0.2841605049194078,0.3135166531140884,0.30464381171354366,0.2841605049194078,0.0,0.0,0.0
nc_2_n4_3_n8_1_skip1_noise0.75,"[4, 4, 4, 4, 8]",4,1556,64.0,2,1,0.75,0.14332343387503585,0.08799978861441979,0.09485239535570145,0.968877998273051,0.4297040158680471,0.9492358211650062,0.4297040158680471,0.968877998273051,0.9492358211650062,0.0,0.0,0.0
nc_2_n4_3_n8_1_skip0_noise0.75,"[4, 4, 4, 4, 8]",4,1364,64.0,2,0,0.75,0.14996508765621347,0.14057050702663568,0.14829672475655872,0.3310993087730087,0.3496353446008975,0.31539426990113184,0.3496353446008975,0.3310993087730087,0.31539426990113184,0.0,0.0,0.0
nc_2_n4_3_n8_1_skip1_noise0.65,"[4, 4, 4, 4, 8]",4,1556,64.0,2,1,0.65,0.1333629900292188,0.06370061492690673,0.06765411471327146,0.9865703583660205,0.5112125636436454,0.9768626683633612,0.5112125636436454,0.9865703583660205,0.9768626683633612,0.0,0.0,0.0
nc_2_n4_3_n8_1_skip0_noise0.65,"[4, 4, 4, 4, 8]",4,1364,64.0,2,0,0.65,0.15045107237431182,0.1414781384743177,0.14953230023384095,0.30661445976583496,0.3254267060001244,0.2851325674019894,0.3254267060001244,0.30661445976583496,0.2851325674019894,0.0,0.0,0.0
nc_2_n4_3_n8_1_skip1_noise0.55,"[4, 4, 4, 4, 8]",4,1556,64.0,2,1,0.55,0.12184151775446259,0.04683948107636892,0.04919251377383868,0.9877204490158628,0.583987448287522,0.9926125207875777,0.583987448287522,0.9877204490158628,0.9926125207875777,0.0,0.0,0.0
nc_2_n4_3_n8_1_skip0_noise0.55,"[4, 4, 4, 4, 8]",4,1364,64.0,2,0,0.55,0.1509551822888751,0.1414549511212569,0.14893241127332052,0.3081326872475178,0.322333926388211,0.2838449033802324,0.322333926388211,0.3081326872475178,0.2838449033802324,0.0,0.0,0.0
nc_2_n4_2_n8_1_skip1_noise0.95,"[4, 4, 4, 8]",3,1268,128.0,2,1,0.95,0.15140978265710237,0.1386037331361037,0.14578045010566712,0.3461942108856331,0.3089104502561826,0.3799063370260537,0.3089104502561826,0.3461942108856331,0.3799063370260537,0.0,0.0,0.0
nc_2_n4_2_n8_1_skip0_noise0.95,"[4, 4, 4, 8]",3,1124,128.0,2,0,0.95,0.15084149782397166,0.14108049181791452,0.1493578126033147,0.3116452921823427,0.3218704697276038,0.28095433261327757,0.3218704697276038,0.3116452921823427,0.28095433261327757,0.0,0.0,0.0
nc_2_n4_2_n8_1_skip1_noise0.85,"[4, 4, 4, 8]",3,1268,128.0,2,1,0.85,0.1499951458027383,0.12752549407573846,0.1348871648311615,0.5258820609575092,0.33331440319898686,0.5024977299660041,0.33331440319898686,0.5258820609575092,0.5024977299660041,0.0,0.0,0.0
nc_2_n4_2_n8_1_skip0_noise0.85,"[4, 4, 4, 8]",3,1124,128.0,2,0,0.85,0.1501436010629189,0.14033990296033713,0.14863903025786082,0.3305879829432452,0.33225271401545803,0.3041061019213591,0.33225271401545803,0.3305879829432452,0.3041061019213591,0.0,0.0,0.0
nc_2_n4_2_n8_1_skip1_noise0.75,"[4, 4, 4, 8]",3,1268,128.0,2,1,0.75,0.14516008851908835,0.1004856234559646,0.10627704213062922,0.7648466343566007,0.39376349575141656,0.7535020628080269,0.39376349575141656,0.7648466343566007,0.7535020628080269,0.0,0.0,0.0
nc_2_n4_2_n8_1_skip0_noise0.75,"[4, 4, 4, 8]",3,1124,128.0,2,0,0.75,0.15060234483049698,0.14054036140441895,0.14839754005273184,0.3339144747390861,0.3272029652512796,0.3139833287795684,0.3272029652512796,0.3339144747390861,0.3139833287795684,0.0,0.0,0.0
nc_2_n4_2_n8_1_skip1_noise0.65,"[4, 4, 4, 8]",3,1268,128.0,2,1,0.65,0.13280130960360295,0.06164959216347107,0.06540777037541072,0.9897815051051178,0.5104007032483207,0.9905139421292546,0.5104007032483207,0.9897815051051178,0.9905139421292546,0.0,0.0,0.0
nc_2_n4_2_n8_1_skip0_noise0.65,"[4, 4, 4, 8]",3,1124,128.0,2,0,0.65,0.15000589204435588,0.13900583409346068,0.14730904698371888,0.3508096912821933,0.34135111799895895,0.327019030601826,0.34135111799895895,0.3508096912821933,0.327019030601826,0.0,0.0,0.0
nc_2_n4_2_n8_1_skip1_noise0.55,"[4, 4, 4, 8]",3,1268,128.0,2,1,0.55,0.12935962177374782,0.07087159844545218,0.075083560248216,0.8901913355586946,0.5262410196028515,0.8823574910809949,0.5262410196028515,0.8901913355586946,0.8823574910809949,0.0,0.0,0.0
nc_2_n4_2_n8_1_skip0_noise0.55,"[4, 4, 4, 8]",3,1124,128.0,2,0,0.55,0.14951370593880406,0.13721955452974027,0.14545028706391652,0.38115226376497674,0.35325380461573297,0.36030024364715324,0.35325380461573297,0.38115226376497674,0.36030024364715324,0.0,0.0,0.0
nc_2_n4_1_n8_1_skip1_noise0.95,"[4, 4, 8]",2,980,256.0,2,1,0.95,0.15117141867385192,0.1379416023309414,0.1453575591246287,0.4361943857743501,0.3121035339339844,0.43350346621540203,0.3121035339339844,0.4361943857743501,0.43350346621540203,0.0,0.0,0.0
nc_2_n4_1_n8_1_skip0_noise0.95,"[4, 4, 8]",2,884,256.0,2,0,0.95,0.15137288926028403,0.14073743269993708,0.14854523440202078,0.29862560705144986,0.3103201958315551,0.2804031321353849,0.3103201958315551,0.29862560705144986,0.2804031321353849,0.0,0.0,0.0
nc_2_n4_1_n8_1_skip1_noise0.85,"[4, 4, 8]",2,980,256.0,2,1,0.85,0.1498703939073226,0.12374360057023856,0.13124577502409618,0.5716307144817458,0.3402445388178185,0.5241980833936994,0.3402445388178185,0.5716307144817458,0.5241980833936994,0.0,0.0,0.0
nc_2_n4_1_n8_1_skip0_noise0.85,"[4, 4, 8]",2,884,256.0,2,0,0.85,0.15087335149781042,0.13833901286125183,0.14611721734205882,0.37423236695169965,0.3181294820359188,0.3583002346492275,0.3181294820359188,0.3742323669516996,0.3583002346492275,0.0,0.0,0.0
nc_2_n4_1_n8_1_skip1_noise0.75,"[4, 4, 8]",2,980,256.0,2,1,0.75,0.14359705901446462,0.09448125213384628,0.10089396884044012,0.8058663876254925,0.4064488993297153,0.7948093062582016,0.4064488993297153,0.8058663876254925,0.7948093062582016,0.0,0.0,0.0
nc_2_n4_1_n8_1_skip0_noise0.75,"[4, 4, 8]",2,884,256.0,2,0,0.75,0.15029652116178466,0.1357443596308048,0.1436702698469162,0.4161319089318454,0.33700938299705624,0.3950759520773198,0.33700938299705624,0.4161319089318454,0.3950759520773198,0.0,0.0,0.0
nc_2_n4_1_n8_1_skip1_noise0.65,"[4, 4, 8]",2,980,256.0,2,1,0.65,0.13296883803706208,0.060134352972874276,0.06318425213297209,0.9990412697146624,0.5120002289473131,0.9992170490881996,0.5120002289473131,0.9990412697146624,0.9992170490881996,0.0,0.0,0.0
nc_2_n4_1_n8_1_skip0_noise0.65,"[4, 4, 8]",2,884,256.0,2,0,0.65,0.1489580122112226,0.13313970829431826,0.1409040908018748,0.43404972347236215,0.35564787413243915,0.4120778622297108,0.35564787413243915,0.43404972347236215,0.4120778622297108,0.0,0.0,0.0
