"run_uuid","name","best_epoch","arc_filters","arc_rank","arc_kernel","arc_stride_1","arc_stride_2","arc_num_conv1","arc_num_conv2","arc_latent_dim","arc_skip_conn","hyp_lr","hyp_output_th","hyp_scheduler","best_epoch","train_loss","train_Accuracy","train_Accuracy_seq","train_F1","valid_loss","valid_Accuracy","valid_Accuracy_seq","valid_F1","test_loss","test_Accuracy","test_Accuracy_seq","test_F1"
c6e5c27d9918484c8c2a56f70b4dcf79,UNet-v3-conv-no-skips-num_convs-1-1-ld-16,16,"8","16","3","2","2","1","1","16",0,"0.001","0.5",none,16,0.10920694553713758,0.8578328965585443,0.0,0.8375773647854707,0.12623473363263266,0.8333366549744898,0.0,0.7970716500658217,0.12355481563457127,0.8355418238146551,0.0,0.8059087041474016
fd47f74edcce46deafabbfbf05feee34,UNet-v3-conv-no-skips-num_convs-1-1-ld-32,19,"8","16","3","2","2","1","1","32",0,"0.001","0.5",none,19,0.09453816516992915,0.883243094013713,0.0,0.8717342812863396,0.12029600706027478,0.8449059311224489,0.0,0.8196208543167113,0.1139735668126879,0.8506869612068966,0.0,0.8320523535124107
"0efd59836aad431cb57015924a1298f2",UNet-v3-conv-no-skips-num_convs-1-1-ld-4,19,"8","16","3","2","2","1","1","4",0,"0.001","0.5",none,19,0.1179468815651121,0.8468620203718354,0.0,0.820486465120828,0.1301060268769459,0.8306162308673469,0.0,0.7877495261604415,0.12541595473885536,0.8379832300646551,0.0,0.807612028565421
be4e05205ece4062ba6edb167e501a33,UNet-v3-conv-no-skips-num_convs-1-1-ld-64,19,"8","16","3","2","2","1","1","64",0,"0.001","0.5",none,19,0.06856614258533289,0.9236849370385021,0.0,0.9198122895817238,0.10509888478079621,0.8694893973214286,0.0,0.8566690299089184,0.09937420333253927,0.8747726966594828,0.0,0.864562097465116
"5ed689648cd04427b6a1df4f7f76a4db",UNet-v3-conv-no-skips-num_convs-1-1-ld-8,19,"8","16","3","2","2","1","1","8",0,"0.001","0.5",none,19,0.117777045753309,0.8470371423391351,0.0,0.8212211461719446,0.13019638113221343,0.828742825255102,0.0,0.7833669066299974,0.12423329273688383,0.8359627559267241,0.0,0.8044803806854697
"2aefba0cab374d24bd0ba11592ea4eab",UNet-v3-conv-no-skips-num_convs-1-2-ld-16,18,"8","32","3","2","2","1","2","16",0,"0.001","0.5",none,18,0.10344757196269458,0.867829270503692,0.0,0.8514126238294136,0.12487412837086892,0.8377909757653061,0.0,0.8074955287916988,0.12036145992320159,0.8401889143318966,0.0,0.8177090641577813
"6cb1f95ce8c7409994c8361dedbf3bda",UNet-v3-conv-no-skips-num_convs-1-2-ld-32,17,"8","32","3","2","2","1","2","32",0,"0.001","0.5",none,17,0.08333267919121916,0.898653827136076,0.0,0.8909566873703375,0.11312326743286483,0.8547512755102041,0.0,0.8334548753330779,0.10907496961540189,0.8578259698275862,0.0,0.8419807908704189
a9567c9fb99d49599d574e5278486945,UNet-v3-conv-no-skips-num_convs-1-2-ld-4,19,"8","32","3","2","2","1","2","4",0,"0.001","0.5",none,19,0.12803035457363107,0.8291674907700421,0.0,0.7911716038823113,0.13474040995447004,0.8207409917091837,0.0,0.7761406792381597,0.1327134128017672,0.8206576643318966,0.0,0.7862103192514946
f375229b40b347259e043c25820ec3e9,UNet-v3-conv-no-skips-num_convs-1-2-ld-64,17,"8","32","3","2","2","1","2","64",0,"0.001","0.5",none,17,0.07400909398647049,0.9145816851265823,0.0,0.9095127394769028,0.10839708940106996,0.862434231505102,0.0,0.8469761056933777,0.10223281177981146,0.8707738415948276,0.0,0.8592818245113064
c0cab27cf21148d8a3f576c336d93d17,UNet-v3-conv-no-skips-num_convs-1-2-ld-8,17,"8","32","3","2","2","1","2","8",0,"0.001","0.5",none,17,0.11859126231841398,0.8425550501054853,0.0,0.810745958100535,0.1314454229206455,0.8247369260204082,0.0,0.7740710950264211,0.12706567706732913,0.8309536637931034,0.0,0.7976195806221918
edfca49f24d54b5ebd388854d4ffa4c9,UNet-v3-conv-no-skips-num_convs-1-3-ld-16,19,"8","64","3","2","2","1","3","16",0,"0.001","0.5",none,19,0.0853203032322951,0.8941573130933544,0.0,0.8855015726961988,0.11735976441782348,0.8467793367346939,0.0,0.8222858381201978,0.11220729312506215,0.8536503232758621,0.0,0.8346531725069382
"141624fffc184791a912a84ece78a1e4",UNet-v3-conv-no-skips-num_convs-1-3-ld-32,19,"8","64","3","2","2","1","3","32",0,"0.001","0.5",none,19,0.07728888209956357,0.9064745681698312,0.0,0.9007442094192193,0.11258973941511037,0.8547811702806123,0.0,0.8367751557764697,0.10540652069552191,0.8648723733836207,0.0,0.8511833702562505
"1d9f7f36548c4cb4bcc229bf1a8df5da",UNet-v3-conv-no-skips-num_convs-1-3-ld-4,18,"8","64","3","2","2","1","3","4",0,"0.001","0.5",none,18,0.10907677004608927,0.8562495879483122,0.0,0.8332867014062264,0.12660741532335476,0.8322106186224489,0.0,0.7949648052624535,0.12015751466668885,0.84326171875,0.0,0.8181174469507165
"6e44331791e04aeebbb659303cce1f6d",UNet-v3-conv-no-skips-num_convs-1-3-ld-64,19,"8","64","3","2","2","1","3","64",0,"0.001","0.5",none,19,0.05411845102969101,0.9397539227320675,0.0005274261603376,0.9375859948846531,0.10031861659823632,0.8711535395408163,0.0,0.8593747748012707,0.09202724541055746,0.8833260371767241,0.0,0.8756002687056641
