name,p_appr1,s_appr1,f1_appr1,f1_exact,dataset,fold
tmRNA_Lact.sake._TRW-314315_1-370,0.3191489361702128,0.297029702970297,0.3330704936129948,0.30769230769230776,hc_400,tmRNA
tmRNA_Camp.upsa._TRW-306264_1-359,0.37362637362637363,0.33663366336633666,0.3541666666666667,0.3541666666666667,hc_400,tmRNA
tmRNA_Ente.saka._TRW-28141_1-364,0.5465116279069767,0.4519230769230769,0.5052631578947369,0.49473684210526314,hc_400,tmRNA
tmRNA_Baci.clau._AP006627_1-355,0.25773195876288657,0.2604166666666667,0.3880597014925374,0.25906735751295334,hc_400,tmRNA
tmRNA_Yers.pest._AL590842_1-364,0.425531914893617,0.39603960396039606,0.4205128205128205,0.4102564102564102,hc_400,tmRNA
tmRNA_Chla.muri._AE002296_1-418,0.2358490566037736,0.20491803278688525,0.2631578947368421,0.21929824561403508,hc_400,tmRNA
tmRNA_Stap.aure._BA000018_1-362,0.41975308641975306,0.34,0.38674033149171266,0.37569060773480667,hc_400,tmRNA
tmRNA_uncu.mari._TRW-363180_1-347,0.47560975609756095,0.40625,0.4606741573033708,0.43820224719101125,hc_400,tmRNA
tmRNA_Buch.aphi._AE013218_1-376,0.3541666666666667,0.3541666666666667,0.36458333333333326,0.3541666666666667,hc_400,tmRNA
tmRNA_Nost.spec._BA000019_1-390,0.2604166666666667,0.22935779816513763,0.24390243902439027,0.24390243902439027,hc_400,tmRNA
tmRNA_Acti.acti._TRW-272556_1-366,0.5,0.39,0.43820224719101125,0.43820224719101125,hc_400,tmRNA
tmRNA_Acid.ferr._TRW-133824_1-364,0.6263736263736264,0.5377358490566038,0.5786802030456852,0.5786802030456852,hc_400,tmRNA
tmRNA_Pseu.fluo._TRW-216595_1-397,0.36363636363636365,0.3137254901960784,0.368421052631579,0.3368421052631579,hc_400,tmRNA
tmRNA_envi.sequ._TRW-32045-1_1-355,0.4024390243902439,0.3548387096774194,0.524748790472646,0.37714285714285717,hc_400,tmRNA
tmRNA_Erwi.amyl._TRW-552_1-381,0.2828282828282828,0.27184466019417475,0.27722772277227725,0.27722772277227725,hc_400,tmRNA
tmRNA_uncu.bact._TRW-135621-1_1-397,0.37362637362637363,0.3333333333333333,0.383419689119171,0.3523316062176166,hc_400,tmRNA
tmRNA_Meth.caps._AE017282_1-356,0.5068493150684932,0.40217391304347827,0.4727272727272728,0.44848484848484854,hc_400,tmRNA
tmRNA_Rubr.xyla._CP000386_1-360,0.3170731707317073,0.26262626262626265,0.38674033149171266,0.28729281767955805,hc_400,tmRNA
