epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.6436,0.0206,0.5500,0.5507,0.0540
1,0.7028,0.0165,0.6713,0.7520,0.0195
2,0.7498,0.0129,0.7344,0.7709,0.0220
3,0.7934,0.0095,0.7156,0.7779,0.0190
4,0.8387,0.0069,0.7855,0.8099,0.0227
