epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.5247,0.0220,0.5254,0.6134,0.0236
1,0.5963,0.0175,0.6245,0.6865,0.0203
2,0.6495,0.0144,0.6869,0.7032,0.0268
