run_name,test_file,arc_num_params,arc_features,arc_encoder_blocks,arc_latent_volume,arc_skip,arc_num_conv,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
paper_based_unet_features-nc-2-n4-2-n8-1-skip1,test_0.csv,1124,"[4, 4, 4, 8]",3,128.0,0,2,0.13887861353749967,0.13202754636200106,0.1401242310630864,0.7716853762617643,0.7669399831474937,0.7555698818791864,0.806346008043249,0.8157485650510204,0.8036267510775862,0.0,0.0,0.0
paper_based_unet_features-nc-2-n4-2-n8-1-skip0,test_0.csv,1124,"[4, 4, 4, 8]",3,128.0,0,2,0.13887861353749967,0.13202754636200106,0.1401242310630864,0.7716853762617643,0.7669399831474937,0.7555698818791864,0.806346008043249,0.8157485650510204,0.8036267510775862,0.0,0.0,0.0
paper_based_unet_features-nc-2-n4-2-n8-0-skip1,test_0.csv,620,"[4, 4, 4]",2,128.0,0,2,0.128637279843605,0.12306142628801112,0.12950673609458166,0.7919724142533506,0.7908387468705487,0.7790640545268985,0.8189424281381856,0.8251454878826531,0.814141635237069,0.0,0.0,0.0
paper_based_unet_features-nc-2-n4-2-n8-0-skip0,test_0.csv,620,"[4, 4, 4]",2,128.0,0,2,0.128637279843605,0.12306142628801112,0.12950673609458166,0.7919724142533506,0.7908387468705487,0.7790640545268985,0.8189424281381856,0.8251454878826531,0.814141635237069,0.0,0.0,0.0
paper_based_unet_features-nc-2-n4-1-n8-1-skip1,test_0.csv,884,"[4, 4, 8]",2,256.0,0,2,0.12435411729452982,0.12054020485707692,0.1273987609250792,0.8034992010710572,0.8018805907576976,0.7931370188866663,0.8281589942642406,0.8314532844387755,0.8219120420258621,0.0,0.0,0.0
paper_based_unet_features-nc-2-n4-1-n8-1-skip0,test_0.csv,884,"[4, 4, 8]",2,256.0,0,2,0.12435411729452982,0.12054020485707692,0.1273987609250792,0.8034992010710572,0.8018805907576976,0.7931370188866663,0.8281589942642406,0.8314532844387755,0.8219120420258621,0.0,0.0,0.0
paper_based_unet_features-nc-2-n4-1-n8-0-skip1,test_0.csv,380,"[4, 4]",1,256.0,0,2,0.06698658936637364,0.06012492003489514,0.06542609921046372,0.9190624844196531,0.9077088901270536,0.9101890683239312,0.9103746373945147,0.9211176658163265,0.9129175646551724,0.0,0.0,0.0
paper_based_unet_features-nc-2-n4-1-n8-0-skip0,test_0.csv,380,"[4, 4]",1,256.0,0,2,0.06698658936637364,0.06012492003489514,0.06542609921046372,0.9190624844196531,0.9077088901270536,0.9101890683239312,0.9103746373945147,0.9211176658163265,0.9129175646551724,0.0,0.0,0.0
paper_based_unet_features-nc-2-n4-0-n8-1-skip1,test_0.csv,644,"[4, 8]",1,512.0,0,2,0.053407647477989456,0.04750068759431644,0.050732240980041435,0.9413401279485474,0.936030326407544,0.9379555962410752,0.9367974518723629,0.9417948820153061,0.9383839574353449,0.0,0.0,0.0
paper_based_unet_features-nc-2-n4-0-n8-1-skip0,test_0.csv,644,"[4, 8]",1,512.0,0,2,0.053407647477989456,0.04750068759431644,0.050732240980041435,0.9413401279485474,0.936030326407544,0.9379555962410752,0.9367974518723629,0.9417948820153061,0.9383839574353449,0.0,0.0,0.0
paper_based_unet_features-nc-2-n4-0-n8-0-skip1,test_0.csv,140,[4],0,512.0,0,2,0.0016374308827447604,0.0005011693336905874,0.0003486440946289804,0.9996609794869162,0.9995165104969164,0.9997641075760335,0.9995168693960971,0.9996611926020408,0.9997642780172413,0.7526371308016878,0.826530612244898,0.8793103448275862
paper_based_unet_features-nc-2-n4-0-n8-0-skip0,test_0.csv,140,[4],0,512.0,0,2,0.0016374308827447604,0.0005011693336905874,0.0003486440946289804,0.9996609794869162,0.9995165104969164,0.9997641075760335,0.9995168693960971,0.9996611926020408,0.9997642780172413,0.7526371308016878,0.826530612244898,0.8793103448275862
paper_based_unet_features-nc-1-n4-2-n8-1-skip1,test_0.csv,548,"[4, 4, 4, 8]",3,128.0,0,1,0.1404611138540481,0.13172187473700972,0.14085427723054228,0.7648700561040693,0.7529496336360088,0.7417759007093221,0.8055703207410337,0.8181301817602041,0.8040813577586207,0.0,0.0,0.0
paper_based_unet_features-nc-1-n4-2-n8-1-skip0,test_0.csv,548,"[4, 4, 4, 8]",3,128.0,0,1,0.1404611138540481,0.13172187473700972,0.14085427723054228,0.7648700561040693,0.7529496336360088,0.7417759007093221,0.8055703207410337,0.8181301817602041,0.8040813577586207,0.0,0.0,0.0
paper_based_unet_features-nc-1-n4-2-n8-0-skip1,test_0.csv,320,"[4, 4, 4]",2,128.0,0,1,0.11964625588574992,0.10950064081318524,0.11683032713059721,0.8178366422423069,0.8022872521527105,0.8017462262057066,0.8258504746835443,0.8404316804846939,0.8275020204741379,0.0,0.0,0.0
paper_based_unet_features-nc-1-n4-2-n8-0-skip0,test_0.csv,320,"[4, 4, 4]",2,128.0,0,1,0.11964625588574992,0.10950064081318524,0.11683032713059721,0.8178366422423069,0.8022872521527105,0.8017462262057066,0.8258504746835443,0.8404316804846939,0.8275020204741379,0.0,0.0,0.0
paper_based_unet_features-nc-1-n4-1-n8-1-skip1,test_0.csv,428,"[4, 4, 8]",2,256.0,0,1,0.11718376842229175,0.1092372863572471,0.11595501917703398,0.8243114584757941,0.8132725726498177,0.8087347303459843,0.8323814939345991,0.8421257174744898,0.8307179418103449,0.0,0.0,0.0
paper_based_unet_features-nc-1-n4-1-n8-1-skip0,test_0.csv,428,"[4, 4, 8]",2,256.0,0,1,0.11718376842229175,0.1092372863572471,0.11595501917703398,0.8243114584757941,0.8132725726498177,0.8087347303459843,0.8323814939345991,0.8421257174744898,0.8307179418103449,0.0,0.0,0.0
paper_based_unet_features-nc-1-n4-1-n8-0-skip1,test_0.csv,200,"[4, 4]",1,256.0,0,1,0.06689989022156105,0.05938358954629119,0.06419698071890864,0.9158353664090778,0.9059919126709712,0.9097448149654457,0.908260812236287,0.9174206792091837,0.911688442887931,0.0,0.0,0.0
paper_based_unet_features-nc-1-n4-1-n8-0-skip0,test_0.csv,200,"[4, 4]",1,256.0,0,1,0.06689989022156105,0.05938358954629119,0.06419698071890864,0.9158353664090778,0.9059919126709712,0.9097448149654457,0.908260812236287,0.9174206792091837,0.911688442887931,0.0,0.0,0.0
