epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.9783,0.0008,0.9315,0.9406,0.0105
1,0.9819,0.0006,0.9206,0.9344,0.0131
2,0.9805,0.0007,0.9236,0.9366,0.0122
3,0.9801,0.0007,0.9338,0.9377,0.0115
4,0.9827,0.0006,0.9353,0.9395,0.0130
