,model,run_name,exp,run,arc_features,arc_num_conv,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq,arc_skip,arc_encoder_blocks,arc_kernels,limit
0,Encoder,nc2_f16_32_64,SimpleCNN,nc2_f16_32_64,"[16, 32, 64]",2.0,2048.0,287009,0.0145482445135712,0.1458478309214115,0.0694640846922993,0.8025801876722203,0.9831907802910796,0.9011154467117564,0.9810198682406656,0.8019476383292068,0.8888873754448943,0.0,0.0,0.0,,,,128
1,Encoder,nc2_f8_32_64,SimpleCNN,nc2_f8_32_64,"[8, 32, 64]",2.0,2048.0,285521,0.0110678356606513,0.1282507572323084,0.0668519958853721,0.8227160038976518,0.9873288408634272,0.9042293364104036,0.9857254978536358,0.8252865661914187,0.8934582305824236,0.0,0.0,0.0,,,,128
2,Encoder,nc2_f8_16_64,SimpleCNN,nc2_f8_16_64,"[8, 16, 64]",2.0,2048.0,279665,0.0138646165840327,0.1321128793060779,0.0550536205992102,0.8121806231065636,0.9839188410298118,0.9239992812523564,0.9818637023344275,0.8162649034598074,0.9135549316082442,0.0,0.0,0.0,,,,128
3,Encoder,nc2_f8_16_32,SimpleCNN,nc2_f8_16_32,"[8, 16, 32]",2.0,1024.0,137617,0.0128238193069895,0.1453631501644849,0.0656493175774812,0.7983065922570849,0.9851742235197878,0.9043061977821923,0.9832773865887324,0.8012368443190612,0.891113344604133,0.0,0.0,0.0,,,,128
4,Encoder,nc2_f4_32_64,SimpleCNN,nc2_f4_32_64,"[4, 32, 64]",2.0,2048.0,284921,0.0113392779914041,0.1403349321335554,0.0688233375549316,0.8043517007244309,0.9872022752934032,0.9063592604100394,0.9855882483157618,0.8077902768769687,0.8946222944829826,0.0,0.0,0.0,,,,128
5,Encoder,nc2_f4_16_64,SimpleCNN,nc2_f4_16_64,"[4, 16, 64]",2.0,2048.0,279257,0.0171365798761447,0.145312737673521,0.0755290705710649,0.8002169811114962,0.9802032761783293,0.895497381506175,0.9776600734154228,0.8009775902375207,0.8821809495308937,0.0,0.0,0.0,,,,128
6,Encoder,nc2_f4_16_32,SimpleCNN,nc2_f4_16_32,"[4, 16, 32]",2.0,1024.0,137209,0.0187172464715937,0.1434834897518158,0.0728052500635385,0.8026526225547918,0.9778926710510436,0.8955896063958574,0.9750385349536804,0.8009977170930698,0.8817775377853185,0.0,0.0,0.0,,,,128
7,Encoder,nc2_f4_8_64,SimpleCNN,nc2_f4_8_64,"[4, 8, 64]",2.0,2048.0,277001,0.0115957289623717,0.1340730674564838,0.0627540266141295,0.8141668266967605,0.9870165223316058,0.9147503772759348,0.9853528165109448,0.8179987321270743,0.9050464559273224,0.0,0.0,0.0,,,,128
8,Encoder,nc2_f4_8_32,SimpleCNN,nc2_f4_8_32,"[4, 8, 32]",2.0,1024.0,135721,0.0148471289003888,0.1258691288530826,0.0763080762699246,0.8198459715886341,0.9825522327232152,0.8883374947923479,0.9803186410895272,0.8223497972781821,0.8744701940217036,0.0,0.0,0.0,,,,128
9,Encoder,nc2_f4_8_16,SimpleCNN,nc2_f4_8_16,"[4, 8, 16]",2.0,512.0,67385,0.0143792068275312,0.1448847781866789,0.0715478956699371,0.7922572262401352,0.9834748903610192,0.9032501233143616,0.9813525093361836,0.7990177088042679,0.8911117233258834,0.0,0.0,0.0,,,,128
