epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.2738,0.0573,0.3804,0.3943,0.0473
1,0.4005,0.0340,0.4038,0.4054,0.0500
2,0.4465,0.0296,0.4827,0.5003,0.0393
3,0.4801,0.0271,0.4982,0.5492,0.0326
