run_name,exp,run,arc_features,arc_skip,arc_encoder_blocks,arc_num_conv,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
s2m_skip1_f64_64_64,Seq2Motif_cd-hit0_full,s2m_skip1_f64_64_64,"[64, 64, 64]",1,2,2,2048.0,162625,0.032507121291322015,0.07502601934330803,0.06870579719543457,0.7373082152587644,0.8881618516527197,0.7422904446309169,0.8796819606962232,0.7478189691212594,0.7285362826567102,0.0,0.0,0.0
s2m_skip0_f64_64_64,Seq2Motif_cd-hit0_full,s2m_skip0_f64_64_64,"[64, 64, 64]",0,2,2,2048.0,138049,0.035978089552372694,0.07750274134533745,0.07073150415505682,0.7297917790400463,0.8755569931729483,0.7453442538310533,0.8654209096224812,0.7379301105823337,0.7259515053056967,0.0,0.0,0.0
s2m_skip1_f32_64_64,Seq2Motif_cd-hit0_full,s2m_skip1_f32_64_64,"[32, 64, 64]",1,2,2,2048.0,112641,0.032974293222650886,0.07231110760143825,0.06953104904719762,0.7714459758530073,0.8856612711510204,0.7300382347627151,0.8771929073572177,0.759319664349753,0.7242251022563336,0.0,0.0,0.0
s2m_skip0_f32_64_64,Seq2Motif_cd-hit0_full,s2m_skip0_f32_64_64,"[32, 64, 64]",0,2,2,2048.0,97281,0.04506411535354952,0.08274608531168529,0.06986549283776965,0.7648043697735089,0.8370657070106625,0.7385056223079707,0.8238914134935654,0.7218420438302658,0.7248395986241333,0.0,0.0,0.0
s2m_skip1_f32_32_64,Seq2Motif_cd-hit0_full,s2m_skip1_f32_32_64,"[32, 32, 64]",1,2,2,2048.0,56929,0.03743092824394504,0.07403417783124107,0.06966727386627879,0.7508459683671439,0.8682379209849286,0.7268951323883017,0.8576140074653319,0.7515362489478281,0.7270597982335071,0.0,0.0,0.0
s2m_skip0_f32_32_64,Seq2Motif_cd-hit0_full,s2m_skip0_f32_32_64,"[32, 32, 64]",0,2,2,2048.0,50785,0.04065534216351807,0.0771659037896565,0.07057695835828781,0.7695015096909338,0.856544997122125,0.7354816944960237,0.8447275917929938,0.7405212363259107,0.7234027049627622,0.0,0.0,0.0
s2m_skip1_f32_32_32,Seq2Motif_cd-hit0_full,s2m_skip1_f32_32_32,"[32, 32, 32]",1,2,2,1024.0,41377,0.03912597452290356,0.07820018487317222,0.07092410858188357,0.728329921245795,0.8613744356557113,0.7464090851643838,0.8500250427760201,0.7424403828098478,0.7248842309277005,0.0,0.0,0.0
s2m_skip0_f32_32_32,Seq2Motif_cd-hit0_full,s2m_skip0_f32_32_32,"[32, 32, 32]",0,2,2,1024.0,35233,0.04809560851814846,0.07715702589069094,0.07107051089406013,0.7568522328661055,0.8240701470318846,0.7414545423709302,0.8081349804176553,0.7264342444080354,0.7143115536475965,0.0,0.0,0.0
s2m_skip1_f16_64_64,Seq2Motif_cd-hit0_full,s2m_skip1_f16_64_64,"[16, 64, 64]",1,2,2,2048.0,96865,0.03722100103429208,0.07335037525211062,0.06995904073119164,0.7668608929058516,0.8701277945984539,0.7393265238144505,0.8597030653356229,0.7500123127693064,0.7300866410417337,0.0,0.0,0.0
s2m_skip0_f16_64_64,Seq2Motif_cd-hit0_full,s2m_skip0_f16_64_64,"[16, 64, 64]",0,2,2,2048.0,83809,0.044293909411256514,0.07656422150986535,0.07046916282602719,0.7522927013328294,0.8392276671884994,0.7461346801438606,0.8257158115317355,0.7351547522782154,0.725552542982771,0.0,0.0,0.0
s2m_skip1_f16_32_64,Seq2Motif_cd-hit0_full,s2m_skip1_f16_32_64,"[16, 32, 64]",1,2,2,2048.0,44225,0.03729798532246301,0.0742232831461089,0.06852564907499722,0.7543277608722231,0.8688785065130605,0.720927114308716,0.8584077336767687,0.7509235021863702,0.7227843686773421,0.0,0.0,0.0
