"run_uuid","name","best_epoch","arc_filters","arc_rank","arc_kernel","arc_stride_1","arc_stride_2","arc_skip_conn","hyp_lr","hyp_output_th","hyp_scheduler","best_epoch","train_loss","train_Accuracy","train_Accuracy_seq","train_F1","valid_loss","valid_Accuracy","valid_Accuracy_seq","valid_F1","test_loss","test_Accuracy","test_Accuracy_seq","test_F1"
"9fb74887f3454ac791205d722aa78c07",UNet-k3-filters-4-8-stride-21,14,"4","8","3","2","1",1,"0.001","0.5",none,14,0.04744916781783104,0.9578409315664557,0.0,0.9566960616287746,0.04573831912510249,0.9577586894132653,0.0,0.9563489823396415,0.050773818688146,0.9522578798491379,0.0,0.9506860166123343
"165db4ccb5c04b0299945257f3defad5",UNet-k3-filters-4-8-stride-22,18,"4","8","3","2","2",1,"0.001","0.5",none,18,0.04703660299097687,0.9527593041271097,0.0,0.9514931531157362,0.04583587132546366,0.9527861926020408,0.0,0.9511912088415878,0.05020723369871748,0.9477623248922413,0.0,0.9459181995523419
"9fdfc5f692284f6e974ebce7cc05ff74",UNet-k5-filters-4-8-stride-21,10,"4","8","5","2","1",1,"0.001","0.5",none,10,0.04608181787002439,0.9659016927083334,0.0015822784810126582,0.9653601481549411,0.04495106759120007,0.9621831154336735,0.0,0.9613762103362784,0.048359012680834736,0.959228515625,0.0,0.9583184112383798
e1b96c8ab4c94a9d893bddbf0d620d5b,UNet-k5-filters-4-8-stride-22,13,"4","8","5","2","2",1,"0.001","0.5",none,13,0.046023559332176854,0.9577595513581224,0.0,0.9569552499306159,0.04478415846824646,0.9587053571428571,0.0,0.9578413085933808,0.047780707285835826,0.953924771012931,0.0,0.9530128485810848
e2552355cd8e4102a5bff22f8e1bbf9e,UNet-k5-filters-4-8-stride-24,18,"4","8","5","2","4",1,"0.001","0.5",none,18,0.046876906892795604,0.9577719129087553,0.0,0.9570230734023727,0.04624384459184141,0.9563038105867347,0.0,0.9555243696638616,0.048742554953386044,0.9564587823275862,0.0,0.9557182664056663
a6f58be9cfb54b9dbb28ef3b02747d0b,UNet-k5-filters-4-8-stride-41,18,"4","8","5","4","1",1,"0.001","0.5",none,18,0.09499343589954236,0.8833996736550633,0.0,0.871493937768629,0.09172706792549211,0.8859614158163265,0.0,0.8728038787041398,0.0972017789709157,0.8802700700431034,0.0,0.8660787861100219
fa0abe93b713483c80d6d794f1e25ff1,UNet-k5-filters-4-8-stride-42,18,"4","8","5","4","2",1,"0.001","0.5",none,18,0.095067525007428,0.8807388498813291,0.0,0.8681784874478103,0.0917305660491087,0.8830117984693877,0.0,0.8705354423587054,0.09714744663957892,0.8783001077586207,0.0,0.8651456404775566
f72e13eedebf4155a3f2ef8b8c3799cb,UNet-k5-filters-4-8-stride-44,18,"4","8","5","4","4",1,"0.001","0.5",none,18,0.0955092367020589,0.8825292144646625,0.0,0.8706153362850724,0.0920626151622558,0.8856624681122449,0.0,0.8734302403445915,0.09732803060063,0.8790746228448276,0.0,0.8662684516319943
"02df3b099d4440628bd358ac15c5fb59",UNet-k7-filters-4-8-stride-21,12,"4","8","7","2","1",1,"0.001","0.5",none,12,0.04391347902595116,0.9681288320806962,0.0,0.967619373017463,0.04513829444744149,0.9634287308673469,0.01020408163265306,0.9626320280343161,0.04832773970375801,0.9587823275862069,0.0,0.9579622087465133
"71e68fd91faa44d98eea6659f8860a49",UNet-k7-filters-4-8-stride-22,17,"4","8","7","2","2",1,"0.001","0.5",none,17,0.04330710261934417,0.9677105996176161,0.0015822784810126582,0.9671443665485864,0.0449358023398993,0.9625617825255102,0.0,0.9615694488355261,0.04739909137374368,0.9611900592672413,0.0,0.96024032349656
"3c57ea8fc8fe44eab3c6314571f59763",UNet-k7-filters-4-8-stride-24,17,"4","8","7","2","4",1,"0.001","0.5",none,17,0.043460968217737816,0.9634118703850211,0.0,0.9627695116256003,0.0440878834651441,0.9608278858418368,0.0,0.9600937916852306,0.046077564872544385,0.9594137257543104,0.0,0.9587514169032592
aa735e2e06cb40b0a568d813b616b07b,UNet-k7-filters-4-8-stride-41,18,"4","8","7","4","1",1,"0.001","0.5",none,18,0.09142616273293012,0.889001516350211,0.0,0.8786449281982898,0.08877545017368939,0.8892398756377551,0.0,0.877148363357654,0.09528366399222407,0.8810445851293104,0.0,0.8675281262583201
"2c1d73d749224ca2b4b7cbdb548f03c0",UNet-k7-filters-4-8-stride-42,18,"4","8","7","4","2",1,"0.001","0.5",none,18,0.09133658322352398,0.8897813241693038,0.0,0.8796522175755132,0.08867535512058103,0.8910833864795918,0.0,0.879729869222281,0.09481154099620621,0.8815412850215517,0.0,0.8689613048657163
"480cff3762054f068dd5dc80c7074fa5",UNet-k7-filters-4-8-stride-44,18,"4","8","7","4","4",1,"0.001","0.5",none,18,0.09138481087888344,0.8913141564477848,0.0,0.8812370696845563,0.08936962530929216,0.8910933514030612,0.0,0.8791482826587314,0.09624990962188819,0.8827283135775862,0.0,0.8698001978021664
dedd284d792248cf875301dcc0c6354e,UNet-no-skips-k3-filters-4-8-stride-11,11,"4","8","3","1","1",0,"0.001","0.5",none,11,0.0008045856969297,0.9999958794831224,0.9978902953586498,0.999995877070239,0.0002773193959075,1.0,1.0,1.0,0.0002817991169587,1.0,1.0,1.0
"8727aded34354a1db409f823605e04e1",UNet-no-skips-k3-filters-4-8-stride-12,19,"4","8","3","1","2",0,"0.001","0.5",none,19,0.0016080218776574216,0.9999876384493671,0.9936708860759493,0.9999876334081774,0.0006145584843673,1.0,1.0,1.0,0.0006240251301467,1.0,1.0,1.0
dcfb4b53c33f451085665a73fc6a3592,UNet-no-skips-k3-filters-4-8-stride-21,19,"4","8","3","2","1",0,"0.001","0.5",none,19,0.048092752019187064,0.9439166749077004,0.0,0.9421721168201569,0.04641238478373508,0.9462990274234694,0.0,0.9439787024636771,0.05199590685038731,0.936279296875,0.0,0.9334014928610801
"397569e6b16e4b4a901e262fd620410c",UNet-no-skips-k3-filters-4-8-stride-22,19,"4","8","3","2","2",0,"0.001","0.5",none,19,0.05031626576455585,0.943064758043249,0.0,0.9412938755484749,0.04814894193289231,0.9479830994897959,0.0,0.9457750426930047,0.05310416896024655,0.9390827047413793,0.0,0.936283573816974
"1379c57a651c4860adac34a4b1b3c526",UNet-no-skips-k5-filters-4-8-stride-21,18,"4","8","5","2","1",0,"0.001","0.5",none,18,0.045631632483898336,0.9644316983122363,0.0015822784810126582,0.9638911210488958,0.04546360458646502,0.9621532206632653,0.0,0.9616271384236362,0.047736494962511394,0.9584624191810345,0.0,0.9579133991316959
"8a6e46c3a0d84ec6b717ca651b15dc88",UNet-no-skips-k5-filters-4-8-stride-22,18,"4","8","5","2","2",0,"0.001","0.5",none,18,0.04967591583823101,0.9403668496176161,0.0,0.9386121193600748,0.048137850603278805,0.9427814094387755,0.0,0.9402724026895048,0.051003484505003895,0.9355047817887931,0.0,0.9324672313506481
"632f49e6658d49b1b770a13b2d064a30",UNet-no-skips-k5-filters-4-8-stride-24,19,"4","8","5","2","4",0,"0.001","0.5",none,19,0.07509465442522417,0.9027506510416666,0.0,0.8953271653839352,0.0695755876296637,0.9064393335459183,0.0,0.8994109986381118,0.07445727237339678,0.9001212284482759,0.0,0.8923598327299811
c7d393041e344fa7a235914508f1ef51,UNet-no-skips-k5-filters-4-8-stride-41,18,"4","8","5","4","1",0,"0.001","0.5",none,18,0.09590564870947524,0.883272967761076,0.0,0.8712043724868939,0.09209141941094885,0.8868183992346939,0.0,0.8734825885358195,0.09751500099383552,0.8800343480603449,0.0,0.8653477600448944
a37f80d0d7ee4640a418cbd7bfed809a,UNet-no-skips-k5-filters-4-8-stride-42,19,"4","8","5","4","2",0,"0.001","0.5",none,19,0.1006718569352657,0.877907024657173,0.0,0.8640145864962554,0.09406655525066415,0.8831114477040817,0.0,0.8672013498964116,0.09970020194505823,0.8792514143318966,0.0,0.862439687584306
"690f862f7eb6471c8ce4f33076d8f8f8",UNet-no-skips-k5-filters-4-8-stride-44,18,"4","8","5","4","4",0,"0.001","0.5",none,18,0.1182107835347894,0.8412849007779536,0.0,0.8159177357626893,0.11145344787106222,0.8502471301020408,0.0,0.8228862801645249,0.1170973342297406,0.8431775323275862,0.0,0.8146013768751188
"1ae940cf62f04358b6beababc6c8a7e2",UNet-no-skips-k7-filters-4-8-stride-21,16,"4","8","7","2","1",0,"0.001","0.5",none,16,0.044335598291098316,0.9658409150843882,0.0,0.965120206207831,0.045664535797372154,0.9610770089285714,0.0,0.9601155046881383,0.04735489581422559,0.9606512661637931,0.0,0.9596358179133028
"65bf76c085ba4da6a47d993952db9f15",UNet-no-skips-k7-filters-4-8-stride-22,18,"4","8","7","2","2",0,"0.001","0.5",none,18,0.04700103799030499,0.9625764355880801,0.0,0.9617628280287518,0.046455426863869845,0.9606684470663265,0.0,0.9596777620440688,0.049074645571667574,0.9581930226293104,0.0,0.9571148024707055
"53d69cb6511a40829ca3734fe487f6a5",UNet-no-skips-k7-filters-4-8-stride-24,18,"4","8","7","2","4",0,"0.001","0.5",none,18,0.06676984250639813,0.9200722738660337,0.0,0.9167832420565285,0.06383749705796339,0.9187659438775511,0.0,0.9150386627028315,0.06807852273100409,0.9143992456896551,0.0,0.9107506454713665
a6ec83ef54b9440d829ba9f2c992bedb,UNet-no-skips-k7-filters-4-8-stride-41,14,"4","8","7","4","1",0,"0.001","0.5",none,14,0.09377340686346408,0.885389883306962,0.0,0.8752207673372951,0.09022163508497939,0.8891701211734694,0.0,0.877478375830593,0.0947677344083786,0.8821053340517241,0.0,0.8705788895535886
"970b0777333d4fd2b18e98dce7849ed6",UNet-no-skips-k7-filters-4-8-stride-42,18,"4","8","7","4","2",0,"0.001","0.5",none,18,0.09487929012830751,0.8832935703454642,0.0,0.8726428195849103,0.09043582544034841,0.8888113839285714,0.0,0.877527513497383,0.09351888003534284,0.8840500404094828,0.0,0.871501077836834
"427334a19cfb464ca07d62ebd90e50e1",UNet-no-skips-k7-filters-4-8-stride-44,19,"4","8","7","4","4",0,"0.001","0.5",none,19,0.11415409625268183,0.8495887724156118,0.0,0.82762965107928,0.11132191091167684,0.8507453762755102,0.0,0.8242864185664964,0.11643519560838568,0.8429586476293104,0.0,0.8168162317274568
