run_name,arc_features,arc_encoder_blocks,arc_num_params,arc_latent_volume,arc_num_conv,arc_skip,arc_kernel,test_swaps,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq,name,train_swaps
skip0_kernel3_noise_0.9_n4_1_n8_1-0.7,"[4, 8]",1,696,512.0,2,0,3,0.7,,,0.1263832524418831,,,0.42942320331880635,,,0.42942320331880635,,,0.0,skip0_kernel3_noise_0.9_n4_1_n8_1-0.7,0.9
skip0_kernel3_noise_0.9_n4_1_n8_1-0.5,"[4, 8]",1,696,512.0,2,0,3,0.5,,,0.1110133733600378,,,0.5222256648736205,,,0.5222256648736205,,,0.0,skip0_kernel3_noise_0.9_n4_1_n8_1-0.5,0.9
skip0_kernel3_noise_0.9_n4_1_n8_1-0.3,"[4, 8]",1,696,512.0,2,0,3,0.3,,,0.09687311388552189,,,0.6077662271468505,,,0.6077662271468505,,,0.0,skip0_kernel3_noise_0.9_n4_1_n8_1-0.3,0.9
skip0_kernel3_noise_0.9_n4_1_n8_1-0.2,"[4, 8]",1,696,512.0,2,0,3,0.2,,,0.09065637551248074,,,0.6461822586985743,,,0.6461822586985743,,,0.0,skip0_kernel3_noise_0.9_n4_1_n8_1-0.2,0.9
skip0_kernel3_noise_0.9_n4_1_n8_1-0.1,"[4, 8]",1,696,512.0,2,0,3,0.1,,,0.0846712775528431,,,0.6838211914511135,,,0.6838211914511135,,,0.0,skip0_kernel3_noise_0.9_n4_1_n8_1-0.1,0.9
skip0_kernel3_noise_0.9_n4_1_n8_1-0.0,"[4, 8]",1,696,512.0,2,0,3,0.0,,,0.07871253974735737,,,0.7208503645706441,,,0.7208503645706442,,,0.0,skip0_kernel3_noise_0.9_n4_1_n8_1-0.0,0.9
skip0_kernel3_noise_0.9_n4_1_n8_1,"[4, 8]",1,696,512.0,2,0,3,,0.14594114969174068,0.08183647878468037,,0.7260781250778895,0.35554127940054475,,0.35554127940054475,0.7260781250778894,,0.0,0.0,,skip0_kernel3_noise_0.9_n4_1_n8_1,0.9
skip1_kernel13_noise_0.9_n4_0_n8_1-0.9,"[4, 8]",1,2024,512.0,2,1,13,0.9,,,0.15942534804344177,,,0.2762858250691395,,,0.2762858250691395,,,0.0,skip1_kernel13_noise_0.9_n4_0_n8_1-0.9,0.9
skip1_kernel13_noise_0.9_n4_0_n8_1-0.7,"[4, 8]",1,2024,512.0,2,1,13,0.7,,,0.15942534804344177,,,0.2762858250691395,,,0.2762858250691395,,,0.0,skip1_kernel13_noise_0.9_n4_0_n8_1-0.7,0.9
skip1_kernel13_noise_0.9_n4_0_n8_1-0.5,"[4, 8]",1,2024,512.0,2,1,13,0.5,,,0.15942534804344177,,,0.2762858250691395,,,0.2762858250691395,,,0.0,skip1_kernel13_noise_0.9_n4_0_n8_1-0.5,0.9
skip1_kernel13_noise_0.9_n4_0_n8_1-0.3,"[4, 8]",1,2024,512.0,2,1,13,0.3,,,0.15942534804344177,,,0.2762858250691395,,,0.2762858250691395,,,0.0,skip1_kernel13_noise_0.9_n4_0_n8_1-0.3,0.9
skip1_kernel13_noise_0.9_n4_0_n8_1-0.2,"[4, 8]",1,2024,512.0,2,1,13,0.2,,,0.15942534804344177,,,0.2762858250691395,,,0.2762858250691395,,,0.0,skip1_kernel13_noise_0.9_n4_0_n8_1-0.2,0.9
skip1_kernel13_noise_0.9_n4_0_n8_1-0.1,"[4, 8]",1,2024,512.0,2,1,13,0.1,,,0.15942534804344177,,,0.2762858250691395,,,0.2762858250691395,,,0.0,skip1_kernel13_noise_0.9_n4_0_n8_1-0.1,0.9
skip1_kernel13_noise_0.9_n4_0_n8_1-0.0,"[4, 8]",1,2024,512.0,2,1,13,0.0,,,0.15942534804344177,,,0.2762858250691395,,,0.2762858250691395,,,0.0,skip1_kernel13_noise_0.9_n4_0_n8_1-0.0,0.9
skip1_kernel13_noise_0.9_n4_0_n8_1,"[4, 8]",1,2024,512.0,2,1,13,,0.16129698008298873,0.1560727097094059,,0.29078493442681885,0.3027233090850763,,0.3027233090850763,0.29078493442681885,,0.0,0.0,,skip1_kernel13_noise_0.9_n4_0_n8_1,0.9
skip1_kernel11_noise_0.9_n4_0_n8_1-0.9,"[4, 8]",1,1768,512.0,2,1,11,0.9,,,0.1411006934940815,,,0.34887955623050815,,,0.34887955623050815,,,0.0,skip1_kernel11_noise_0.9_n4_0_n8_1-0.9,0.9
skip1_kernel11_noise_0.9_n4_0_n8_1-0.7,"[4, 8]",1,1768,512.0,2,1,11,0.7,,,0.11894254013895988,,,0.45921861297219035,,,0.4592186129721904,,,0.0,skip1_kernel11_noise_0.9_n4_0_n8_1-0.7,0.9
skip1_kernel11_noise_0.9_n4_0_n8_1-0.5,"[4, 8]",1,1768,512.0,2,1,11,0.5,,,0.10198006220161915,,,0.5452667384046828,,,0.5452667384046828,,,0.0,skip1_kernel11_noise_0.9_n4_0_n8_1-0.5,0.9
skip1_kernel11_noise_0.9_n4_0_n8_1-0.3,"[4, 8]",1,1768,512.0,2,1,11,0.3,,,0.08612729050219059,,,0.6284284001434121,,,0.6284284001434121,,,0.0,skip1_kernel11_noise_0.9_n4_0_n8_1-0.3,0.9
skip1_kernel11_noise_0.9_n4_0_n8_1-0.2,"[4, 8]",1,1768,512.0,2,1,11,0.2,,,0.07892848365008831,,,0.66775474641001,,,0.66775474641001,,,0.0,skip1_kernel11_noise_0.9_n4_0_n8_1-0.2,0.9
skip1_kernel11_noise_0.9_n4_0_n8_1-0.1,"[4, 8]",1,1768,512.0,2,1,11,0.1,,,0.0720542874187231,,,0.7035289675192792,,,0.7035289675192792,,,0.0,skip1_kernel11_noise_0.9_n4_0_n8_1-0.1,0.9
skip1_kernel11_noise_0.9_n4_0_n8_1-0.0,"[4, 8]",1,1768,512.0,2,1,11,0.0,,,0.06548173353075981,,,0.7373999182146365,,,0.7373999182146365,,,0.0,skip1_kernel11_noise_0.9_n4_0_n8_1-0.0,0.9
skip1_kernel11_noise_0.9_n4_0_n8_1,"[4, 8]",1,1768,512.0,2,1,11,,0.1395466168721517,0.06923799216747284,,0.7257626599716201,0.3924677458953809,,0.39246774589538086,0.7257626599716201,,0.0,0.0,,skip1_kernel11_noise_0.9_n4_0_n8_1,0.9
skip1_kernel7_noise_0.9_n4_0_n8_1-0.9,"[4, 8]",1,1256,512.0,2,1,7,0.9,,,0.14179284125566483,,,0.34381534441121586,,,0.34381534441121586,,,0.0,skip1_kernel7_noise_0.9_n4_0_n8_1-0.9,0.9
skip1_kernel7_noise_0.9_n4_0_n8_1-0.7,"[4, 8]",1,1256,512.0,2,1,7,0.7,,,0.12221577949821949,,,0.4402488373083827,,,0.4402488373083827,,,0.0,skip1_kernel7_noise_0.9_n4_0_n8_1-0.7,0.9
skip1_kernel7_noise_0.9_n4_0_n8_1-0.5,"[4, 8]",1,1256,512.0,2,1,7,0.5,,,0.10483076423406601,,,0.5315175564250587,,,0.5315175564250587,,,0.0,skip1_kernel7_noise_0.9_n4_0_n8_1-0.5,0.9
skip1_kernel7_noise_0.9_n4_0_n8_1-0.3,"[4, 8]",1,1256,512.0,2,1,7,0.3,,,0.08784765005111694,,,0.6211015476374228,,,0.6211015476374228,,,0.0,skip1_kernel7_noise_0.9_n4_0_n8_1-0.3,0.9
skip1_kernel7_noise_0.9_n4_0_n8_1-0.2,"[4, 8]",1,1256,512.0,2,1,7,0.2,,,0.0797459352761507,,,0.6632199718843874,,,0.6632199718843874,,,0.0,skip1_kernel7_noise_0.9_n4_0_n8_1-0.2,0.9
skip1_kernel7_noise_0.9_n4_0_n8_1-0.1,"[4, 8]",1,1256,512.0,2,1,7,0.1,,,0.07204773649573326,,,0.7036564600100168,,,0.703656460010017,,,0.0,skip1_kernel7_noise_0.9_n4_0_n8_1-0.1,0.9
skip1_kernel7_noise_0.9_n4_0_n8_1-0.0,"[4, 8]",1,1256,512.0,2,1,7,0.0,,,0.06413744576275349,,,0.7449675485432038,,,0.7449675485432039,,,0.0,skip1_kernel7_noise_0.9_n4_0_n8_1-0.0,0.9
skip1_kernel7_noise_0.9_n4_0_n8_1,"[4, 8]",1,1256,512.0,2,1,7,,0.1422789086898168,0.06228869687765837,,0.7547645445248954,0.3688077333377351,,0.36880773333773514,0.7547645445248954,,0.0,0.0,,skip1_kernel7_noise_0.9_n4_0_n8_1,0.9
skip1_kernel3_noise_0.9_n4_0_n8_1-0.9,"[4, 8]",1,744,512.0,2,1,3,0.9,,,0.1435263492166996,,,0.329183736310224,,,0.329183736310224,,,0.0,skip1_kernel3_noise_0.9_n4_0_n8_1-0.9,0.9
skip1_kernel3_noise_0.9_n4_0_n8_1-0.7,"[4, 8]",1,744,512.0,2,1,3,0.7,,,0.12161969020962715,,,0.4332703863793027,,,0.4332703863793027,,,0.0,skip1_kernel3_noise_0.9_n4_0_n8_1-0.7,0.9
skip1_kernel3_noise_0.9_n4_0_n8_1-0.5,"[4, 8]",1,744,512.0,2,1,3,0.5,,,0.10211016237735748,,,0.5294295418432546,,,0.5294295418432546,,,0.0,skip1_kernel3_noise_0.9_n4_0_n8_1-0.5,0.9
skip1_kernel3_noise_0.9_n4_0_n8_1-0.3,"[4, 8]",1,744,512.0,2,1,3,0.3,,,0.08233569748699665,,,0.6287704591657415,,,0.6287704591657415,,,0.0,skip1_kernel3_noise_0.9_n4_0_n8_1-0.3,0.9
skip1_kernel3_noise_0.9_n4_0_n8_1-0.2,"[4, 8]",1,744,512.0,2,1,3,0.2,,,0.07246748358011246,,,0.678535258116616,,,0.678535258116616,,,0.0,skip1_kernel3_noise_0.9_n4_0_n8_1-0.2,0.9
skip1_kernel3_noise_0.9_n4_0_n8_1-0.1,"[4, 8]",1,744,512.0,2,1,3,0.1,,,0.06291968561708927,,,0.723481261513453,,,0.723481261513453,,,0.0,skip1_kernel3_noise_0.9_n4_0_n8_1-0.1,0.9
skip1_kernel3_noise_0.9_n4_0_n8_1-0.0,"[4, 8]",1,744,512.0,2,1,3,0.0,,,0.05344690568745136,,,0.770370046639764,,,0.770370046639764,,,0.0,skip1_kernel3_noise_0.9_n4_0_n8_1-0.0,0.9
skip1_kernel3_noise_0.9_n4_0_n8_1,"[4, 8]",1,744,512.0,2,1,3,,0.14462465395530064,0.049997447058558464,,0.7870961876347476,0.36086683635164185,,0.36086683635164185,0.7870961876347476,,0.0,0.0,,skip1_kernel3_noise_0.9_n4_0_n8_1,0.9
skip0_kernel13_noise_0.9_n4_0_n8_1-0.9,"[4, 8]",1,1976,512.0,2,0,13,0.9,,,0.14262337237596512,,,0.3526325745302812,,,0.3526325745302812,,,0.0,skip0_kernel13_noise_0.9_n4_0_n8_1-0.9,0.9
skip0_kernel13_noise_0.9_n4_0_n8_1-0.7,"[4, 8]",1,1976,512.0,2,0,13,0.7,,,0.1308227926492691,,,0.4183720178431455,,,0.4183720178431455,,,0.0,skip0_kernel13_noise_0.9_n4_0_n8_1-0.7,0.9
skip0_kernel13_noise_0.9_n4_0_n8_1-0.5,"[4, 8]",1,1976,512.0,2,0,13,0.5,,,0.12407971732318401,,,0.46998065867905986,,,0.46998065867905986,,,0.0,skip0_kernel13_noise_0.9_n4_0_n8_1-0.5,0.9
skip0_kernel13_noise_0.9_n4_0_n8_1-0.3,"[4, 8]",1,1976,512.0,2,0,13,0.3,,,0.12052680552005768,,,0.5088721773894378,,,0.5088721773894378,,,0.0,skip0_kernel13_noise_0.9_n4_0_n8_1-0.3,0.9
skip0_kernel13_noise_0.9_n4_0_n8_1-0.2,"[4, 8]",1,1976,512.0,2,0,13,0.2,,,0.11908267065882683,,,0.5221065108696558,,,0.5221065108696558,,,0.0,skip0_kernel13_noise_0.9_n4_0_n8_1-0.2,0.9
skip0_kernel13_noise_0.9_n4_0_n8_1-0.1,"[4, 8]",1,1976,512.0,2,0,13,0.1,,,0.11788890138268471,,,0.5361410755171776,,,0.5361410755171776,,,0.0,skip0_kernel13_noise_0.9_n4_0_n8_1-0.1,0.9
skip0_kernel13_noise_0.9_n4_0_n8_1-0.0,"[4, 8]",1,1976,512.0,2,0,13,0.0,,,0.11661588028073311,,,0.5471668425599019,,,0.5471668425599019,,,0.0,skip0_kernel13_noise_0.9_n4_0_n8_1-0.0,0.9
