run_name,exp,run,arc_features,arc_num_conv,arc_skip,arc_encoder_blocks,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
s2pp_nc2_skip_1_f32_32_32,seq2pp,s2pp_nc2_skip_1_f32_32_32,"[32, 32, 32]",2,1,2,1024.0,41377,0.018023775548984607,0.1116696335375309,0.08323542773723602,0.8246817367711732,0.9770736792785499,0.8773319130659075,0.9740993070687392,0.827320712832775,0.8651847993341337,0.0,0.0,0.0
s2pp_nc2_skip_0_f32_32_32,seq2pp,s2pp_nc2_skip_0_f32_32_32,"[32, 32, 32]",2,0,2,1024.0,35233,0.02071094127992789,0.11328165605664253,0.09013446420431137,0.8130476537862434,0.9724134423858605,0.8690735330047741,0.9687963299454182,0.8125191003634973,0.8530823556156227,0.0,0.0,0.0
s2pp_nc2_skip_1_f16_32_32,seq2pp,s2pp_nc2_skip_1_f16_32_32,"[16, 32, 32]",2,1,2,1024.0,28673,0.02096695580209295,0.12348994798958302,0.08639169298112392,0.7984488197733265,0.971948579346665,0.8819898973711696,0.968290439886941,0.8113575604000401,0.8656451387077101,0.0,0.0,0.0
s2pp_nc2_skip_0_f16_32_32,seq2pp,s2pp_nc2_skip_0_f16_32_32,"[16, 32, 32]",2,0,2,1024.0,24833,0.023576862489183743,0.11636930890381336,0.0779167041182518,0.8132985465842443,0.9686555949067049,0.8937687904387149,0.9645092336963661,0.8124168483472922,0.8780357808141424,0.0,0.0,0.0
s2pp_nc2_skip_1_f16_16_32,seq2pp,s2pp_nc2_skip_1_f16_16_32,"[16, 16, 32]",2,1,2,1024.0,14641,0.0235468327999115,0.1309689935296774,0.08927658200263977,0.8021779262823833,0.9686954942950476,0.8624280452224694,0.9646971454901773,0.800002170448538,0.8499870277556737,0.0,0.0,0.0
s2pp_nc2_skip_0_f16_16_32,seq2pp,s2pp_nc2_skip_0_f16_16_32,"[16, 16, 32]",2,0,2,1024.0,13105,0.03148621053745349,0.1145249642431736,0.09263339824974537,0.8023804644401005,0.9569590272426713,0.8656262899784017,0.9511045374616681,0.8112441266886667,0.8487519687437791,0.0,0.0,0.0
s2pp_nc2_skip_1_f16_16_16,seq2pp,s2pp_nc2_skip_1_f16_16_16,"[16, 16, 16]",2,1,2,512.0,10705,0.025485182305177052,0.11370041780173779,0.09306523017585278,0.8176891844985932,0.9659795213998572,0.8588101634129959,0.9614955955331611,0.8177704484689873,0.8450083584355035,0.0,0.0,0.0
s2pp_nc2_skip_0_f16_16_16,seq2pp,s2pp_nc2_skip_0_f16_16_16,"[16, 16, 16]",2,0,2,512.0,9169,0.03721660083780686,0.11444342695176601,0.08181837946176529,0.8114974041690384,0.948314663320932,0.8763321653991636,0.9411179022113194,0.8138041235396679,0.8625835541085602,0.0,0.0,0.0
s2pp_nc2_skip_1_f8_32_32,seq2pp,s2pp_nc2_skip_1_f8_32_32,"[8, 32, 32]",2,1,2,1024.0,24625,0.019568772210429113,0.12029130198061466,0.090581264346838,0.8163796640679577,0.9744045444027505,0.8638394662200021,0.9711217664171463,0.8179345516943123,0.8534863033059843,0.0,0.0,0.0
s2pp_nc2_skip_0_f8_32_32,seq2pp,s2pp_nc2_skip_0_f8_32_32,"[8, 32, 32]",2,0,2,1024.0,21361,0.02440147629628579,0.12545155733823776,0.08593539707362652,0.797957920532142,0.9672668989735904,0.867410587724681,0.9629604603519759,0.7959252455884869,0.8512562200760362,0.0,0.0,0.0
s2pp_nc2_skip_1_f8_16_32,seq2pp,s2pp_nc2_skip_1_f8_16_32,"[8, 16, 32]",2,1,2,1024.0,11361,0.027063567253450552,0.11472746916115284,0.10452291183173656,0.8048704622690984,0.9636925564427125,0.8555703306601413,0.958858704398343,0.8078014520038378,0.840697313621941,0.0,0.0,0.0
s2pp_nc2_skip_0_f8_16_32,seq2pp,s2pp_nc2_skip_0_f8_16_32,"[8, 16, 32]",2,0,2,1024.0,10401,0.03288058564066887,0.1289384514093399,0.089896310120821,0.786166308151025,0.9551081086641264,0.8656222563950269,0.9490790325458112,0.786088953937242,0.8471316271272653,0.0,0.0,0.0
s2pp_nc2_skip_1_f8_16_16,seq2pp,s2pp_nc2_skip_1_f8_16_16,"[8, 16, 16]",2,1,2,512.0,7425,0.03153126761317253,0.1137492023408413,0.08665748313069344,0.8042711603437296,0.9575894045063783,0.8736668992469071,0.9519142970172854,0.8065194844319143,0.8585738725395025,0.0,0.0,0.0
s2pp_nc2_skip_0_f8_16_16,seq2pp,s2pp_nc2_skip_0_f8_16_16,"[8, 16, 16]",2,0,2,512.0,6465,0.043230152254303295,0.1293161492794752,0.10285766236484051,0.77741163764491,0.9390059715838811,0.8430160393277204,0.9304049564328681,0.7760131589690115,0.8213863131791324,0.0,0.0,0.0
s2pp_nc2_skip_1_f8_8_32,seq2pp,s2pp_nc2_skip_1_f8_8_32,"[8, 8, 32]",2,1,2,1024.0,7033,0.03611461147665977,0.12564540840685368,0.08656959049403667,0.8009771082164219,0.95140960836429,0.8726186735017829,0.9448055813519292,0.8019148985711422,0.8557184389484603,0.0,0.0,0.0
s2pp_nc2_skip_0_f8_8_32,seq2pp,s2pp_nc2_skip_0_f8_8_32,"[8, 8, 32]",2,0,2,1024.0,6649,0.0468110249688228,0.12273918464779854,0.08571367897093296,0.7950272915422807,0.9345601412326281,0.8786680084845437,0.9252858135762965,0.7838387129706953,0.860239783181981,0.0,0.0,0.0
s2pp_nc2_skip_1_f8_8_16,seq2pp,s2pp_nc2_skip_1_f8_8_16,"[8, 8, 16]",2,1,2,512.0,3865,0.044352623944481216,0.12952519208192825,0.09673318453133106,0.7954249975801442,0.9395071278623689,0.8587665534176899,0.9311472033769304,0.7871345773580032,0.8444597123281601,0.0,0.0,0.0
s2pp_nc2_skip_0_f8_8_16,seq2pp,s2pp_nc2_skip_0_f8_8_16,"[8, 8, 16]",2,0,2,512.0,3481,0.059264017765720683,0.11859033070504665,0.09391610510647297,0.7775495218590998,0.9144673633838144,0.8512982993925207,0.902100424384131,0.7794161999958746,0.8331940265447562,0.0,0.0,0.0
s2pp_nc2_skip_1_f8_8_8,seq2pp,s2pp_nc2_skip_1_f8_8_8,"[8, 8, 8]",2,1,2,256.0,2857,0.05292814386387666,0.1295718178153038,0.09784901514649391,0.7979446784818209,0.9269439347163339,0.8504714235536248,0.9166459776696273,0.7899572506089572,0.8359069213631559,0.0,0.0,0.0
s2pp_nc2_skip_0_f8_8_8,seq2pp,s2pp_nc2_skip_0_f8_8_8,"[8, 8, 8]",2,0,2,256.0,2473,0.06691530309617519,0.12899306789040565,0.1029033437371254,0.783209204025102,0.9046271060985963,0.8301828348046465,0.8898597468976691,0.7783188415424149,0.814309657258051,0.0,0.0,0.0
s2pp_nc2_skip_1_f4_32_32,seq2pp,s2pp_nc2_skip_1_f4_32_32,"[4, 32, 32]",2,1,2,1024.0,23177,0.022291155656178792,0.12700308114290237,0.08213567547500134,0.7991978629154957,0.9705872379509637,0.8815538845138219,0.9667575542560835,0.8020863100505919,0.8660143234668481,0.0,0.0,0.0
s2pp_nc2_skip_0_f4_32_32,seq2pp,s2pp_nc2_skip_0_f4_32_32,"[4, 32, 32]",2,0,2,1024.0,20057,0.032753067277371886,0.13390402309596539,0.08981265500187874,0.7947174392236325,0.9568045921161904,0.8630938435063298,0.9507921653908702,0.7875458450307942,0.8490398016867354,0.0,0.0,0.0
s2pp_nc2_skip_1_f4_16_32,seq2pp,s2pp_nc2_skip_1_f4_16_32,"[4, 16, 32]",2,1,2,1024.0,10297,0.035585798571507135,0.1256433129310608,0.08722217939794064,0.7852413119827504,0.9514508279876208,0.8683668702524746,0.9449473593124077,0.7909190203123602,0.8527526366565125,0.0,0.0,0.0
s2pp_nc2_skip_0_f4_16_32,seq2pp,s2pp_nc2_skip_0_f4_16_32,"[4, 16, 32]",2,0,2,1024.0,9481,0.041255841652552284,0.1253244150429964,0.0994019154459238,0.7820466759547082,0.9440153927723322,0.8533411429991,0.936281559158434,0.78955706525538,0.8404588565406653,0.0,0.0,0.0
s2pp_nc2_skip_1_f4_16_16,seq2pp,s2pp_nc2_skip_1_f4_16_16,"[4, 16, 16]",2,1,2,512.0,6361,0.041117839763561884,0.14104235917329788,0.10597594268620014,0.7691113919069275,0.943182226823137,0.8363488859689869,0.9354798538329246,0.7663716769551173,0.8207884739378281,0.0,0.0,0.0
