run_name,arc_features,arc_encoder_blocks,arc_num_params,arc_latent_volume,arc_num_conv,arc_skip,arc_kernel,test_swaps,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq,name,train_swaps
skip1_kernel13_noise_0.9_n4_2_n8_1-0.9,"[4, 4, 4, 8]",3,1492,128.0,1,1,13,0.9,,,0.13449008564154308,,,0.3933483149841777,,,0.3933483149841777,,,0.0,skip1_kernel13_noise_0.9_n4_2_n8_1-0.9,0.9
skip1_kernel13_noise_0.9_n4_2_n8_1-0.7,"[4, 4, 4, 8]",3,1492,128.0,1,1,13,0.7,,,0.10863092044989268,,,0.5291845988815568,,,0.5291845988815568,,,0.0,skip1_kernel13_noise_0.9_n4_2_n8_1-0.7,0.9
skip1_kernel13_noise_0.9_n4_2_n8_1-0.5,"[4, 4, 4, 8]",3,1492,128.0,1,1,13,0.5,,,0.0825180878241857,,,0.6615761067484809,,,0.6615761067484809,,,0.0,skip1_kernel13_noise_0.9_n4_2_n8_1-0.5,0.9
skip1_kernel13_noise_0.9_n4_2_n8_1-0.3,"[4, 4, 4, 8]",3,1492,128.0,1,1,13,0.3,,,0.05619330257177353,,,0.7944088647978411,,,0.7944088647978411,,,0.0,skip1_kernel13_noise_0.9_n4_2_n8_1-0.3,0.9
skip1_kernel13_noise_0.9_n4_2_n8_1-0.2,"[4, 4, 4, 8]",3,1492,128.0,1,1,13,0.2,,,0.04316649387280146,,,0.8621680100845805,,,0.8621680100845805,,,0.0,skip1_kernel13_noise_0.9_n4_2_n8_1-0.2,0.9
skip1_kernel13_noise_0.9_n4_2_n8_1-0.1,"[4, 4, 4, 8]",3,1492,128.0,1,1,13,0.1,,,0.030233114212751388,,,0.9293456286344657,,,0.9293456286344657,,,0.0,skip1_kernel13_noise_0.9_n4_2_n8_1-0.1,0.9
skip1_kernel13_noise_0.9_n4_2_n8_1-0.0,"[4, 4, 4, 8]",3,1492,128.0,1,1,13,0.0,,,0.01732619752486547,,,0.9998020863763439,,,0.9998020863763439,,,0.0,skip1_kernel13_noise_0.9_n4_2_n8_1-0.0,0.9
skip1_kernel13_noise_0.9_n4_2_n8_1,"[4, 4, 4, 8]",3,1492,128.0,1,1,13,,0.1362533305122071,0.018231890235955898,,0.9990061712238079,0.41382217101505797,,0.41382217101505797,0.9990061712238079,,0.0,0.0,,skip1_kernel13_noise_0.9_n4_2_n8_1,0.9
skip1_kernel11_noise_0.9_n4_2_n8_1-0.9,"[4, 4, 4, 8]",3,1332,128.0,1,1,11,0.9,,,0.136101762453715,,,0.39464859649463835,,,0.39464859649463835,,,0.0,skip1_kernel11_noise_0.9_n4_2_n8_1-0.9,0.9
skip1_kernel11_noise_0.9_n4_2_n8_1-0.7,"[4, 4, 4, 8]",3,1332,128.0,1,1,11,0.7,,,0.12111445566018422,,,0.5156157794097108,,,0.5156157794097108,,,0.0,skip1_kernel11_noise_0.9_n4_2_n8_1-0.7,0.9
skip1_kernel11_noise_0.9_n4_2_n8_1-0.5,"[4, 4, 4, 8]",3,1332,128.0,1,1,11,0.5,,,0.10408069491386414,,,0.6370012435627276,,,0.6370012435627276,,,0.0,skip1_kernel11_noise_0.9_n4_2_n8_1-0.5,0.9
skip1_kernel11_noise_0.9_n4_2_n8_1-0.3,"[4, 4, 4, 8]",3,1332,128.0,1,1,11,0.3,,,0.08579512437184651,,,0.7536431867108109,,,0.7536431867108109,,,0.0,skip1_kernel11_noise_0.9_n4_2_n8_1-0.3,0.9
skip1_kernel11_noise_0.9_n4_2_n8_1-0.2,"[4, 4, 4, 8]",3,1332,128.0,1,1,11,0.2,,,0.0775277371207873,,,0.8046730701386051,,,0.8046730701386051,,,0.0,skip1_kernel11_noise_0.9_n4_2_n8_1-0.2,0.9
skip1_kernel11_noise_0.9_n4_2_n8_1-0.1,"[4, 4, 4, 8]",3,1332,128.0,1,1,11,0.1,,,0.06995948304732641,,,0.850291220698287,,,0.850291220698287,,,0.0,skip1_kernel11_noise_0.9_n4_2_n8_1-0.1,0.9
