epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.9950,0.0001,0.9395,0.9419,0.0187
1,0.9951,0.0002,0.9413,0.9438,0.0177
2,0.9964,0.0001,0.9301,0.9385,0.0166
3,0.9909,0.0002,0.9381,0.9402,0.0222
4,0.9966,0.0001,0.9408,0.9424,0.0203
