epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.2936,0.0577,0.3418,0.4035,0.0463
1,0.4395,0.0321,0.4729,0.4870,0.0391
2,0.4948,0.0272,0.4704,0.5413,0.0297
3,0.5443,0.0236,0.5554,0.6032,0.0267
4,0.5805,0.0212,0.5473,0.6289,0.0238
