epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.9782,0.0006,0.9012,0.9044,0.0194
1,0.9783,0.0006,0.9041,0.9128,0.0150
2,0.9852,0.0004,0.8988,0.9132,0.0122
3,0.9831,0.0005,0.9065,0.9127,0.0172
4,0.9733,0.0008,0.6750,0.8245,0.0121
