epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.4501,0.0270,0.4693,0.5028,0.0316
1,0.4915,0.0234,0.4428,0.5262,0.0278
2,0.5159,0.0219,0.5050,0.5553,0.0275
3,0.5566,0.0196,0.5434,0.5856,0.0265
4,0.5981,0.0162,0.5590,0.6064,0.0256
