run_name,arc_features,arc_skip,arc_num_conv,arc_latent_volume,arc_num_params,arc_encoder_blocks,swaps,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
n4-3-n8-1-skip1-1.0,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,1.0,,,0.2424478828907013,,,0.25222624276733535,,,0.25222624276733535,,,0.0
n4-3-n8-1-skip1-0.96875,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.96875,,,0.23986831679940224,,,0.25985379727949504,,,0.25985379727949504,,,0.0
n4-3-n8-1-skip1-0.9375,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.9375,,,0.23223617672920227,,,0.2838355103106059,,,0.2838355103106059,,,0.0
n4-3-n8-1-skip1-0.90625,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.90625,,,0.22653252631425858,,,0.3019506494801364,,,0.3019506494801364,,,0.0
n4-3-n8-1-skip1-0.875,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.875,,,0.21917838230729103,,,0.32689490047056924,,,0.32689490047056924,,,0.0
n4-3-n8-1-skip1-0.84375,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.84375,,,0.21341204270720482,,,0.34448934025754385,,,0.34448934025754385,,,0.0
n4-3-n8-1-skip1-0.8125,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.8125,,,0.2071984000504017,,,0.3639743236233807,,,0.3639743236233807,,,0.0
n4-3-n8-1-skip1-0.78125,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.78125,,,0.20248166471719742,,,0.38295514312771095,,,0.38295514312771095,,,0.0
n4-3-n8-1-skip1-0.75,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.75,,,0.19747311249375343,,,0.3984744855795819,,,0.3984744855795819,,,0.0
n4-3-n8-1-skip1-0.71875,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.71875,,,0.19077247381210327,,,0.4184683909191243,,,0.4184683909191243,,,0.0
n4-3-n8-1-skip1-0.6875,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.6875,,,0.18529298529028893,,,0.4370745183280118,,,0.4370745183280118,,,0.0
n4-3-n8-1-skip1-0.65625,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.65625,,,0.18007436767220497,,,0.45901845167370375,,,0.45901845167370375,,,0.0
n4-3-n8-1-skip1-0.625,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.625,,,0.17301683127880096,,,0.4770252636319827,,,0.4770252636319827,,,0.0
n4-3-n8-1-skip1-0.59375,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.59375,,,0.16711480170488358,,,0.4947443616250287,,,0.4947443616250287,,,0.0
n4-3-n8-1-skip1-0.5625,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.5625,,,0.16174589097499847,,,0.5150207592342645,,,0.5150207592342645,,,0.0
n4-3-n8-1-skip1-0.53125,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.53125,,,0.15640733763575554,,,0.5318458737010044,,,0.5318458737010044,,,0.0
n4-3-n8-1-skip1-0.5,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.5,,,0.14992118254303932,,,0.5514746320753633,,,0.5514746320753633,,,0.0
n4-3-n8-1-skip1-0.46875,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.46875,,,0.14378604292869568,,,0.5711825887380516,,,0.5711825887380516,,,0.0
n4-3-n8-1-skip1-0.4375,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.4375,,,0.13806620240211487,,,0.5908052087435811,,,0.5908052087435811,,,0.0
n4-3-n8-1-skip1-0.40625,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.40625,,,0.13218802213668823,,,0.608581310358367,,,0.608581310358367,,,0.0
n4-3-n8-1-skip1-0.375,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.375,,,0.1272527240216732,,,0.6251382328627327,,,0.6251382328627327,,,0.0
n4-3-n8-1-skip1-0.34375,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.34375,,,0.12090294994413853,,,0.6488664347578315,,,0.6488664347578315,,,0.0
n4-3-n8-1-skip1-0.3125,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.3125,,,0.11466193199157715,,,0.6651778185390994,,,0.6651778185390994,,,0.0
n4-3-n8-1-skip1-0.28125,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.28125,,,0.10893665812909603,,,0.6861482232370715,,,0.6861482232370715,,,0.0
n4-3-n8-1-skip1-0.25,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.25,,,0.10460938140749931,,,0.7039961047913021,,,0.7039961047913021,,,0.0
n4-3-n8-1-skip1-0.21875,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.21875,,,0.09813314117491245,,,0.7202528304992495,,,0.7202528304992495,,,0.0
n4-3-n8-1-skip1-0.1875,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.1875,,,0.09214519336819649,,,0.7431606186305885,,,0.7431606186305885,,,0.0
n4-3-n8-1-skip1-0.15625,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.15625,,,0.08634494803845882,,,0.7592393092498801,,,0.7592393092498803,,,0.0
n4-3-n8-1-skip1-0.125,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.125,,,0.0801325011998415,,,0.7806681127636931,,,0.7806681127636931,,,0.0
n4-3-n8-1-skip1-0.09375,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.09375,,,0.07467824593186378,,,0.8018607272886373,,,0.8018607272886372,,,0.0
n4-3-n8-1-skip1-0.0625,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.0625,,,0.06819599121809006,,,0.822817568733004,,,0.822817568733004,,,0.0
n4-3-n8-1-skip1-0.03125,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.03125,,,0.06277596019208431,,,0.8393834012521453,,,0.8393834012521453,,,0.0
n4-3-n8-1-skip1-0.0,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,0.0,,,0.05664736498147249,,,0.8604415474507283,,,0.8604415474507283,,,0.0
n4-3-n8-1-skip1,"[4, 4, 4, 4, 8]",1,2,64.0,1556,4,1.0,0.05512722978989283,0.05308797117322683,,0.8717830594981897,0.8676095969442122,,0.8676095969442122,0.8717830594981897,,0.0,0.0,
n4-3-n8-1-skip0-1.0,"[4, 4, 4, 4, 8]",0,2,64.0,1364,4,1.0,,,0.15242302417755127,,,0.27865199781982947,,,0.27865199781982947,,,0.0
