run_name,exp,run,arc_features,arc_num_conv,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
nc2_f16_32_64,SimpleCNN,nc2_f16_32_64,"[16, 32, 64]",2,2048.0,287009,0.014548244513571262,0.14584783092141151,0.06946408469229937,0.8025801876722203,0.9831907802910796,0.9011154467117565,0.9810198682406657,0.8019476383292068,0.8888873754448943,0.0,0.0,0.0
nc2_f8_32_64,SimpleCNN,nc2_f8_32_64,"[8, 32, 64]",2,2048.0,285521,0.011067835660651327,0.1282507572323084,0.06685199588537216,0.8227160038976518,0.9873288408634273,0.9042293364104036,0.9857254978536358,0.8252865661914187,0.8934582305824236,0.0,0.0,0.0
nc2_f8_16_64,SimpleCNN,nc2_f8_16_64,"[8, 16, 64]",2,2048.0,279665,0.013864616584032773,0.13211287930607796,0.05505362059921026,0.8121806231065636,0.9839188410298118,0.9239992812523564,0.9818637023344275,0.8162649034598074,0.9135549316082442,0.0,0.0,0.0
nc2_f8_16_32,SimpleCNN,nc2_f8_16_32,"[8, 16, 32]",2,1024.0,137617,0.01282381930698951,0.14536315016448498,0.06564931757748127,0.7983065922570849,0.9851742235197878,0.9043061977821925,0.9832773865887324,0.8012368443190612,0.891113344604133,0.0,0.0,0.0
nc2_f4_32_64,SimpleCNN,nc2_f4_32_64,"[4, 32, 64]",2,2048.0,284921,0.011339277991404136,0.1403349321335554,0.06882333755493164,0.8043517007244309,0.9872022752934033,0.9063592604100394,0.9855882483157618,0.8077902768769687,0.8946222944829826,0.0,0.0,0.0
nc2_f4_16_64,SimpleCNN,nc2_f4_16_64,"[4, 16, 64]",2,2048.0,279257,0.01713657987614473,0.14531273767352104,0.07552907057106495,0.8002169811114962,0.9802032761783293,0.895497381506175,0.9776600734154228,0.8009775902375207,0.8821809495308937,0.0,0.0,0.0
nc2_f4_16_32,SimpleCNN,nc2_f4_16_32,"[4, 16, 32]",2,1024.0,137209,0.018717246471593778,0.1434834897518158,0.07280525006353855,0.8026526225547918,0.9778926710510436,0.8955896063958574,0.9750385349536805,0.8009977170930698,0.8817775377853185,0.0,0.0,0.0
nc2_f4_8_64,SimpleCNN,nc2_f4_8_64,"[4, 8, 64]",2,2048.0,277001,0.011595728962371746,0.13407306745648384,0.06275402661412954,0.8141668266967605,0.9870165223316058,0.9147503772759349,0.9853528165109449,0.8179987321270743,0.9050464559273224,0.0,0.0,0.0
nc2_f4_8_32,SimpleCNN,nc2_f4_8_32,"[4, 8, 32]",2,1024.0,135721,0.014847128900388877,0.12586912885308266,0.07630807626992464,0.8198459715886341,0.9825522327232151,0.8883374947923479,0.9803186410895273,0.8223497972781821,0.8744701940217036,0.0,0.0,0.0
nc2_f4_8_16,SimpleCNN,nc2_f4_8_16,"[4, 8, 16]",2,512.0,67385,0.014379206827531259,0.1448847781866789,0.07154789566993713,0.7922572262401352,0.9834748903610192,0.9032501233143617,0.9813525093361835,0.7990177088042679,0.8911117233258834,0.0,0.0,0.0
nc2_f32_64,SimpleCNN,nc2_f32_64,"[32, 64]",2,4096.0,546945,0.11012878740827242,0.179617278277874,0.0997618492692709,0.7720006066010303,0.8810947220978507,0.8921661996851171,0.8669062313906709,0.7748418929435106,0.8779190246196436,0.0,0.0,0.0
