epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.7090,0.0130,0.7138,0.7712,0.0150
1,0.7627,0.0097,0.7593,0.7817,0.0193
2,0.8008,0.0076,0.7714,0.8116,0.0142
3,0.8493,0.0052,0.7630,0.8174,0.0126
4,0.8660,0.0045,0.7990,0.8114,0.0202
