epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.9619,0.0009,0.4915,0.5909,0.0398
1,0.9522,0.0011,0.6128,0.6249,0.0718
2,0.9849,0.0003,0.6295,0.6370,0.0745
3,0.9896,0.0002,0.6192,0.6242,0.0850
4,0.9904,0.0003,0.6136,0.6183,0.0960
