run_name,arc_features,arc_skip,arc_num_conv,arc_latent_volume,arc_encoder_blocks,n_swaps,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
nc-2-n4-2-n8-2-skip0-24,"[4, 4, 4, 8, 8]",0,2,64.0,4,24,,,0.21584147959947586,,,0.6429932601402844,,,0.750048007681229,,,0.0
nc-2-n4-2-n8-2-skip0-26,"[4, 4, 4, 8, 8]",0,2,64.0,4,26,,,0.21644710004329681,,,0.6430949767699584,,,0.7500720115218436,,,0.0
nc-2-n4-2-n8-2-skip0-28,"[4, 4, 4, 8, 8]",0,2,64.0,4,28,,,0.2161683887243271,,,0.6430216458630779,,,0.7500600096015362,,,0.0
nc-2-n4-2-n8-2-skip0-30,"[4, 4, 4, 8, 8]",0,2,64.0,4,30,,,0.21641061455011368,,,0.6428931104454834,,,0.75,,,0.0
nc-2-n4-2-n8-2-skip0,"[4, 4, 4, 8, 8]",0,2,64.0,4,0,0.2160133272409439,0.2012643739581108,,0.6431733985278214,0.6435248632881232,,0.750130717989815,0.7500701013954237,,0.0,0.0,
nc-2-n4-2-n8-1-skip1-0,"[4, 4, 4, 8]",1,2,128.0,3,0,,,0.0705975666642189,,,0.9117005042733548,,,0.9170077284418243,,,0.0
nc-2-n4-2-n8-1-skip1-2,"[4, 4, 4, 8]",1,2,128.0,3,2,,,0.07056022807955742,,,0.9113697696284091,,,0.9167195820777898,,,0.0
nc-2-n4-2-n8-1-skip1-4,"[4, 4, 4, 8]",1,2,128.0,3,4,,,0.07083680108189583,,,0.9111048195965095,,,0.9164853873170373,,,0.0
nc-2-n4-2-n8-1-skip1-6,"[4, 4, 4, 8]",1,2,128.0,3,6,,,0.07084416598081589,,,0.9107337539934021,,,0.916146913109041,,,0.0
nc-2-n4-2-n8-1-skip1-8,"[4, 4, 4, 8]",1,2,128.0,3,8,,,0.07086160406470299,,,0.9106562529336765,,,0.9160606797808177,,,0.0
nc-2-n4-2-n8-1-skip1-10,"[4, 4, 4, 8]",1,2,128.0,3,10,,,0.07089085876941681,,,0.9106438576170655,,,0.9160674397156956,,,0.0
nc-2-n4-2-n8-1-skip1-12,"[4, 4, 4, 8]",1,2,128.0,3,12,,,0.07104100286960602,,,0.9097743856385041,,,0.9152883176623299,,,0.0
nc-2-n4-2-n8-1-skip1-14,"[4, 4, 4, 8]",1,2,128.0,3,14,,,0.0711984783411026,,,0.9091813175658228,,,0.9147747558051723,,,0.0
nc-2-n4-2-n8-1-skip1-16,"[4, 4, 4, 8]",1,2,128.0,3,16,,,0.07111766934394836,,,0.909850128317828,,,0.9153674902256934,,,0.0
nc-2-n4-2-n8-1-skip1-18,"[4, 4, 4, 8]",1,2,128.0,3,18,,,0.07130768150091171,,,0.908700460908656,,,0.914322306592817,,,0.0
nc-2-n4-2-n8-1-skip1-20,"[4, 4, 4, 8]",1,2,128.0,3,20,,,0.07161683216691017,,,0.9081817650042916,,,0.9138924573478284,,,0.0
nc-2-n4-2-n8-1-skip1-22,"[4, 4, 4, 8]",1,2,128.0,3,22,,,0.07170780375599861,,,0.90904896229449,,,0.9147125263175635,,,0.0
nc-2-n4-2-n8-1-skip1-24,"[4, 4, 4, 8]",1,2,128.0,3,24,,,0.0722004659473896,,,0.9076810400058815,,,0.91347873516577,,,0.0
nc-2-n4-2-n8-1-skip1-26,"[4, 4, 4, 8]",1,2,128.0,3,26,,,0.07167795300483704,,,0.9086911057667604,,,0.9144171186353484,,,0.0
nc-2-n4-2-n8-1-skip1-28,"[4, 4, 4, 8]",1,2,128.0,3,28,,,0.07182680815458298,,,0.9082669000194772,,,0.9140218574784935,,,0.0
nc-2-n4-2-n8-1-skip1-30,"[4, 4, 4, 8]",1,2,128.0,3,30,,,0.07182881981134415,,,0.907786526176984,,,0.9135285616264293,,,0.0
nc-2-n4-2-n8-1-skip1,"[4, 4, 4, 8]",1,2,128.0,3,0,0.07103401372830073,0.06494027376174927,,0.914003413362052,0.9108279862581077,,0.9163345647388933,0.9192179678642378,,0.0,0.0,
nc-2-n4-2-n8-1-skip0-0,"[4, 4, 4, 8]",0,2,128.0,3,0,,,0.14882652461528778,,,0.6609339990060424,,,0.7490116033159817,,,0.0
nc-2-n4-2-n8-1-skip0-2,"[4, 4, 4, 8]",0,2,128.0,3,2,,,0.14887116849422455,,,0.6602561253467758,,,0.748713975747694,,,0.0
nc-2-n4-2-n8-1-skip0-4,"[4, 4, 4, 8]",0,2,128.0,3,4,,,0.14889736473560333,,,0.6605102415446444,,,0.7489566351465538,,,0.0
nc-2-n4-2-n8-1-skip0-6,"[4, 4, 4, 8]",0,2,128.0,3,6,,,0.14890871942043304,,,0.6612346659852555,,,0.749091076709327,,,0.0
nc-2-n4-2-n8-1-skip0-8,"[4, 4, 4, 8]",0,2,128.0,3,8,,,0.14898397773504257,,,0.6593319658507151,,,0.7487794278879807,,,0.0
nc-2-n4-2-n8-1-skip0-10,"[4, 4, 4, 8]",0,2,128.0,3,10,,,0.148943692445755,,,0.6596265013026124,,,0.7495325267679807,,,0.0
nc-2-n4-2-n8-1-skip0-12,"[4, 4, 4, 8]",0,2,128.0,3,12,,,0.14911427348852158,,,0.6596299156106897,,,0.7487354588722545,,,0.0
nc-2-n4-2-n8-1-skip0-14,"[4, 4, 4, 8]",0,2,128.0,3,14,,,0.149269238114357,,,0.6601201498078988,,,0.7492593041469495,,,0.0
nc-2-n4-2-n8-1-skip0-16,"[4, 4, 4, 8]",0,2,128.0,3,16,,,0.14923615008592606,,,0.659218892967187,,,0.7492370188091048,,,0.0
nc-2-n4-2-n8-1-skip0-18,"[4, 4, 4, 8]",0,2,128.0,3,18,,,0.14901788532733917,,,0.6592755934386282,,,0.7500503278439621,,,0.0
nc-2-n4-2-n8-1-skip0-20,"[4, 4, 4, 8]",0,2,128.0,3,20,,,0.14904411882162094,,,0.6604651940774441,,,0.749250939785503,,,0.0
nc-2-n4-2-n8-1-skip0-22,"[4, 4, 4, 8]",0,2,128.0,3,22,,,0.1494416519999504,,,0.658347526436477,,,0.7494939000143441,,,0.0
nc-2-n4-2-n8-1-skip0-24,"[4, 4, 4, 8]",0,2,128.0,3,24,,,0.14970607310533524,,,0.657850036626894,,,0.7490524499556905,,,0.0
nc-2-n4-2-n8-1-skip0-26,"[4, 4, 4, 8]",0,2,128.0,3,26,,,0.14928442239761353,,,0.6588717473711532,,,0.7497291978183626,,,0.0
nc-2-n4-2-n8-1-skip0-28,"[4, 4, 4, 8]",0,2,128.0,3,28,,,0.14915617555379868,,,0.6596729146418414,,,0.7494894602421992,,,0.0
nc-2-n4-2-n8-1-skip0-30,"[4, 4, 4, 8]",0,2,128.0,3,30,,,0.1490975245833397,,,0.6589741238203202,,,0.7489543149838207,,,0.0
nc-2-n4-2-n8-1-skip0,"[4, 4, 4, 8]",0,2,128.0,3,0,0.14941279590129852,0.13856978714466095,,0.6659149935636597,0.6693504879081443,,0.7517790413469608,0.7516701945131423,,0.0,0.0,
nc-2-n4-1-n8-2-skip1-0,"[4, 4, 8, 8]",1,2,128.0,3,0,,,0.06769728288054466,,,0.909219851717644,,,0.9128448532755583,,,0.0
nc-2-n4-1-n8-2-skip1-2,"[4, 4, 8, 8]",1,2,128.0,3,2,,,0.06763237342238426,,,0.9091882278967791,,,0.9128190306555135,,,0.0
nc-2-n4-1-n8-2-skip1-4,"[4, 4, 8, 8]",1,2,128.0,3,4,,,0.06773177161812782,,,0.9090432760618807,,,0.912697908409175,,,0.0
nc-2-n4-1-n8-2-skip1-6,"[4, 4, 8, 8]",1,2,128.0,3,6,,,0.06784463673830032,,,0.9084659036868068,,,0.9121236212143169,,,0.0
nc-2-n4-1-n8-2-skip1-8,"[4, 4, 8, 8]",1,2,128.0,3,8,,,0.06743836775422096,,,0.9098560696619324,,,0.913458168330695,,,0.0
nc-2-n4-1-n8-2-skip1-10,"[4, 4, 8, 8]",1,2,128.0,3,10,,,0.067559365183115,,,0.9085243128854454,,,0.9122077349331281,,,0.0
nc-2-n4-1-n8-2-skip1-12,"[4, 4, 8, 8]",1,2,128.0,3,12,,,0.0671072006225586,,,0.9101031901050547,,,0.91360007176497,,,0.0
nc-2-n4-1-n8-2-skip1-14,"[4, 4, 8, 8]",1,2,128.0,3,14,,,0.0680583007633686,,,0.9081420242703854,,,0.9119206051352395,,,0.0
nc-2-n4-1-n8-2-skip1-16,"[4, 4, 8, 8]",1,2,128.0,3,16,,,0.06708168238401413,,,0.91020382776949,,,0.9137759754269559,,,0.0
nc-2-n4-1-n8-2-skip1-18,"[4, 4, 8, 8]",1,2,128.0,3,18,,,0.06773437187075615,,,0.9084489469548167,,,0.9122369945587124,,,0.0
nc-2-n4-1-n8-2-skip1-20,"[4, 4, 8, 8]",1,2,128.0,3,20,,,0.06748487800359726,,,0.909217160632569,,,0.9129031443743247,,,0.0
nc-2-n4-1-n8-2-skip1-22,"[4, 4, 8, 8]",1,2,128.0,3,22,,,0.06755807995796204,,,0.9084093860300181,,,0.9121724449083707,,,0.0
nc-2-n4-1-n8-2-skip1-24,"[4, 4, 8, 8]",1,2,128.0,3,24,,,0.068339042365551,,,0.906147722339044,,,0.910068457496201,,,0.0
nc-2-n4-1-n8-2-skip1-26,"[4, 4, 8, 8]",1,2,128.0,3,26,,,0.06773681193590164,,,0.9089054384728501,,,0.9126118756342729,,,0.0
nc-2-n4-1-n8-2-skip1-28,"[4, 4, 8, 8]",1,2,128.0,3,28,,,0.06760315224528313,,,0.9079375281609894,,,0.9117216001225841,,,0.0
nc-2-n4-1-n8-2-skip1-30,"[4, 4, 8, 8]",1,2,128.0,3,30,,,0.06775004416704178,,,0.9086089373258062,,,0.9123209077242026,,,0.0
nc-2-n4-1-n8-2-skip1,"[4, 4, 8, 8]",1,2,128.0,3,0,0.06925383508205414,0.06330511160194874,,0.9120182266886668,0.909455339205115,,0.9135678377266296,0.9157247330367682,,0.0,0.0,
nc-2-n4-1-n8-2-skip0-0,"[4, 4, 8, 8]",0,2,128.0,3,0,,,0.14805792272090912,,,0.6436828722195709,,,0.7497673231886962,,,0.0
nc-2-n4-1-n8-2-skip0-2,"[4, 4, 8, 8]",0,2,128.0,3,2,,,0.14835647493600845,,,0.6435953339593035,,,0.749724256662915,,,0.0
nc-2-n4-1-n8-2-skip0-4,"[4, 4, 8, 8]",0,2,128.0,3,4,,,0.14828797429800034,,,0.6437267734053232,,,0.749855976956313,,,0.0
