train_loss,train_f1,val_loss,val_f1
0.26459297896114015,0.0011915920944970831,0.06774594055281745,0.0
0.0772681862457108,0.04357490738591768,0.047711726278066635,0.034910298258049255
0.06138056417116682,0.16449984887033087,0.0417063327299224,0.10471357456763135
0.051278498819993655,0.22308377809955524,0.037381538500388466,0.12082196066701337
0.048886402247061256,0.24896806905945953,0.03534165397286415,0.1353912816272618
0.04525150921736055,0.2742888652687151,0.03457598677939839,0.14294647683510817
0.04467324851407804,0.2936697785737508,0.0343021477262179,0.1459340705087844
0.04238985915391045,0.30836134615412464,0.034507149209578834,0.1415498983371576
0.0410826517027298,0.31589895521128303,0.03368473218546973,0.15094997786531736
0.04154755052833157,0.320392689405102,0.03368963011436992,0.150525819147661
0.04007843087022086,0.3313273460412499,0.033057993898789086,0.15581533651785764
0.040707335188871124,0.33411753642982667,0.033563115116622716,0.14858538024688472
0.03926994050106474,0.3403117582486581,0.03337545237607426,0.14843873353927262
0.03957796278800673,0.34229718639635903,0.03352273669507769,0.13953527080837225
0.03892618187397491,0.34770110997525056,0.03269485880931219,0.16135286571969776
