epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.3446,0.0534,0.3824,0.4760,0.0426
1,0.4941,0.0321,0.5400,0.5634,0.0362
2,0.5504,0.0267,0.5874,0.6259,0.0299
3,0.5883,0.0243,0.4107,0.5908,0.0319
4,0.6280,0.0209,0.5886,0.5947,0.0423
