epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.5385,0.0226,0.5642,0.6188,0.0241
1,0.5960,0.0186,0.6496,0.6739,0.0243
2,0.6407,0.0153,0.6681,0.7028,0.0218
