run_name,exp,run,arc_features,arc_num_conv,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
enc_f64_64_64,SeqEncoder_cd-hit0_full,enc_f64_64_64,"[64, 64, 64]",2,4258241,0.16871410918732485,0.2043141062770571,0.17328536936214992,0.4290476476038531,0.4826357500091092,0.491143807848548,0.5554230939342475,0.5403917854395003,0.56963654179733,0.0,0.0,0.0
enc_f32_64_64,SeqEncoder_cd-hit0_full,enc_f32_64_64,"[32, 64, 64]",2,4242305,0.14041706578185162,0.17697105024542129,0.14724762099129812,0.5012372283725558,0.5761106955721951,0.5552973447728321,0.6236363898518594,0.5952118395094381,0.6228840569525931,0.0,0.0,0.0
enc_f32_32_64,SeqEncoder_cd-hit0_full,enc_f32_32_64,"[32, 32, 64]",2,4223681,0.15086638803283373,0.1881390788725444,0.15309287181922368,0.45715519050240255,0.5352285296445362,0.5364063948857462,0.5951120639315765,0.5682559701835335,0.6082458902567993,0.0,0.0,0.0
enc_f32_32_32,SeqEncoder_cd-hit0_full,enc_f32_32_32,"[32, 32, 32]",2,2114017,0.029380598532346387,0.11711216505084719,0.08762886694499425,0.7025371501507837,0.9159920305754553,0.6898667254378034,0.9109425503115015,0.6993374984643174,0.6816129393465923,0.0,0.0,0.0
enc_f16_64_64,SeqEncoder_cd-hit0_full,enc_f16_64_64,"[16, 64, 64]",2,4236641,0.16103131355096897,0.19874750077724457,0.16802361394677842,0.4276344609184072,0.5014712119208378,0.4958053399785665,0.5738070433473367,0.5499729742698722,0.5768467418549734,0.0,0.0,0.0
enc_f16_32_64,SeqEncoder_cd-hit0_full,enc_f16_32_64,"[16, 32, 64]",2,4219553,0.1758741851275166,0.21122440482888902,0.17962040432861873,0.4216777230962734,0.4756983098551357,0.47513475186529597,0.5416441723390996,0.5313873851635018,0.5568439555074615,0.0,0.0,0.0
enc_f16_32_32,SeqEncoder_cd-hit0_full,enc_f16_32_32,"[16, 32, 32]",2,2109889,0.01974494813475758,0.12627649839435304,0.08428426086902618,0.6968458029829698,0.9461195748943684,0.6900760130792758,0.942837648603479,0.6940731301644015,0.6850486047308918,0.0,0.0,0.0
enc_f16_16_64,SeqEncoder_cd-hit0_full,enc_f16_16_64,"[16, 16, 64]",2,4213313,0.0810627945077916,0.143053195306233,0.12399934338671821,0.6281810728772006,0.7696143130515208,0.6348152020996202,0.7809949169597701,0.6677939228036278,0.6773731799948036,0.0,0.0,0.0
enc_f16_16_32,SeqEncoder_cd-hit0_full,enc_f16_16_32,"[16, 16, 32]",2,2105185,0.020283637083290767,0.12148589427982058,0.08468577265739441,0.7067784768377096,0.9438957158335586,0.6965147746767836,0.9403909952228512,0.7038453802601844,0.6917758284564702,0.0,0.0,0.0
enc_f16_16_16,SeqEncoder_cd-hit0_full,enc_f16_16_16,"[16, 16, 16]",2,1053425,0.020476258592680097,0.1228854890380587,0.08705823123455048,0.6971252673938552,0.9435850693411815,0.6847971943218772,0.9401091646655161,0.6982218560779708,0.688228318567936,0.0,0.0,0.0
enc_f8_64_64,SeqEncoder_cd-hit0_full,enc_f8_64_64,"[8, 64, 64]",2,4234385,0.15659270342439413,0.19129228804792678,0.1626656481197902,0.4907710362623133,0.548219287211266,0.5336915815328543,0.5899933262905755,0.5719493344050853,0.5945376523061064,0.0,0.0,0.0
enc_f8_32_64,SeqEncoder_cd-hit0_full,enc_f8_32_64,"[8, 32, 64]",2,4218065,0.14248056011274457,0.18648920314652578,0.15591896431786673,0.4963213128942863,0.5890400001039858,0.5451824306631301,0.6192125303466176,0.5734804099351962,0.6016555118043829,0.0,0.0,0.0
enc_f8_32_32,SeqEncoder_cd-hit0_full,enc_f8_32_32,"[8, 32, 32]",2,2108401,0.15710126562044024,0.18719525209495,0.1578677637236459,0.46012065601260826,0.5155535159066157,0.5086921092135627,0.5838635782858737,0.5755469746818772,0.6011510518248075,0.0,0.0,0.0
enc_f8_16_64,SeqEncoder_cd-hit0_full,enc_f8_16_64,"[8, 16, 64]",2,4212209,0.15427379061778387,0.19289775405611312,0.16182752805096762,0.49920723031010594,0.5677108439955013,0.5383194166046245,0.5960599928985877,0.5676382032669482,0.5959033449113911,0.0,0.0,0.0
enc_f8_16_32,SeqEncoder_cd-hit0_full,enc_f8_16_32,"[8, 16, 32]",2,2104081,0.025632280196684103,0.13086467129843576,0.09264771320990153,0.6811210764024811,0.9289660792493377,0.6765031683391793,0.9244374061306914,0.6785821541682518,0.6743210639837505,0.0,0.0,0.0
enc_f8_16_16,SeqEncoder_cd-hit0_full,enc_f8_16_16,"[8, 16, 16]",2,1052321,0.04318480294508239,0.10118774537529264,0.08426887222698756,0.7115533918396472,0.8651180100117668,0.7023325093659462,0.8560117511125567,0.706633495758789,0.6956119660586728,0.0,0.0,0.0
enc_f8_8_64,SeqEncoder_cd-hit0_full,enc_f8_8_64,"[8, 8, 64]",2,4209857,0.0895101500985523,0.15309265681675502,0.12894552201032639,0.5918609161654401,0.7426500650907856,0.6177215655829972,0.7584012196587264,0.6468207347105389,0.6666542874263538,0.0,0.0,0.0
enc_f8_8_32,SeqEncoder_cd-hit0_full,enc_f8_8_32,"[8, 8, 32]",2,2102497,0.020697955119734008,0.13224796312195913,0.08987367685352053,0.6829722716654256,0.943666077638691,0.6904232829391102,0.9402810401972101,0.6828492834883961,0.6908178513142785,0.0,0.0,0.0
enc_f8_8_16,SeqEncoder_cd-hit0_full,enc_f8_8_16,"[8, 8, 16]",2,1051121,0.045389073978488646,0.10058441545282092,0.08355717680283956,0.7136606617852534,0.8570660487130137,0.6925196050457675,0.8475825629981212,0.701591222942313,0.695615279485841,0.0,0.0,0.0
