run_name,exp,run,arc_features,arc_skip,arc_encoder_blocks,arc_num_conv,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
s2m_skip1_combsf4_16_128_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_16_128_256_512,"[4, 16, 128, 256, 512]",1,4,2,4096.0,2776825,0.03532802814152092,0.07663155027798244,0.06838529397334371,0.7760624085390804,0.8777259826021897,0.7616732416264,0.8676642031367653,0.7454989361117208,0.7386987253568068,0.0,0.0,0.0
s2m_skip0_combsf4_16_128_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_16_128_256_512,"[4, 16, 128, 256, 512]",0,4,2,4096.0,2530249,0.03062173561193049,0.07637740565197808,0.0732254928776196,0.7584210862358052,0.8983276247006077,0.7431768470397095,0.8891956664326376,0.7483392188264874,0.7267462399879897,0.0,0.0,0.0
s2m_skip1_combsf4_16_64_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_16_64_256_512,"[4, 16, 64, 256, 512]",1,4,2,4096.0,2524089,0.023076781226942938,0.06872419374329704,0.06355550033705575,0.7879264913805238,0.9243162831557991,0.7779398357643331,0.9183436380041315,0.7847926216776181,0.7633874549342902,0.0,0.0,0.0
s2m_skip0_combsf4_16_64_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_16_64_256_512,"[4, 16, 64, 256, 512]",0,4,2,4096.0,2314377,0.043247629810745515,0.08090461896998542,0.07329908013343811,0.7383927936270221,0.8453613789699134,0.7209989445069057,0.8303466805278403,0.7185391757466428,0.7077263312816563,0.0,0.0,0.0
s2m_skip1_combsf4_16_64_128_512,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_16_64_128_512,"[4, 16, 64, 128, 512]",1,4,2,4096.0,1490233,0.028354306200829644,0.0743537140744073,0.06382505914994649,0.7798338294031609,0.9036551684071296,0.7749478687527654,0.8960383069509975,0.7793214108962959,0.765623769278499,0.0,0.0,0.0
s2m_skip0_combsf4_16_64_128_512,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_16_64_128_512,"[4, 16, 64, 128, 512]",0,4,2,4096.0,1427977,0.0615824363194406,0.08991669969899314,0.0783463301403182,0.7415563387862927,0.7700063334451648,0.7281028787432448,0.7442498319066595,0.6795476680472691,0.67842450599416,0.0,0.0,0.0
s2m_skip1_combsf4_16_64_128_256,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_16_64_128_256,"[4, 16, 64, 128, 256]",1,4,2,2048.0,702265,0.030541239422746003,0.07041787781885692,0.06092092181955065,0.7687694762881491,0.8963168765692345,0.78060443719513,0.8873383988618134,0.7729249437100634,0.7686650803007568,0.0,0.0,0.0
s2m_skip0_combsf4_16_64_128_256,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_16_64_128_256,"[4, 16, 64, 128, 256]",0,4,2,2048.0,640009,0.03734343607599536,0.07433712588889259,0.06758174672722816,0.7595505174047025,0.870219121936171,0.7543900084499983,0.8591211259233499,0.743996432673479,0.7416666065599555,0.0,0.0,0.0
s2m_skip1_combsf4_16_32_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip1_combsf4_16_32_256_512,"[4, 16, 32, 256, 512]",1,4,2,4096.0,2434585,0.032649442281884454,0.07141491025686264,0.06729608454874583,0.7726338404695977,0.889198927781088,0.7563328141359745,0.8793621925901453,0.7670031253713595,0.7452921673488415,0.0,0.0,0.0
s2m_skip0_combsf4_16_32_256_512,deep_Seq2Motif_cd-hit0_full,s2m_skip0_combsf4_16_32_256_512,"[4, 16, 32, 256, 512]",0,4,2,4096.0,2234089,0.09123392247905333,0.10762867437941688,0.0965380562203271,0.677314521523389,0.6962059647039377,0.6752055902917153,0.5401835559249523,0.5177139086036384,0.5157884644831702,0.0,0.0,0.0
