"run_uuid","name","best_epoch","arc_filters","arc_rank","arc_kernel","arc_stride_1","arc_stride_2","arc_num_conv1","arc_num_layers","arc_num_conv2","arc_latent_dim","arc_latent_volume","arc_skip","arc_encoder_blocks","best_epoch","train_loss","train_Accuracy","train_Accuracy_seq","train_F1","valid_loss","valid_Accuracy","valid_Accuracy_seq","valid_F1","test_loss","test_Accuracy","test_Accuracy_seq","test_F1"
"7c01bf6db1b84f9695e2db70a113fc69",A_nc1-resnet0-nc1-2encode-flat1-skip0,18,"8","16","3","2","2","1","0","1","0","512","0","2",18,0.011624511836277407,0.993221749736287,0.09440928270042194,0.9931929539461635,0.010212885710049649,0.9935327646683674,0.14285714285714285,0.9935123009027602,0.01174261416148009,0.9913708917025862,0.09051724137931035,0.991325342260128
"7c01bf6db1b84f9695e2db70a113fc69",A_nc1-resnet0-nc1-2encode-flat1-skip0,18,"8","16","3","2","2","1","0","1","0","512","0","2",18,0.011624511836277407,0.993221749736287,0.09440928270042194,0.9931929539461635,0.010212885710049649,0.9935327646683674,0.14285714285714285,0.9935123009027602,0.11029559361009762,0.8593834186422413,0.0,0.8453232631191583
"7c01bf6db1b84f9695e2db70a113fc69",A_nc1-resnet0-nc1-2encode-flat1-skip0,18,"8","16","3","2","2","1","0","1","0","512","0","2",18,0.011624511836277407,0.993221749736287,0.09440928270042194,0.9931929539461635,0.010212885710049649,0.9935327646683674,0.14285714285714285,0.9935123009027602,0.11117679998278618,0.8582721578663793,0.0,0.8442735101600438
"6d1c9cca854b4551ab6e24591efdd1a7",A_nc1-resnet0-nc1-2encode-flat1-skip1,19,"8","16","3","2","2","1","0","1","0","512","1","2",19,0.003319698771489352,0.9998846255274262,0.959915611814346,0.999884507613946,0.0023731829251675885,0.9999003507653061,0.9591836734693877,0.9999003024552238,0.0000418039166859,1.0,1.0,1.0
"6d1c9cca854b4551ab6e24591efdd1a7",A_nc1-resnet0-nc1-2encode-flat1-skip1,19,"8","16","3","2","2","1","0","1","0","512","1","2",19,0.003319698771489352,0.9998846255274262,0.959915611814346,0.999884507613946,0.0023731829251675885,0.9999003507653061,0.9591836734693877,0.9999003024552238,0.0025663685699892714,0.9998484644396551,0.9612068965517241,0.9998483940358901
"6d1c9cca854b4551ab6e24591efdd1a7",A_nc1-resnet0-nc1-2encode-flat1-skip1,19,"8","16","3","2","2","1","0","1","0","512","1","2",19,0.003319698771489352,0.9998846255274262,0.959915611814346,0.999884507613946,0.0023731829251675885,0.9999003507653061,0.9591836734693877,0.9999003024552238,0.0037078091489343807,0.9986614358836207,0.5560344827586207,0.9986593573919366
"6d1c9cca854b4551ab6e24591efdd1a7",A_nc1-resnet0-nc1-2encode-flat1-skip1,19,"8","16","3","2","2","1","0","1","0","512","1","2",19,0.003319698771489352,0.9998846255274262,0.959915611814346,0.999884507613946,0.0023731829251675885,0.9999003507653061,0.9591836734693877,0.9999003024552238,0.12748551394405036,0.819159146012931,0.0,0.7773439157214872
"4bd9e67741a640a88f62467ee7c84a8e",A_nc1-resnet0-nc2-2encode-flat1-skip0,18,"8","16","3","2","2","1","0","2","0","256","0","2",18,0.05396976431965325,0.9353851447125527,0.0,0.9331664213815315,0.058015060744115284,0.9264588647959183,0.0,0.9235779424671255,0.06005796584589728,0.9255034348060345,0.0,0.9224440106283347
"4bd9e67741a640a88f62467ee7c84a8e",A_nc1-resnet0-nc2-2encode-flat1-skip0,18,"8","16","3","2","2","1","0","2","0","256","0","2",18,0.05396976431965325,0.9353851447125527,0.0,0.9331664213815315,0.058015060744115284,0.9264588647959183,0.0,0.9235779424671255,0.11915986676668298,0.8498114224137931,0.0,0.8301874467634127
"4bd9e67741a640a88f62467ee7c84a8e",A_nc1-resnet0-nc2-2encode-flat1-skip0,18,"8","16","3","2","2","1","0","2","0","256","0","2",18,0.05396976431965325,0.9353851447125527,0.0,0.9331664213815315,0.058015060744115284,0.9264588647959183,0.0,0.9235779424671255,0.12035652378509784,0.8437415813577587,0.0,0.8233015626684962
"50ca7fb8a7e046d7bf5aef3bda3b4a79",A_nc1-resnet0-nc2-2encode-flat1-skip1,18,"8","16","3","2","2","1","0","2","0","256","1","2",18,0.0042096930659152095,0.9997826427347046,0.9140295358649789,0.9997823756928106,0.00396876678117836,0.999870455994898,0.9387755102040817,0.9998703793084506,0.004230049972679338,0.9998821390086207,0.9396551724137931,0.9998820840892613
"50ca7fb8a7e046d7bf5aef3bda3b4a79",A_nc1-resnet0-nc2-2encode-flat1-skip1,18,"8","16","3","2","2","1","0","2","0","256","1","2",18,0.0042096930659152095,0.9997826427347046,0.9140295358649789,0.9997823756928106,0.00396876678117836,0.999870455994898,0.9387755102040817,0.9998703793084506,0.004968066430843339,0.9995874865301724,0.8017241379310345,0.9995872677083871
"50ca7fb8a7e046d7bf5aef3bda3b4a79",A_nc1-resnet0-nc2-2encode-flat1-skip1,18,"8","16","3","2","2","1","0","2","0","256","1","2",18,0.0042096930659152095,0.9997826427347046,0.9140295358649789,0.9997823756928106,0.00396876678117836,0.999870455994898,0.9387755102040817,0.9998703793084506,0.00526759620145734,0.9947972790948276,0.07327586206896551,0.9947686803829042
d52312c427fb461598d70343ffb821d8,A_nc1-resnet0-nc3-2encode-flat1-skip0,19,"8","16","3","2","2","1","0","3","0","128","0","2",19,0.1013149739192005,0.8633770520174051,0.0,0.8483776999807339,0.11549013290478259,0.8416872608418368,0.0,0.8165941475421964,0.11438610494650643,0.8427481815732759,0.0,0.822664438797048
