,famfold,rnadist_100,rnadist_200,rnadist_400,hc_100,hc_200,hc_400,samples_100,samples_200,samples_400
23s,0.423,0.415,0.418,0.393,0.414,0.429,0.403,0.405,0.382,0.414
telomerase,0.209,0.21,0.196,0.225,0.205,0.196,0.225,0.185,0.2,0.211
16s,0.367,0.354,0.367,0.382,0.358,0.364,0.374,0.372,0.368,0.383
5s,0.531,0.501,0.533,0.497,0.486,0.542,0.498,0.5,0.526,0.509
grp1,0.397,0.379,0.395,0.418,0.384,0.394,0.422,0.396,0.385,0.4
srp,0.263,0.327,0.307,0.258,0.336,0.303,0.271,0.319,0.315,0.257
RNaseP,0.391,0.443,0.467,0.424,0.47,0.478,0.427,0.48,0.445,0.456
tmRNA,0.352,0.342,0.349,0.355,0.341,0.362,0.356,0.334,0.346,0.351
tRNA,0.639,0.653,0.695,0.691,0.669,0.672,0.68,0.655,0.684,0.713
