run_name,exp,run,arc_features,arc_num_conv,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
SCNN_nc2_f16_16_16,SimpleCNN_compress,SCNN_nc2_f16_16_16,"[16, 16, 16]",2,512.0,70001,0.016768669833739598,0.14090180210769176,0.0659815538674593,0.8054866161632098,0.9800328380191475,0.9089548120875236,0.9774556049261677,0.8047705691760422,0.8958720501185251,0.0,0.0,0.0
SCNN_nc2_f8_16_16,SimpleCNN_compress,SCNN_nc2_f8_16_16,"[8, 16, 16]",2,512.0,68897,0.012654172008236248,0.13517646305263042,0.07655802369117737,0.8063214251781096,0.9854321774011534,0.8888042875120672,0.9835727697963531,0.8076933650098763,0.8731997150177442,0.0,0.0,0.0
SCNN_nc2_f8_8_16,SimpleCNN_compress,SCNN_nc2_f8_8_16,"[8, 8, 16]",2,512.0,67697,0.015825304916749397,0.12502063997089863,0.0635108333081007,0.815383835186154,0.9814135448184604,0.9071023515843074,0.9790298771669821,0.8247046625267183,0.8954085477253309,0.0,0.0,0.0
SCNN_nc2_f8_8_8,SimpleCNN_compress,SCNN_nc2_f8_8_8,"[8, 8, 8]",2,256.0,34105,0.017908780556172132,0.14607411809265614,0.06542055308818817,0.7997022167967051,0.9790111778579451,0.9105846471786957,0.9763028281996395,0.8000255347468701,0.8993012735266894,0.0,0.0,0.0
SCNN_nc2_f4_16_16,SimpleCNN_compress,SCNN_nc2_f4_16_16,"[4, 16, 16]",2,512.0,68489,0.020494398195296526,0.13489206321537495,0.07049820572137833,0.8153726389852445,0.9759364517531269,0.9051155473051002,0.972839111461012,0.8165665167914465,0.891787416894998,0.0,0.0,0.0
SCNN_nc2_f4_8_16,SimpleCNN_compress,SCNN_nc2_f4_8_16,"[4, 8, 16]",2,512.0,67385,0.014945282787084579,0.1414764355868101,0.06752809695899487,0.801884141602948,0.9824741710289061,0.9061671953454518,0.9802219176428556,0.8055235017653706,0.8945581998845432,0.0,0.0,0.0
SCNN_nc2_f4_8_8,SimpleCNN_compress,SCNN_nc2_f4_8_8,"[4, 8, 8]",2,256.0,33793,0.015309375307212273,0.1380127016454935,0.07889191247522831,0.8170504970350216,0.9822081205672014,0.8927904919240979,0.9799426905420344,0.8167912833677697,0.8794708199953775,0.0,0.0,0.0
SCNN_nc2_f4_4_16,SimpleCNN_compress,SCNN_nc2_f4_4_16,"[4, 4, 16]",2,512.0,66977,0.016853702906519174,0.14736869744956493,0.07246445305645466,0.7983670944672051,0.9804077048080697,0.9020518154875191,0.977891959661192,0.8010274234314417,0.8885671214712322,0.0,0.0,0.0
SCNN_nc2_f4_4_8,SimpleCNN_compress,SCNN_nc2_f4_4_8,"[4, 4, 8]",2,256.0,33481,0.021050268287460008,0.15233782120049,0.086415471509099,0.7854544612288928,0.9749706347565099,0.8796781709181775,0.9717615036092269,0.7882845217088608,0.8633043595671867,0.0,0.0,0.0
SCNN_nc2_f4_4_4,SimpleCNN_compress,SCNN_nc2_f4_4_4,"[4, 4, 4]",2,128.0,16877,0.026361781669159732,0.15293501131236553,0.08141795173287392,0.7825852020303781,0.9681857665542096,0.8868965018514051,0.9640927503826006,0.789139702570441,0.8737639006350985,0.0,0.0,0.0
SCNN_nc2_f16_16,SimpleCNN_compress,SCNN_nc2_f16_16,"[16, 16]",2,1024.0,133905,0.011803494673222304,0.1265194546431303,0.04904589056968689,0.8309139674077359,0.9866559098513613,0.9334617797228256,0.9850056230055672,0.8350728501755069,0.9246564462452548,0.0,0.0,0.0
SCNN_nc2_f8_16,SimpleCNN_compress,SCNN_nc2_f8_16,"[8, 16]",2,1024.0,132801,0.016158372287948926,0.14481954462826252,0.06101879011839628,0.8033034090232822,0.9817595798863761,0.917345089624807,0.9794288580418619,0.8084723305444308,0.9060049982484578,0.0,0.0,0.0
SCNN_nc2_f8_8,SimpleCNN_compress,SCNN_nc2_f8_8,"[8, 8]",2,512.0,66441,0.013631688710302115,0.13822175934910774,0.06820332165807486,0.8117002920941374,0.9848245597682684,0.9076073514117233,0.9828976262454585,0.820876890824028,0.8955128744922001,0.0,0.0,0.0
SCNN_nc2_f4_16,SimpleCNN_compress,SCNN_nc2_f4_16,"[4, 16]",2,1024.0,132393,0.016951757421096166,0.13859738036990166,0.06547568365931511,0.8161003223481159,0.9805750953576069,0.9090038374156753,0.9780791374229155,0.8148447753525657,0.896008892275408,0.0,0.0,0.0
SCNN_nc2_f4_8,SimpleCNN_compress,SCNN_nc2_f4_8,"[4, 8]",2,512.0,66129,0.01428226480881373,0.15875884145498276,0.073683250695467,0.785718543665394,0.9837516164666612,0.8967334391540734,0.9816863384765813,0.7897448876537216,0.8840771716218809,0.0,0.0,0.0
SCNN_nc2_f4_4,SimpleCNN_compress,SCNN_nc2_f4_4,"[4, 4]",2,256.0,33141,0.023608332499861717,0.14677338115870953,0.07540962379425764,0.7995099574816531,0.973807953314226,0.9031166335176519,0.9705958944247893,0.8100040294090923,0.8924405604681789,0.0,0.0,0.0
SCNN_nc2_f16,SimpleCNN_compress,SCNN_nc2_f16,[16],2,2048.0,263345,0.02582932828615109,0.1553107239305973,0.0727708451449871,0.795471392932934,0.972185779590108,0.9053227496926428,0.9686205286512996,0.8003077563169406,0.8931999282248041,0.0,0.0,0.0
