epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.6306,0.0186,0.7140,0.7420,0.0212
1,0.6812,0.0147,0.6733,0.7589,0.0182
2,0.7339,0.0115,0.7700,0.7899,0.0202
3,0.7854,0.0083,0.7773,0.8018,0.0207
4,0.8106,0.0068,0.7658,0.8035,0.0173
