"run_uuid","name","best_epoch","arc_filters","arc_rank","arc_kernel","arc_stride_1","arc_stride_2","arc_num_conv1","arc_num_conv2","arc_skip_conn","hyp_lr","hyp_output_th","hyp_scheduler","best_epoch","train_loss","train_Accuracy","train_Accuracy_seq","train_F1","valid_loss","valid_Accuracy","valid_Accuracy_seq","valid_F1","test_loss","test_Accuracy","test_Accuracy_seq","test_F1"
"45b10f87b77e439c9f6699281868a50a",UNet-no-skips-num_convs-1-1-stride-1-1,15,"4","8","3","1","1","1","1",0,"0.001","0.5",none,15,0.0015995598751570213,0.9996858105880801,0.8454641350210971,0.9996856413239292,0.0011257379237391359,0.9994021045918368,0.6938775510204082,0.999401580030682,0.0011858416667031445,0.9992591594827587,0.6206896551724138,0.9992584813919794
"2fd6a6b9cb7e40b586f71e12611fbdd1",UNet-no-skips-num_convs-1-1-stride-1-2,15,"4","8","3","1","2","1","1",0,"0.001","0.5",none,15,0.001302803384571411,0.9999917589662447,0.9957805907172996,0.9999917577485988,0.0003049183085713,0.9999900350765306,0.9948979591836735,0.9999900400937668,0.000302067480616,1.0,1.0,1.0
e92bbc5c1da54c038e6f2ff27308c278,UNet-no-skips-num_convs-1-1-stride-2-1,18,"4","8","3","2","1","1","1",0,"0.001","0.5",none,18,0.048799323350316864,0.9538636026503164,0.0,0.9526733785693445,0.0480434744029629,0.9513213488520408,0.0,0.9498931460738638,0.05178052058507656,0.9493702855603449,0.0,0.9479007696467984
"27a6371e0fcc44409b1ce1083adee1e1",UNet-no-skips-num_convs-1-1-stride-2-2,18,"4","8","3","2","2","1","1",0,"0.001","0.5",none,18,0.049814849769704454,0.9492300814214135,0.0,0.9479048668249451,0.04933405614324978,0.9466677295918368,0.0,0.9448469470898901,0.05271999518676051,0.9423238820043104,0.0,0.9401521359899088
a2b2ba237d134195a24bbbe0836df8d7,UNet-no-skips-num_convs-1-2-stride-1-1,15,"4","8","3","1","1","1","2",0,"0.001","0.5",none,15,0.0005652486089824,0.9999866083201476,0.9936708860759493,0.9999866106067418,0.0000901281985404,1.0,1.0,1.0,0.0000907487420622,1.0,1.0,1.0
a04310edf95a4ace8b07d90784515235,UNet-no-skips-num_convs-1-2-stride-1-2,17,"4","8","3","1","2","1","2",0,"0.001","0.5",none,17,0.005450824973613558,0.9993839827267933,0.8074894514767933,0.9993840177737274,0.0025001366157084703,0.9995914381377551,0.8826530612244898,0.9995915137231022,0.0025570903993051113,0.9997221848060345,0.9267241379310345,0.9997221723585787
"4332c292f8d94c709590b4d786a54576",UNet-no-skips-num_convs-1-2-stride-2-1,19,"4","8","3","2","1","1","2",0,"0.001","0.5",none,19,0.04784667227841631,0.9545682110363924,0.0,0.9529331071287767,0.04731458349495518,0.9536431760204082,0.0,0.9516942754655574,0.051731960205682395,0.9493113550646551,0.0,0.9470596942918899
"63be1d14203041e18ac38d6a3a9991fc",UNet-no-skips-num_convs-1-2-stride-2-2,19,"4","8","3","2","2","1","2",0,"0.001","0.5",none,19,0.07095749229821474,0.908497741956751,0.0,0.9020940816062734,0.06573803502382064,0.9152582908163265,0.0,0.9089102427292749,0.07140454367317002,0.9049282731681034,0.0,0.8980709733860713
"6f8b80d5302d40fcb16d181c5d1638d1",UNet-no-skips-num_convs-2-1-stride-1-1,18,"4","8","3","1","1","2","1",0,"0.001","0.5",none,18,0.001089734136680031,0.9997579196334389,0.8765822784810127,0.9997577703936028,0.0005225624894481,0.9998106664540817,0.9030612244897959,0.9998105497632402,0.0004961473003214,0.9998316271551724,0.9137931034482759,0.999831494221199
"96ab9d2370ac480e9d2051a8c9977f30",UNet-no-skips-num_convs-2-1-stride-1-2,19,"4","8","3","1","2","2","1",0,"0.001","0.5",none,19,0.0016304330638991001,0.9999608550896625,0.9836497890295358,0.9999608277757012,0.0009308189310476,1.0,1.0,1.0,0.0008975957381812,1.0,1.0,1.0
bd637585a1f648c1a34799b78aeb8e4a,UNet-no-skips-num_convs-2-1-stride-2-1,17,"4","8","3","2","1","2","1",0,"0.001","0.5",none,17,0.09368551692253427,0.886678574960443,0.0,0.8752025654387482,0.09016692714423549,0.8903858418367347,0.0,0.8780969139893214,0.09660575127807157,0.8819369612068966,0.0,0.868067678699617
"84ffaec202174a79b8600d1fc7f25720",UNet-no-skips-num_convs-2-1-stride-2-2,18,"4","8","3","2","2","2","1",0,"0.001","0.5",none,18,0.10023296559976123,0.8635799874736287,0.0,0.844976959868516,0.09522626199284379,0.8702068718112245,0.0,0.851113088466562,0.10202845185995102,0.8564789870689655,0.0,0.8367919602320046
d29b0b3c59294f14b5450c843b0a3249,UNet-no-skips-num_convs-2-2-stride-1-1,11,"4","8","3","1","1","2","2",0,"0.001","0.5",none,11,0.0008919129063025,0.9999958794831224,0.9978902953586498,0.9999958776717016,0.0003015476870541,1.0,1.0,1.0,0.0003055600601987,1.0,1.0,1.0
f648dcae9b87443fbc3de7db89aa6d70,UNet-no-skips-num_convs-2-2-stride-1-2,15,"4","8","3","1","2","2","2",0,"0.001","0.5",none,15,0.008906755553173365,0.9956569752109705,0.018459915611814346,0.9956472280945033,0.006474130672915857,0.9959044164540817,0.03571428571428571,0.9958952905763078,0.006225517814465124,0.9958917025862069,0.0,0.9958828393843963
"2c5149c63ba8402199b22984768ac162",UNet-no-skips-num_convs-2-2-stride-2-1,19,"4","8","3","2","1","2","2",0,"0.001","0.5",none,19,0.09478329626631134,0.8872729595200421,0.0,0.8762176238472393,0.09037350924039374,0.8928870376275511,0.0,0.8803957798926121,0.09635396982575285,0.8839995285560345,0.0,0.869977307035871
"83090e76520d4a6e88b3cb169d0a7d01",UNet-no-skips-num_convs-2-2-stride-2-2,18,"4","8","3","2","2","2","2",0,"0.001","0.5",none,18,0.11503869081348307,0.8475419056566456,0.0,0.8189655088810236,0.10614242100593996,0.860481106505102,0.0,0.8331878675297687,0.11342660003694995,0.8509984509698276,0.0,0.8214310932798765
"4a8346932486484082b83862abf31afb",UNet-no-skips-num_convs-3-1-stride-1-1,17,"4","8","3","1","1","3","1",0,"0.001","0.5",none,17,0.0007739082508807,0.9999958794831224,0.9978902953586498,0.9999958778438828,0.0003303078992758,1.0,1.0,1.0,0.0003365310102677,1.0,1.0,1.0
"7cf5a69b65304b67aa8834384998bd42",UNet-no-skips-num_convs-3-1-stride-1-2,18,"4","8","3","1","2","3","1",0,"0.001","0.5",none,18,0.001919919081284755,0.9997218651107594,0.8771097046413502,0.9997216909571874,0.0011366183349235477,0.9998007015306123,0.9183673469387755,0.9998006214737893,0.0011733122338572967,0.999823208512931,0.9137931034482759,0.9998230862851047
f9eb6dc64101466792c476dd40eaa5ea,UNet-no-skips-num_convs-3-1-stride-2-1,19,"4","8","3","2","1","3","1",0,"0.001","0.5",none,19,0.12156493139732236,0.8382017240242616,0.0,0.8088165871199748,0.11510896241786528,0.8452347735969388,0.0,0.8134015399444299,0.12177435527073927,0.8381852774784483,0.0,0.8034898246371242
