run_name,arc_features,arc_encoder_blocks,arc_latent_volume,arc_num_params,arc_skip,arc_pool_mode,arc_up_mode,arc_addition,arc_skip,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
model_n4-3-n8-2-p-max-up-upsample-add-cat-skip1,"[4, 4, 4, 4, 8, 8]",5,32.0,2612,1,max,upsample,cat,1,0.10080705136060715,0.09143698029220104,0.0964068453758955,0.7050467381730644,0.6905436447906796,0.6887033536225252,0.6905436447906796,0.7050467381730644,0.6887033536225252,0.0,0.0,0.0
model_n4-3-n8-2-p-max-up-upsample-add-cat-skip0,"[4, 4, 4, 4, 8, 8]",5,32.0,2228,0,max,upsample,cat,0,0.15353644490242005,0.14716153591871262,0.15120700746774673,0.29629809660226347,0.3098173745070115,0.27385016906267184,0.3098173745070115,0.29629809660226347,0.27385016906267184,0.0,0.0,0.0
model_n4-3-n8-2-p-max-up-upsample-add-sum-skip1,"[4, 4, 4, 4, 8, 8]",5,32.0,2348,1,max,upsample,sum,1,0.018691930050651232,0.016439607366919518,0.01796317659318447,0.9876251425660397,0.9847898070186493,0.9772460782252015,0.9847898070186495,0.9876251425660397,0.9772460782252015,0.0,0.0,0.0
model_n4-3-n8-2-p-max-up-upsample-add-sum-skip0,"[4, 4, 4, 4, 8, 8]",5,32.0,2228,0,max,upsample,sum,0,0.15502206136782964,0.1519494540989399,0.15441028401255608,0.29961574230031685,0.30902935624680183,0.27500682413265853,0.30902935624680183,0.29961574230031685,0.27500682413265853,0.0,0.0,0.0
model_n4-3-n8-2-p-max-up-transpose-add-cat-skip1,"[4, 4, 4, 4, 8, 8]",5,32.0,3020,1,max,transpose,cat,1,0.04677329721550147,0.04326022882014513,0.04710444714874029,0.9515939384946217,0.9462988642012271,0.9480606315518274,0.9462988642012271,0.9515939384946217,0.9480606315518274,0.0,0.0,0.0
model_n4-3-n8-2-p-max-up-transpose-add-cat-skip0,"[4, 4, 4, 4, 8, 8]",5,32.0,2636,0,max,transpose,cat,0,0.16891989807287852,0.163056880235672,0.16714587062597275,0.2821040135065759,0.29945977165258086,0.2761292965314624,0.29945977165258086,0.2821040135065759,0.2761292965314624,0.0,0.0,0.0
model_n4-3-n8-2-p-max-up-transpose-add-sum-skip1,"[4, 4, 4, 4, 8, 8]",5,32.0,2636,1,max,transpose,sum,1,0.07118270148833593,0.06898027285933495,0.07276368327438831,0.7662180936438097,0.7758094237108704,0.7560604920108327,0.7758094237108704,0.7662180936438097,0.7560604920108327,0.0,0.0,0.0
model_n4-3-n8-2-p-max-up-transpose-add-sum-skip0,"[4, 4, 4, 4, 8, 8]",5,32.0,2636,0,max,transpose,sum,0,0.16891989807287852,0.163056880235672,0.16714587062597275,0.2821040135065759,0.29945977165258086,0.2761292965314624,0.29945977165258086,0.2821040135065759,0.2761292965314624,0.0,0.0,0.0
model_n4-3-n8-2-p-avg-up-upsample-add-cat-skip1,"[4, 4, 4, 4, 8, 8]",5,32.0,2612,1,avg,upsample,cat,1,0.0887854665517807,0.08176133781671524,0.08683252148330212,0.7236783419192945,0.718369628479486,0.7093707096494526,0.718369628479486,0.7236783419192945,0.7093707096494526,0.0,0.0,0.0
model_n4-3-n8-2-p-avg-up-upsample-add-cat-skip0,"[4, 4, 4, 4, 8, 8]",5,32.0,2228,0,avg,upsample,cat,0,0.15384700745344163,0.147430919110775,0.15134000033140182,0.29306046241071676,0.30484707789719434,0.283573405079773,0.30484707789719434,0.29306046241071676,0.283573405079773,0.0,0.0,0.0
model_n4-3-n8-2-p-avg-up-upsample-add-sum-skip1,"[4, 4, 4, 4, 8, 8]",5,32.0,2348,1,avg,upsample,sum,1,0.020399629200498263,0.017393081914633512,0.01753448974341154,0.9976454642747588,0.996023035875919,0.9976936068200216,0.996023035875919,0.9976454642747588,0.9976936068200216,0.0,0.0,0.0
model_n4-3-n8-2-p-avg-up-upsample-add-sum-skip0,"[4, 4, 4, 4, 8, 8]",5,32.0,2228,0,avg,upsample,sum,0,0.15384808828433355,0.14717064052820206,0.1510811671614647,0.2972932182201108,0.30627415451012435,0.2852325459120266,0.30627415451012435,0.2972932182201108,0.2852325459120266,0.0,0.0,0.0
model_n4-3-n8-2-p-avg-up-transpose-add-cat-skip1,"[4, 4, 4, 4, 8, 8]",5,32.0,3020,1,avg,transpose,cat,1,0.04503583212693532,0.042745876125991344,0.045838529244065285,0.9804847411535665,0.9828969818387573,0.9805214464041128,0.9828969818387573,0.9804847411535665,0.9805214464041128,0.0,0.0,0.0
model_n4-3-n8-2-p-avg-up-transpose-add-cat-skip0,"[4, 4, 4, 4, 8, 8]",5,32.0,2636,0,avg,transpose,cat,0,0.16936711519956588,0.16270378977060318,0.16743779182434082,0.29179421721671717,0.30087937841541756,0.28169192774341584,0.30087937841541756,0.29179421721671717,0.28169192774341584,0.0,0.0,0.0
model_n4-3-n8-2-p-avg-up-transpose-add-sum-skip1,"[4, 4, 4, 4, 8, 8]",5,32.0,2636,1,avg,transpose,sum,1,0.07032697051763534,0.0681880135089159,0.07209974341094494,0.7661005895009243,0.7758417818183706,0.7546595303234751,0.7758417818183706,0.7661005895009243,0.7546595303234751,0.0,0.0,0.0
model_n4-3-n8-2-p-avg-up-transpose-add-sum-skip0,"[4, 4, 4, 4, 8, 8]",5,32.0,2636,0,avg,transpose,sum,0,0.16936711519956588,0.16270378977060318,0.16743779182434082,0.29179421721671717,0.30087937841541756,0.28169192774341584,0.30087937841541756,0.29179421721671717,0.28169192774341584,0.0,0.0,0.0
model_n4-3-n8-1-p-max-up-upsample-add-cat-skip1,"[4, 4, 4, 4, 8]",4,64.0,1556,1,max,upsample,cat,1,0.058315854395429294,0.05616784282028675,0.059477875009179115,0.8049258081933449,0.8080689268879393,0.7831531238291247,0.8080689268879393,0.804925808193345,0.7831531238291247,0.0,0.0,0.0
model_n4-3-n8-1-p-max-up-upsample-add-cat-skip0,"[4, 4, 4, 4, 8]",4,64.0,1364,0,max,upsample,cat,0,0.15418872982263565,0.14787011221051216,0.152387335896492,0.30282931837157157,0.3094922824420213,0.2840854323767697,0.3094922824420213,0.30282931837157157,0.2840854323767697,0.0,0.0,0.0
model_n4-3-n8-1-p-max-up-upsample-add-sum-skip1,"[4, 4, 4, 4, 8]",4,64.0,1412,1,max,upsample,sum,1,0.028413829455773035,0.027953077107667923,0.031890439335256815,0.9518667275782609,0.9548093995236345,0.9407512902836318,0.9548093995236345,0.9518667275782609,0.9407512902836318,0.0,0.0,0.0
model_n4-3-n8-1-p-max-up-upsample-add-sum-skip0,"[4, 4, 4, 4, 8]",4,64.0,1364,0,max,upsample,sum,0,0.15414829899867374,0.1475939266383648,0.15201010182499886,0.3023672488850858,0.30942304413588495,0.2813472288888679,0.30942304413588495,0.3023672488850858,0.2813472288888679,0.0,0.0,0.0
model_n4-3-n8-1-p-max-up-transpose-add-cat-skip1,"[4, 4, 4, 4, 8]",4,64.0,1764,1,max,transpose,cat,1,0.039316360279917716,0.03652919735759497,0.03661539405584335,0.9999595469255663,0.9996675254773868,0.9999622071050642,0.9996675254773868,0.9999595469255663,0.9999622071050642,0.0,0.0,0.0
model_n4-3-n8-1-p-max-up-transpose-add-cat-skip0,"[4, 4, 4, 4, 8]",4,64.0,1572,0,max,transpose,cat,0,0.15317637274662654,0.1460292525589466,0.1507810540497303,0.2993126607318939,0.30708311562724183,0.2793557717566326,0.30708311562724183,0.2993126607318939,0.2793557717566326,0.0,0.0,0.0
model_n4-3-n8-1-p-max-up-transpose-add-sum-skip1,"[4, 4, 4, 4, 8]",4,64.0,1572,1,max,transpose,sum,1,0.02022469478348891,0.019203005824238062,0.020646184217184782,0.9996755950958021,0.9995794452324922,0.9999622071050642,0.9995794452324922,0.9996755950958021,0.9999622071050642,0.0,0.0,0.0
model_n4-3-n8-1-p-max-up-transpose-add-sum-skip0,"[4, 4, 4, 4, 8]",4,64.0,1572,0,max,transpose,sum,0,0.15317637274662654,0.1460292525589466,0.1507810540497303,0.2993126607318939,0.30708311562724183,0.2793557717566326,0.30708311562724183,0.2993126607318939,0.2793557717566326,0.0,0.0,0.0
model_n4-3-n8-1-p-avg-up-upsample-add-cat-skip1,"[4, 4, 4, 4, 8]",4,64.0,1556,1,avg,upsample,cat,1,0.05577294453978539,0.05413523968309164,0.05704656429588795,0.7934718091576465,0.810464427293493,0.7785542492331221,0.810464427293493,0.7934718091576465,0.7785542492331221,0.0,0.0,0.0
model_n4-3-n8-1-p-avg-up-upsample-add-cat-skip0,"[4, 4, 4, 4, 8]",4,64.0,1364,0,avg,upsample,cat,0,0.1538790687918663,0.14714663848280907,0.15191097185015678,0.300205595835592,0.30913842281316295,0.27961016238941083,0.30913842281316295,0.300205595835592,0.27961016238941083,0.0,0.0,0.0
model_n4-3-n8-1-p-avg-up-upsample-add-sum-skip1,"[4, 4, 4, 4, 8]",4,64.0,1412,1,avg,upsample,sum,1,0.027321509706477325,0.027040992863476276,0.03132515959441662,0.9501096251805813,0.9549285325260645,0.9404704423014523,0.9549285325260645,0.9501096251805813,0.9404704423014524,0.0,0.0,0.0
model_n4-3-n8-1-p-avg-up-upsample-add-sum-skip0,"[4, 4, 4, 4, 8]",4,64.0,1364,0,avg,upsample,sum,0,0.15367638518412907,0.14707909896969795,0.15170888602733612,0.30243494638980056,0.3080412614465955,0.27808028538477975,0.3080412614465955,0.30243494638980056,0.27808028538477975,0.0,0.0,0.0
model_n4-3-n8-1-p-avg-up-transpose-add-cat-skip1,"[4, 4, 4, 4, 8]",4,64.0,1764,1,avg,transpose,cat,1,0.04439378281434377,0.04166357312351465,0.0417965529486537,0.9992669880117188,0.997244704232384,0.9991942314793861,0.997244704232384,0.9992669880117188,0.9991942314793861,0.0,0.0,0.0
