run_name,arc_features,arc_encoder_blocks,arc_latent_volume,arc_num_params,arc_skip,arc_pool_mode,arc_up_mode,arc_addition,arc_skip,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
model_n4-3-n8-1-p-avg-up-transpose-add-cat-skip0,"[4, 4, 4, 4, 8]",4,64.0,1572,0,avg,transpose,cat,0,0.15275515168905257,0.1465366631746292,0.15103667229413986,0.2950616272257278,0.30623399074289986,0.2774052107356133,0.30623399074289986,0.2950616272257278,0.2774052107356133,0.0,0.0,0.0
model_n4-3-n8-1-p-avg-up-transpose-add-sum-skip1,"[4, 4, 4, 4, 8]",4,64.0,1572,1,avg,transpose,sum,1,0.022178509955604872,0.02115962654352188,0.022855085786432028,0.999351440583619,0.9991188469949595,0.999527611324722,0.9991188469949595,0.999351440583619,0.999527611324722,0.0,0.0,0.0
model_n4-3-n8-1-p-avg-up-transpose-add-sum-skip0,"[4, 4, 4, 4, 8]",4,64.0,1572,0,avg,transpose,sum,0,0.15275515168905257,0.1465366631746292,0.15103667229413986,0.2950616272257278,0.30623399074289986,0.2774052107356133,0.30623399074289986,0.2950616272257278,0.2774052107356133,0.0,0.0,0.0
model_n4-3-n8-0-p-max-up-upsample-add-cat-skip1,"[4, 4, 4, 4]",3,64.0,1004,1,max,upsample,cat,1,0.003029041007782022,0.0022506881796289235,0.00238680507754907,0.9961638569825705,0.9947154474907492,0.9955060980311288,0.9947154474907492,0.9961638569825705,0.9955060980311288,0.0,0.0,0.0
model_n4-3-n8-0-p-max-up-upsample-add-cat-skip0,"[4, 4, 4, 4]",3,64.0,860,0,max,upsample,cat,0,0.1545934428771337,0.14685115590691566,0.15121258050203323,0.3173188735222965,0.3366346899443578,0.30791164408799426,0.3366346899443578,0.3173188735222965,0.30791164408799426,0.0,0.0,0.0
model_n4-3-n8-0-p-max-up-upsample-add-sum-skip1,"[4, 4, 4, 4]",3,64.0,920,1,max,upsample,sum,1,0.05333125926554203,0.050076525658369064,0.051236558705568314,0.8776625639239625,0.8653460613767149,0.8758169748200881,0.8653460613767149,0.8776625639239625,0.8758169748200881,0.0,0.0,0.0
model_n4-3-n8-0-p-max-up-upsample-add-sum-skip0,"[4, 4, 4, 4]",3,64.0,860,0,max,upsample,sum,0,0.15449718584616978,0.14672193303704262,0.1518293060362339,0.3234811943484941,0.34036382350392724,0.3165211705398443,0.34036382350392724,0.3234811943484941,0.3165211705398443,0.0,0.0,0.0
model_n4-3-n8-0-p-max-up-transpose-add-cat-skip1,"[4, 4, 4, 4]",3,64.0,1160,1,max,transpose,cat,1,0.01566170258447528,0.015366650652140379,0.016058206092566252,0.9963683002869614,0.9947874455933761,0.9960347872380675,0.9947874455933761,0.9963683002869614,0.9960347872380675,0.0,0.0,0.0
model_n4-3-n8-0-p-max-up-transpose-add-cat-skip0,"[4, 4, 4, 4]",3,64.0,1016,0,max,transpose,cat,0,0.15383704354365665,0.1479678936302662,0.15155789628624916,0.2813557899466077,0.29505999992518933,0.2733368994130736,0.29505999992518933,0.2813557899466077,0.2733368994130736,0.0,0.0,0.0
model_n4-3-n8-0-p-max-up-transpose-add-sum-skip1,"[4, 4, 4, 4]",3,64.0,1016,1,max,transpose,sum,1,0.027874698986609776,0.026822241954505444,0.0271464129909873,0.9968132258403641,0.9965851144198878,0.996217216561078,0.9965851144198878,0.9968132258403641,0.996217216561078,0.0,0.0,0.0
model_n4-3-n8-0-p-max-up-transpose-add-sum-skip0,"[4, 4, 4, 4]",3,64.0,1016,0,max,transpose,sum,0,0.15383704354365665,0.1479678936302662,0.15155789628624916,0.2813557899466077,0.29505999992518933,0.2733368994130736,0.29505999992518933,0.2813557899466077,0.2733368994130736,0.0,0.0,0.0
model_n4-3-n8-0-p-avg-up-upsample-add-cat-skip1,"[4, 4, 4, 4]",3,64.0,1004,1,avg,upsample,cat,1,0.0051859299807498855,0.004485688521526754,0.004449352971278131,0.9902049441474171,0.988865733857412,0.9911336356016827,0.988865733857412,0.9902049441474171,0.9911336356016827,0.0,0.0,0.0
model_n4-3-n8-0-p-avg-up-upsample-add-cat-skip0,"[4, 4, 4, 4]",3,64.0,860,0,avg,upsample,cat,0,0.15455305824677149,0.14647527784109116,0.15100060775876045,0.34024231070296534,0.343686928737472,0.3163394527192154,0.343686928737472,0.34024231070296534,0.3163394527192154,0.0,0.0,0.0
model_n4-3-n8-0-p-avg-up-upsample-add-sum-skip1,"[4, 4, 4, 4]",3,64.0,920,1,avg,upsample,sum,1,0.06044318526983261,0.0580724123865366,0.059760051779448986,0.775164842627236,0.7887889581434363,0.7646323746410928,0.7887889581434363,0.775164842627236,0.7646323746410928,0.0,0.0,0.0
model_n4-3-n8-0-p-avg-up-upsample-add-sum-skip0,"[4, 4, 4, 4]",3,64.0,860,0,avg,upsample,sum,0,0.15547273854414623,0.1480204463005066,0.15228044986724854,0.2865462955107897,0.30667207636545707,0.27790987356966423,0.30667207636545707,0.2865462955107897,0.27790987356966423,0.0,0.0,0.0
model_n4-3-n8-0-p-avg-up-transpose-add-cat-skip1,"[4, 4, 4, 4]",3,64.0,1160,1,avg,transpose,cat,1,0.009976273185263078,0.009664836106821895,0.009402825497090816,0.9924474450804106,0.9936782942302607,0.9951488535911334,0.9936782942302607,0.9924474450804106,0.9951488535911334,0.0,0.0,0.0
model_n4-3-n8-0-p-avg-up-transpose-add-cat-skip0,"[4, 4, 4, 4]",3,64.0,1016,0,avg,transpose,cat,0,0.1518339807788531,0.1452653743326664,0.14963578060269356,0.2886361522314111,0.29956612999552407,0.2748190213415775,0.29956612999552407,0.2886361522314111,0.2748190213415775,0.0,0.0,0.0
model_n4-3-n8-0-p-avg-up-transpose-add-sum-skip1,"[4, 4, 4, 4]",3,64.0,1016,1,avg,transpose,sum,1,0.0467167309174935,0.044391960836946964,0.047402918338775635,0.9724325391285608,0.9625790274351268,0.9589184694457418,0.9625790274351268,0.9724325391285608,0.9589184694457418,0.0,0.0,0.0
model_n4-3-n8-0-p-avg-up-transpose-add-sum-skip0,"[4, 4, 4, 4]",3,64.0,1016,0,avg,transpose,sum,0,0.1518339807788531,0.1452653743326664,0.14963578060269356,0.2886361522314111,0.29956612999552407,0.2748190213415775,0.29956612999552407,0.2886361522314111,0.2748190213415775,0.0,0.0,0.0
model_n4-2-n8-2-p-max-up-upsample-add-cat-skip1,"[4, 4, 4, 8, 8]",4,64.0,2324,1,max,upsample,cat,1,0.026283889388044674,0.023949699476361275,0.024648518301546574,0.995772447484335,0.997626929140272,0.9986139322191769,0.997626929140272,0.995772447484335,0.9986139322191769,0.0,0.0,0.0
model_n4-2-n8-2-p-max-up-upsample-add-cat-skip0,"[4, 4, 4, 8, 8]",4,64.0,1988,0,max,upsample,cat,0,0.17537223398685456,0.1690681353211403,0.1746511049568653,0.2908677389832101,0.30327841267025213,0.27580952476342263,0.30327841267025213,0.2908677389832101,0.27580952476342263,0.0,0.0,0.0
model_n4-2-n8-2-p-max-up-upsample-add-sum-skip1,"[4, 4, 4, 8, 8]",4,64.0,2088,1,max,upsample,sum,1,0.004992442733297745,0.004855535691604018,0.004746261518448591,0.9987837873161053,0.9983648579978421,0.9986488474890072,0.9983648579978421,0.9987837873161053,0.9986488474890072,0.0,0.0,0.0
model_n4-2-n8-2-p-max-up-upsample-add-sum-skip0,"[4, 4, 4, 8, 8]",4,64.0,1988,0,max,upsample,sum,0,0.17546191612879436,0.16886230185627937,0.17464684322476387,0.29082429853514113,0.3027591603389713,0.2762206530149164,0.3027591603389713,0.29082429853514113,0.2762206530149164,0.0,0.0,0.0
model_n4-2-n8-2-p-max-up-transpose-add-cat-skip1,"[4, 4, 4, 8, 8]",4,64.0,2680,1,max,transpose,cat,1,0.016894123082359633,0.014539545634761453,0.015029892325401306,0.9999598264502652,0.9998270893876503,1.0,0.9998270893876503,0.9999598264502652,1.0,0.0,0.0,0.0
model_n4-2-n8-2-p-max-up-transpose-add-cat-skip0,"[4, 4, 4, 8, 8]",4,64.0,2344,0,max,transpose,cat,0,0.15457112987836202,0.15056490153074265,0.15414093807339668,0.2991134673458936,0.32507129858830436,0.28819668552464645,0.32507129858830436,0.2991134673458936,0.28819668552464645,0.0,0.0,0.0
model_n4-2-n8-2-p-max-up-transpose-add-sum-skip1,"[4, 4, 4, 8, 8]",4,64.0,2344,1,max,transpose,sum,1,0.02241872772574425,0.020976186264306307,0.020632494240999222,0.9996365105121785,0.9992968043190423,0.9998182053365403,0.9992968043190423,0.9996365105121785,0.9998182053365403,0.0,0.0,0.0
model_n4-2-n8-2-p-max-up-transpose-add-sum-skip0,"[4, 4, 4, 8, 8]",4,64.0,2344,0,max,transpose,sum,0,0.15457112987836202,0.15056490153074265,0.15414093807339668,0.2991134673458936,0.32507129858830436,0.28819668552464645,0.32507129858830436,0.2991134673458936,0.28819668552464645,0.0,0.0,0.0
model_n4-2-n8-2-p-avg-up-upsample-add-cat-skip1,"[4, 4, 4, 8, 8]",4,64.0,2324,1,avg,upsample,cat,1,0.020974153590699037,0.01896477025002241,0.019683263264596462,0.9983279383563021,0.9988870143324761,0.999397060415209,0.9988870143324761,0.9983279383563021,0.999397060415209,0.0,0.0,0.0
model_n4-2-n8-2-p-avg-up-upsample-add-cat-skip0,"[4, 4, 4, 8, 8]",4,64.0,1988,0,avg,upsample,cat,0,0.17498985528945923,0.1685790717601776,0.17432918027043343,0.29110852988960423,0.30436674983943934,0.27637182459465937,0.30436674983943934,0.29110852988960423,0.27637182459465937,0.0,0.0,0.0
model_n4-2-n8-2-p-avg-up-upsample-add-sum-skip1,"[4, 4, 4, 8, 8]",4,64.0,2088,1,avg,upsample,sum,1,0.005131126753985882,0.004892566590569913,0.004902839660644531,0.9988239608658401,0.9984145847206018,0.9987255145870217,0.9984145847206018,0.9988239608658401,0.9987255145870217,0.0,0.0,0.0
model_n4-2-n8-2-p-avg-up-upsample-add-sum-skip0,"[4, 4, 4, 8, 8]",4,64.0,1988,0,avg,upsample,sum,0,0.1749892716606458,0.16854020580649376,0.17430728673934937,0.2910669878490592,0.3038156905183457,0.27638987132644144,0.3038156905183457,0.2910669878490592,0.27638987132644144,0.0,0.0,0.0
model_n4-2-n8-2-p-avg-up-transpose-add-cat-skip1,"[4, 4, 4, 8, 8]",4,64.0,2680,1,avg,transpose,cat,1,0.02596662410845359,0.022791214752942324,0.021958949975669384,0.9911784629047906,0.9913102411844006,0.9944378604594768,0.9913102411844006,0.9911784629047906,0.9944378604594768,0.0,0.0,0.0
model_n4-2-n8-2-p-avg-up-transpose-add-cat-skip0,"[4, 4, 4, 8, 8]",4,64.0,2344,0,avg,transpose,cat,0,0.15299516320228576,0.14789064973592758,0.15178926289081573,0.3012583926338015,0.3140807403722537,0.2902632735588192,0.3140807403722537,0.3012583926338015,0.2902632735588192,0.0,0.0,0.0
model_n4-2-n8-2-p-avg-up-transpose-add-sum-skip1,"[4, 4, 4, 8, 8]",4,64.0,2344,1,avg,transpose,sum,1,0.01675451233362158,0.015567095018923283,0.015374456997960806,0.9996761250125158,0.9997825719867246,0.9999622071050642,0.9997825719867246,0.9996761250125158,0.9999622071050642,0.0,0.0,0.0
model_n4-2-n8-2-p-avg-up-transpose-add-sum-skip0,"[4, 4, 4, 8, 8]",4,64.0,2344,0,avg,transpose,sum,0,0.15299516320228576,0.14789064973592758,0.15178926289081573,0.3012583926338015,0.3140807403722537,0.2902632735588192,0.3140807403722537,0.3012583926338015,0.2902632735588192,0.0,0.0,0.0
model_n4-2-n8-1-p-max-up-upsample-add-cat-skip1,"[4, 4, 4, 8]",3,128.0,1268,1,max,upsample,cat,1,0.04223646968603134,0.04076555557549,0.04269703198224306,0.910940888098613,0.8062261334033004,0.9049728763844116,0.8062261334033004,0.910940888098613,0.9049728763844116,0.0,0.0,0.0
model_n4-2-n8-1-p-max-up-upsample-add-cat-skip0,"[4, 4, 4, 8]",3,128.0,1124,0,max,upsample,cat,0,0.14688051094611485,0.14189600199460983,0.14707299321889877,0.34821889501681835,0.37193692125713607,0.33286277212586235,0.37193692125713607,0.34821889501681835,0.33286277212586235,0.0,0.0,0.0
model_n4-2-n8-1-p-max-up-upsample-add-sum-skip1,"[4, 4, 4, 8]",3,128.0,1152,1,max,upsample,sum,1,0.05520079284906387,0.053937786258757114,0.056239900179207325,0.76531728999792,0.7771668389210004,0.7571551858783806,0.7771668389210004,0.76531728999792,0.7571551858783806,0.0,0.0,0.0
model_n4-2-n8-1-p-max-up-upsample-add-sum-skip0,"[4, 4, 4, 8]",3,128.0,1124,0,max,upsample,sum,0,0.14702279269695281,0.14189869910478592,0.1468379944562912,0.35136566323328594,0.3723610387249915,0.3374172868290821,0.37236103872499154,0.35136566323328594,0.3374172868290821,0.0,0.0,0.0
model_n4-2-n8-1-p-max-up-transpose-add-cat-skip1,"[4, 4, 4, 8]",3,128.0,1424,1,max,transpose,cat,1,0.05180838045974572,0.0476166233420372,0.046146553941071033,0.9089823504176933,0.8920238548041066,0.9123193013251328,0.8920238548041066,0.9089823504176933,0.9123193013251328,0.0,0.0,0.0
model_n4-2-n8-1-p-max-up-transpose-add-cat-skip0,"[4, 4, 4, 8]",3,128.0,1280,0,max,transpose,cat,0,0.15111494809389114,0.1460394188761711,0.14971283823251724,0.31825378616690997,0.3355776608881237,0.31263870982019226,0.3355776608881237,0.31825378616690997,0.31263870982019226,0.0,0.0,0.0
model_n4-2-n8-1-p-max-up-transpose-add-sum-skip1,"[4, 4, 4, 8]",3,128.0,1280,1,max,transpose,sum,1,0.02230132557451725,0.020103138405829668,0.021192509680986404,0.9925059097947078,0.9940333038681916,0.9938174945461039,0.9940333038681916,0.9925059097947078,0.9938174945461039,0.0,0.0,0.0
model_n4-2-n8-1-p-max-up-transpose-add-sum-skip0,"[4, 4, 4, 8]",3,128.0,1280,0,max,transpose,sum,0,0.15111494809389114,0.1460394188761711,0.14971283823251724,0.31825378616690997,0.3355776608881237,0.31263870982019226,0.3355776608881237,0.31825378616690997,0.31263870982019226,0.0,0.0,0.0
model_n4-2-n8-1-p-avg-up-upsample-add-cat-skip1,"[4, 4, 4, 8]",3,128.0,1268,1,avg,upsample,cat,1,0.03883392115434011,0.03777494188398123,0.03983990289270878,0.9359671916507394,0.8404243737307409,0.9342039038871689,0.8404243737307407,0.9359671916507394,0.9342039038871689,0.0,0.0,0.0
model_n4-2-n8-1-p-avg-up-upsample-add-cat-skip0,"[4, 4, 4, 8]",3,128.0,1124,0,avg,upsample,cat,0,0.14651001542806624,0.14111322537064552,0.1463497243821621,0.3631926371461528,0.379809895364967,0.3397763160274694,0.379809895364967,0.3631926371461528,0.3397763160274694,0.0,0.0,0.0
model_n4-2-n8-1-p-avg-up-upsample-add-sum-skip1,"[4, 4, 4, 8]",3,128.0,1152,1,avg,upsample,sum,1,0.0542862548182408,0.05303495191037655,0.055762093514204025,0.7650319405446617,0.7769169648955929,0.7571163116753018,0.7769169648955929,0.7650319405446617,0.7571163116753017,0.0,0.0,0.0
model_n4-2-n8-1-p-avg-up-upsample-add-sum-skip0,"[4, 4, 4, 8]",3,128.0,1124,0,avg,upsample,sum,0,0.1463740219672521,0.14062883332371712,0.14602063968777657,0.36705210663547716,0.384683414462027,0.3453126871938274,0.384683414462027,0.36705210663547716,0.3453126871938274,0.0,0.0,0.0
model_n4-2-n8-1-p-avg-up-transpose-add-cat-skip1,"[4, 4, 4, 8]",3,128.0,1424,1,avg,transpose,cat,1,0.051187354947129886,0.04654340818524361,0.04532636050134897,0.9175210445567272,0.8937668292271004,0.9180037133695713,0.8937668292271004,0.9175210445567272,0.9180037133695713,0.0,0.0,0.0
model_n4-2-n8-1-p-avg-up-transpose-add-cat-skip0,"[4, 4, 4, 8]",3,128.0,1280,0,avg,transpose,cat,0,0.15136626015106838,0.14539191499352455,0.15026667341589928,0.3315076616934304,0.33985952639242634,0.3063987964929089,0.33985952639242634,0.3315076616934304,0.3063987964929089,0.0,0.0,0.0
model_n4-2-n8-1-p-avg-up-transpose-add-sum-skip1,"[4, 4, 4, 8]",3,128.0,1280,1,avg,transpose,sum,1,0.02781750267992417,0.026205451227724552,0.027335093822330236,0.9744843107979488,0.9733248935272089,0.9779468266167275,0.9733248935272089,0.9744843107979488,0.9779468266167275,0.0,0.0,0.0
model_n4-2-n8-1-p-avg-up-transpose-add-sum-skip0,"[4, 4, 4, 8]",3,128.0,1280,0,avg,transpose,sum,0,0.15136626015106838,0.14539191499352455,0.15026667341589928,0.3315076616934304,0.33985952639242634,0.3063987964929089,0.33985952639242634,0.3315076616934304,0.3063987964929089,0.0,0.0,0.0
model_n4-2-n8-0-p-max-up-upsample-add-cat-skip1,"[4, 4, 4]",2,128.0,716,1,max,upsample,cat,1,0.054679474731286364,0.05271574482321739,0.05429297313094139,0.7676455920861465,0.7787498313470614,0.7578762902854941,0.7787498313470612,0.7676455920861462,0.7578762902854941,0.0,0.0,0.0
model_n4-2-n8-0-p-max-up-upsample-add-cat-skip0,"[4, 4, 4]",2,128.0,620,0,max,upsample,cat,0,0.14716796477635702,0.14265631139278412,0.14662931486964226,0.3682628792628518,0.39101892944283984,0.366110031926565,0.39101892944283984,0.3682628792628518,0.366110031926565,0.0,0.0,0.0
model_n4-2-n8-0-p-max-up-upsample-add-sum-skip1,"[4, 4, 4]",2,128.0,660,1,max,upsample,sum,1,0.08516826803485553,0.07805738970637321,0.07726268284022808,0.705586603625793,0.6942305508661131,0.7191581522874796,0.6942305508661131,0.705586603625793,0.7191581522874796,0.0,0.0,0.0
model_n4-2-n8-0-p-max-up-upsample-add-sum-skip0,"[4, 4, 4]",2,128.0,620,0,max,upsample,sum,0,0.14856721311807633,0.14354459568858147,0.147471372038126,0.37073457028862145,0.388035929936626,0.36252938243122085,0.388035929936626,0.37073457028862145,0.3625293824312208,0.0,0.0,0.0
