run_name,arc_features,arc_skip,arc_num_conv,n_swaps,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
nc-2-n4-2-n8-1-skip1-0,"[4, 4, 4, 4, 8, 8, 8]",0,2,0,,,0.1582421064376831,,,0.6430866437200005,,,0.7492477228366948,,,0.0
nc-2-n4-2-n8-1-skip1-1,"[4, 4, 4, 4, 8, 8, 8]",0,2,1,,,0.15822589956223965,,,0.6430866437200005,,,0.7492477228366948,,,0.0
nc-2-n4-2-n8-1-skip1-2,"[4, 4, 4, 4, 8, 8, 8]",0,2,2,,,0.15814407356083393,,,0.6430814127711422,,,0.7492375569290826,,,0.0
nc-2-n4-2-n8-1-skip1-3,"[4, 4, 4, 4, 8, 8, 8]",0,2,3,,,0.15871050208806992,,,0.6430991498017657,,,0.7492375569290826,,,0.0
nc-2-n4-2-n8-1-skip1-4,"[4, 4, 4, 4, 8, 8, 8]",0,2,4,,,0.15863483399152756,,,0.6431378352382477,,,0.7492782205595315,,,0.0
nc-2-n4-2-n8-1-skip1-5,"[4, 4, 4, 4, 8, 8, 8]",0,2,5,,,0.15832301042973995,,,0.643109624004695,,,0.7492578887443071,,,0.0
nc-2-n4-2-n8-1-skip1-6,"[4, 4, 4, 4, 8, 8, 8]",0,2,6,,,0.1573443002998829,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-1-skip1-7,"[4, 4, 4, 4, 8, 8, 8]",0,2,7,,,0.15770898759365082,,,0.6430395169232264,,,0.7494002114508783,,,0.0
nc-2-n4-2-n8-1-skip1-8,"[4, 4, 4, 4, 8, 8, 8]",0,2,8,,,0.15883653052151203,,,0.6430322967893733,,,0.7491765614834092,,,0.0
nc-2-n4-2-n8-1-skip1-9,"[4, 4, 4, 4, 8, 8, 8]",0,2,9,,,0.15752555057406425,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-1-skip1-10,"[4, 4, 4, 4, 8, 8, 8]",0,2,10,,,0.1576189175248146,,,0.64284530628354,,,0.7498983409238777,,,0.0
nc-2-n4-2-n8-1-skip1-11,"[4, 4, 4, 4, 8, 8, 8]",0,2,11,,,0.15760948695242405,,,0.6428521634056792,,,0.7499898340923878,,,0.0
nc-2-n4-2-n8-1-skip1-12,"[4, 4, 4, 4, 8, 8, 8]",0,2,12,,,0.1575753465294838,,,0.6428521634056792,,,0.7499898340923878,,,0.0
nc-2-n4-2-n8-1-skip1-13,"[4, 4, 4, 4, 8, 8, 8]",0,2,13,,,0.15755567699670792,,,0.64287484678845,,,0.75,,,0.0
nc-2-n4-2-n8-1-skip1-14,"[4, 4, 4, 4, 8, 8, 8]",0,2,14,,,0.15834111161530018,,,0.6430489033279945,,,0.7492782205595315,,,0.0
nc-2-n4-2-n8-1-skip1-15,"[4, 4, 4, 4, 8, 8, 8]",0,2,15,,,0.15763312950730324,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-1-skip1-16,"[4, 4, 4, 4, 8, 8, 8]",0,2,16,,,0.15784902125597,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-1-skip1-17,"[4, 4, 4, 4, 8, 8, 8]",0,2,17,,,0.15800621546804905,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-1-skip1-18,"[4, 4, 4, 4, 8, 8, 8]",0,2,18,,,0.1580493003129959,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-1-skip1-19,"[4, 4, 4, 4, 8, 8, 8]",0,2,19,,,0.15766993537545204,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-1-skip1-20,"[4, 4, 4, 4, 8, 8, 8]",0,2,20,,,0.157666377723217,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-1-skip1-21,"[4, 4, 4, 4, 8, 8, 8]",0,2,21,,,0.1579130869358778,,,0.6429196027173778,,,0.7499546970136272,,,0.0
nc-2-n4-2-n8-1-skip1-22,"[4, 4, 4, 4, 8, 8, 8]",0,2,22,,,0.15782758593559265,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-1-skip1-23,"[4, 4, 4, 4, 8, 8, 8]",0,2,23,,,0.1585368774831295,,,0.6431481583723637,,,0.7489611314134599,,,0.0
nc-2-n4-2-n8-1-skip1-24,"[4, 4, 4, 4, 8, 8, 8]",0,2,24,,,0.15749341435730457,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-1-skip1-25,"[4, 4, 4, 4, 8, 8, 8]",0,2,25,,,0.16330857016146183,,,0.6431941663649303,,,0.7491155660377359,,,0.0
nc-2-n4-2-n8-1-skip1-26,"[4, 4, 4, 4, 8, 8, 8]",0,2,26,,,0.15767954103648663,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-1-skip1-27,"[4, 4, 4, 4, 8, 8, 8]",0,2,27,,,0.15812251530587673,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-1-skip1-28,"[4, 4, 4, 4, 8, 8, 8]",0,2,28,,,0.15757491439580917,,,0.6428541664377831,,,0.7497255204944697,,,0.0
nc-2-n4-2-n8-1-skip1-29,"[4, 4, 4, 4, 8, 8, 8]",0,2,29,,,0.15794636867940426,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-1-skip1-30,"[4, 4, 4, 4, 8, 8, 8]",0,2,30,,,0.15857510082423687,,,0.6430904114857909,,,0.7494110611771527,,,0.0
nc-2-n4-2-n8-1-skip1,"[4, 4, 4, 4, 8, 8, 8]",0,2,0,0.15977063154180846,0.15208124688693456,,0.6428364653620025,0.6428565189178399,,0.7499987261795577,0.7495184854606097,,0.0,0.0,
nc-2-n4-2-n8-0-skip1-0,"[4, 4, 4, 4, 8, 8, 8]",0,2,0,,,0.15856808423995972,,,0.6429052495726408,,,0.7500203318152245,,,0.0
nc-2-n4-2-n8-0-skip1-1,"[4, 4, 4, 4, 8, 8, 8]",0,2,1,,,0.15838541835546494,,,0.6429052495726408,,,0.7500203318152245,,,0.0
nc-2-n4-2-n8-0-skip1-2,"[4, 4, 4, 4, 8, 8, 8]",0,2,2,,,0.15861216560006142,,,0.6429292836410208,,,0.7500304977228367,,,0.0
nc-2-n4-2-n8-0-skip1-3,"[4, 4, 4, 4, 8, 8, 8]",0,2,3,,,0.15851385332643986,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-0-skip1-4,"[4, 4, 4, 4, 8, 8, 8]",0,2,4,,,0.15844354592263699,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-0-skip1-5,"[4, 4, 4, 4, 8, 8, 8]",0,2,5,,,0.15852726809680462,,,0.6429436796624155,,,0.750029392412499,,,0.0
nc-2-n4-2-n8-0-skip1-6,"[4, 4, 4, 4, 8, 8, 8]",0,2,6,,,0.15855871699750423,,,0.6428879775269378,,,0.7499905389040267,,,0.0
nc-2-n4-2-n8-0-skip1-7,"[4, 4, 4, 4, 8, 8, 8]",0,2,7,,,0.15850665047764778,,,0.6429242842187533,,,0.7500203318152245,,,0.0
nc-2-n4-2-n8-0-skip1-8,"[4, 4, 4, 4, 8, 8, 8]",0,2,8,,,0.15867001004517078,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-0-skip1-9,"[4, 4, 4, 4, 8, 8, 8]",0,2,9,,,0.15849633514881134,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-0-skip1-10,"[4, 4, 4, 4, 8, 8, 8]",0,2,10,,,0.15874876268208027,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-0-skip1-11,"[4, 4, 4, 4, 8, 8, 8]",0,2,11,,,0.15864804200828075,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-0-skip1-12,"[4, 4, 4, 4, 8, 8, 8]",0,2,12,,,0.15870963409543037,,,0.6430963362886399,,,0.7499170768399923,,,0.0
nc-2-n4-2-n8-0-skip1-13,"[4, 4, 4, 4, 8, 8, 8]",0,2,13,,,0.1586864683777094,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-0-skip1-14,"[4, 4, 4, 4, 8, 8, 8]",0,2,14,,,0.15871358662843704,,,0.6428571428571428,,,0.75,,,0.0
nc-2-n4-2-n8-0-skip1-15,"[4, 4, 4, 4, 8, 8, 8]",0,2,15,,,0.15879972279071808,,,0.6428702190376303,,,0.7499905646135265,,,0.0
nc-2-n4-2-n8-0-skip1-16,"[4, 4, 4, 4, 8, 8, 8]",0,2,16,,,0.15894745104014874,,,0.6428571428571428,,,0.75,,,0.0
