train_loss,train_f1,val_loss,val_f1
0.12372077521350648,0.009465032704388034,0.07379556819796562,0.018269327536244828
0.05932685879093629,0.1656986938646607,0.05349805764853954,0.11908726990291456
0.04142848108377722,0.3631024569328042,0.04186679422855377,0.2526189505673813
0.033044564737765875,0.46377461445362095,0.0354201989248395,0.3441439052825168
0.028549377847876815,0.5162338622756893,0.031695879995822906,0.39537164025608273
0.026051701391460718,0.548664391037474,0.029636014718562365,0.42785210996276024
0.023595675287975206,0.5758630387796556,0.028052530717104673,0.45002598856193465
0.022661772377237127,0.5900817029949951,0.027133330702781677,0.45522055298443564
0.02214781460524709,0.6030543256089851,0.025968169793486595,0.47410054404366686
0.02072399110291843,0.6157200689302567,0.025269922567531466,0.4856513625105604
0.019523546092764094,0.6314007470710907,0.025051554199308157,0.4833865050822893
0.018240585109149967,0.6419961468747564,0.024607818573713303,0.4994780940230754
0.017439670336467247,0.6550896330642845,0.0249618673697114,0.5176080247050208
0.017007388391842446,0.6642741671265372,0.025198053335770965,0.5138124125082327
0.016419573918122935,0.6760065102076018,0.025214572437107563,0.4961935996867884
