epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.9771,0.0005,0.8295,0.8440,0.0316
1,0.9799,0.0005,0.8255,0.8284,0.0402
2,0.9654,0.0008,0.8160,0.8429,0.0275
3,0.9740,0.0006,0.8310,0.8369,0.0443
4,0.9786,0.0005,0.7965,0.8045,0.0528
