train_loss,train_f1,val_loss,val_f1
0.12232462328126412,0.008105575390069834,0.051879500763283834,0.004239029228734054
0.060129181972441784,0.10192746879505785,0.04194880649447441,0.05348621535881573
0.05166274943310796,0.17708954359477788,0.03845115130146345,0.10823677903132417
0.04910921006826044,0.2139725997241795,0.03613721289568477,0.11975296873293144
0.04583082837230377,0.24142621549434046,0.03552102463112937,0.12624944902441554
0.04483076611547979,0.25922982831185815,0.034074817266729146,0.1423139853681096
0.04395888279412539,0.26923490546324225,0.03390923597746425,0.1419266686947152
0.04433983783344276,0.2727801280222443,0.03367775513066186,0.14226921899471656
0.042192421128390396,0.28658151924865444,0.03351510316133499,0.14025311654581218
0.04153610067797526,0.29209565825518596,0.03479757242732578,0.12957611303482727
0.04173747693252473,0.2892310866348296,0.03318421790997187,0.14445458558524538
0.04128935055821451,0.30161694801900196,0.03294467884633276,0.14132349606200695
0.04070054782369665,0.301821046406196,0.033249009400606155,0.1441813488890799
0.039351943283135654,0.3093829020278238,0.0330548050502936,0.1411473258246987
0.03965678085921375,0.31150473318340394,0.03341301323639022,0.14625540517502347
