epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.4766,0.0407,0.6247,0.6974,0.0254
1,0.6565,0.0212,0.7742,0.7862,0.0217
2,0.7276,0.0159,0.7307,0.8154,0.0142
3,0.7819,0.0122,0.8006,0.8487,0.0130
4,0.8226,0.0092,0.8427,0.8486,0.0184
