train_loss,train_f1,val_loss,val_f1
0.14474293200129812,0.03225403702163167,0.05920807553226488,0.032891180267842976
0.060083879214344604,0.1825415875285062,0.048146809990468775,0.17585186325376587
0.05421104957584781,0.24829004810531677,0.04510670145483393,0.19850274978714788
0.04915423629184564,0.280524975559543,0.042763167371352516,0.21436634906462
0.04776058718562126,0.2981262156660714,0.04249529047101213,0.21348235457095222
0.04753045815823957,0.30567254883004863,0.04218649191030285,0.21814588426094686
0.045115708439338084,0.31642387149962703,0.04130568296501511,0.2158307088585413
0.04461374496006303,0.3255971789811968,0.04215796576126626,0.21953747057992637
0.044958653003729955,0.32865889190820774,0.041670143734990506,0.2195919820020916
0.04354925998345469,0.334044663260914,0.04122555824486833,0.2180210864532781
0.04401874561050926,0.33946108527155555,0.04144657027433839,0.20193879317736402
0.04389992048681685,0.33749439794362096,0.0415247439880643,0.21235903868155293
0.04332601095577984,0.343635138848344,0.041776899771209346,0.2183744756658585
0.042180978805955616,0.35190716136598177,0.041353405469603706,0.21185840453378116
0.04087634695072969,0.3589903045527719,0.041054615652874896,0.2228113224554577
