epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.9322,0.0014,0.6044,0.6128,0.0664
1,0.9150,0.0020,0.6096,0.6154,0.0619
2,0.9311,0.0016,0.5318,0.6035,0.0467
3,0.8982,0.0025,0.6246,0.6392,0.0539
4,0.9611,0.0008,0.6256,0.6401,0.0627
