epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.2193,0.0675,0.3308,0.3299,0.0499
1,0.3541,0.0333,0.3824,0.4133,0.0387
2,0.3968,0.0303,0.4242,0.4385,0.0389
3,0.4327,0.0276,0.4441,0.4957,0.0313
4,0.4570,0.0257,0.4615,0.4884,0.0339
