run_name,exp,run,arc_features,arc_num_conv,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
enc_f64_64_64,SeqEncoder_srp,enc_f64_64_64,"[64, 64, 64]",2,325697,0.011293893679976463,0.02655519638210535,0.33099398016929626,0.9697663921879677,0.9875092371598436,0.5677119633171946,0.9859942311416211,0.9659126184072576,0.540724852693294,0.0,0.0,0.0
enc_f32_64_64,SeqEncoder_srp,enc_f32_64_64,"[32, 64, 64]",2,309761,0.012322081840070694,0.02752301065872113,0.3303338624536991,0.9690193925195233,0.9865616816775511,0.5558755372792089,0.9849239566450162,0.9650522146401772,0.5382169342397203,0.0,0.0,0.0
enc_f32_32_64,SeqEncoder_srp,enc_f32_32_64,"[32, 32, 64]",2,291137,0.013740151189267635,0.030853725659350555,0.33740124106407166,0.9649712986600516,0.9848891782521755,0.5591723245921695,0.9830088044190779,0.9604458146173345,0.5261735942295273,0.0,0.0,0.0
enc_f32_32_32,SeqEncoder_srp,enc_f32_32_32,"[32, 32, 32]",2,147553,0.01141022392751082,0.02900324606647094,0.3338925875723362,0.9663721943437449,0.9870981628082988,0.5441612048394447,0.9855448860765498,0.9621765868782671,0.5290364983850152,0.0,0.0,0.0
enc_f16_64_64,SeqEncoder_srp,enc_f16_64_64,"[16, 64, 64]",2,304097,0.02156123506796101,0.03567500443508228,0.3270452506840229,0.9599916094362206,0.9762030230856055,0.5586529436935649,0.9732562270577282,0.9548595033938194,0.5444504894307198,0.0,0.0,0.0
enc_f16_32_64,SeqEncoder_srp,enc_f16_32_64,"[16, 32, 64]",2,287009,0.01857510026868271,0.03567527700215578,0.3247339688241482,0.9597926279132828,0.9798227233270566,0.5747031017737997,0.977351211939771,0.9547132806417542,0.5487328717296361,0.0,0.0,0.0
enc_f16_32_32,SeqEncoder_srp,enc_f16_32_32,"[16, 32, 32]",2,143425,0.012987658583923527,0.030421340217192967,0.3472626060247421,0.965049894228618,0.9855729937186843,0.546425591919904,0.983817184862558,0.9605928951683039,0.5265930345426397,0.0,0.0,0.0
enc_f16_16_64,SeqEncoder_srp,enc_f16_16_64,"[16, 16, 64]",2,280769,0.013682821198650028,0.032842530868947506,0.33261940255761147,0.9621056705083374,0.9848284702748132,0.5457330860013511,0.9830364508968792,0.95753334747634,0.5313489979416798,0.0,0.0,0.0
enc_f16_16_32,SeqEncoder_srp,enc_f16_16_32,"[16, 16, 32]",2,138721,0.012340710295931152,0.03103821724653244,0.340140737593174,0.9639903280429061,0.9861925042935458,0.5521912059319901,0.984478783815021,0.9593420119234883,0.5286130626368039,0.0,0.0,0.0
enc_f16_16_16,SeqEncoder_srp,enc_f16_16_16,"[16, 16, 16]",2,70001,0.009306789456826189,0.028584602909783523,0.3458724021911621,0.9671836356831588,0.9896251883137552,0.5638260362654615,0.9883378019295346,0.9630557545053842,0.5344991112930952,0.0,0.0,0.0
enc_f8_64_64,SeqEncoder_srp,enc_f8_64_64,"[8, 64, 64]",2,301841,0.013452382069890913,0.029824403425057728,0.3271377868950367,0.96637536454482,0.9852598536418963,0.5637542123782633,0.9834560270380736,0.9620503148645371,0.5408407237649814,0.0,0.0,0.0
enc_f8_32_64,SeqEncoder_srp,enc_f8_32_64,"[8, 32, 64]",2,285521,0.02322780114153157,0.03887324966490269,0.346765972673893,0.9568335301662759,0.9745029132886722,0.5347761341369445,0.9715001539912894,0.9515026606647092,0.5222787068336576,0.0,0.0,0.0
enc_f8_32_32,SeqEncoder_srp,enc_f8_32_32,"[8, 32, 32]",2,141937,0.009394816082456837,0.02901519990215699,0.32265208289027214,0.966008796773342,0.9895761278003785,0.5570064784491284,0.9882941249047426,0.9616645058107701,0.5419221734165556,0.0,0.0,0.0
enc_f8_16_64,SeqEncoder_srp,enc_f8_16_64,"[8, 16, 64]",2,279665,0.01612992856003668,0.033938625206549965,0.34738126769661903,0.9616044838855271,0.9822520918283814,0.5472875065863805,0.9801432445448333,0.9567720504185151,0.5263011030835916,0.0,0.0,0.0
enc_f8_16_32,SeqEncoder_srp,enc_f8_16_32,"[8, 16, 32]",2,137617,0.012128808414158613,0.02959945642699798,0.3385983631014824,0.9661172990311386,0.986604283367435,0.5392383820799537,0.9849638490802873,0.961818119904494,0.5241278032324231,0.0,0.0,0.0
enc_f8_16_16,SeqEncoder_srp,enc_f8_16_16,"[8, 16, 16]",2,68897,0.012505834962686768,0.03091890551149845,0.32977817580103874,0.9646728697872907,0.9861923709066336,0.56424465740678,0.9845073620314054,0.9602071143644378,0.5398050611599773,0.0,0.0,0.0
enc_f8_8_64,SeqEncoder_srp,enc_f8_8_64,"[8, 8, 64]",2,277313,0.016296381576229698,0.034359821739296116,0.3321988359093666,0.9613524936782492,0.9821049175613126,0.550458174286181,0.9799094316275582,0.9564771484552904,0.5377446799906684,0.0,0.0,0.0
enc_f8_8_32,SeqEncoder_srp,enc_f8_8_32,"[8, 8, 32]",2,136033,0.011811738428862198,0.03178125930329164,0.3459025099873543,0.9635692082179951,0.9870080687880265,0.532596037772879,0.9854286426440223,0.958983582965586,0.5165822352387481,0.0,0.0,0.0
enc_f8_8_16,SeqEncoder_srp,enc_f8_8_16,"[8, 8, 16]",2,67697,0.008680852717193573,0.0285102737446626,0.31993402540683746,0.9671717225374185,0.9902736075352203,0.574060715825901,0.9890686173968435,0.9629334183790861,0.5450203891289738,0.0,0.0,0.0
enc_f8_8_8,SeqEncoder_srp,enc_f8_8_8,"[8, 8, 8]",2,34105,0.012727062906260076,0.031778097773591675,0.3201804384589195,0.9632631053190757,0.9858007405189805,0.5667876700808654,0.9840492140484275,0.9585700117190417,0.5426755983531061,0.0,0.0,0.0
enc_f4_64_64,SeqEncoder_srp,enc_f4_64_64,"[4, 64, 64]",2,300857,0.010739218119693838,0.02982450897494952,0.34230536222457886,0.96583892167407,0.9881162588085471,0.5309651818021669,0.9866574611660429,0.9614615554873325,0.5189404585438073,0.0,0.0,0.0
enc_f4_32_64,SeqEncoder_srp,enc_f4_32_64,"[4, 32, 64]",2,284921,0.01536722412413877,0.032696016443272434,0.34085866436362267,0.9627536607372152,0.9829087037516694,0.5611810642696494,0.9808259643114752,0.9580556571640052,0.5350427877352715,0.0,0.0,0.0
enc_f4_32_32,SeqEncoder_srp,enc_f4_32_32,"[4, 32, 32]",2,141337,0.014552715112981588,0.0315064104894797,0.33746954053640366,0.9637313755187553,0.9838210306160022,0.542854592837866,0.9818686706945536,0.9592290028312097,0.5261945913413488,0.0,0.0,0.0
enc_f4_16_64,SeqEncoder_srp,enc_f4_16_64,"[4, 16, 64]",2,279257,0.011509149659263052,0.028887824155390263,0.33823246136307716,0.9672436634846026,0.9872582225641561,0.5595445724641961,0.9856894637368465,0.9630388363003269,0.5412474725749955,0.0,0.0,0.0
enc_f4_16_32,SeqEncoder_srp,enc_f4_16_32,"[4, 16, 32]",2,137209,0.014200608893904997,0.03235531784594059,0.33998651057481766,0.9631613597650744,0.9843658564506308,0.5496828613196143,0.9824772000180187,0.9585389742398284,0.5281450041863727,0.0,0.0,0.0
enc_f4_16_16,SeqEncoder_srp,enc_f4_16_16,"[4, 16, 16]",2,68489,0.015161718322854975,0.03430059334884087,0.34885837882757187,0.9612637792794797,0.9833011782366242,0.5370352350976697,0.9813062453419181,0.9564824082469275,0.5194437792465819,0.0,0.0,0.0
enc_f4_8_64,SeqEncoder_srp,enc_f4_8_64,"[4, 8, 64]",2,277001,0.013353186619022617,0.03210023635377487,0.3360903598368168,0.9630574779499895,0.9850398539093778,0.5460916120478355,0.9832319250051217,0.9584459838280117,0.5358436244632623,0.0,0.0,0.0
enc_f4_8_32,SeqEncoder_srp,enc_f4_8_32,"[4, 8, 32]",2,135721,0.009165465588802877,0.02760640283425649,0.34640398994088173,0.968058044775782,0.9898013741699193,0.5504826852351786,0.988544331651925,0.9639746013980197,0.5264721960485069,0.0,0.0,0.0
enc_f4_8_16,SeqEncoder_srp,enc_f4_8_16,"[4, 8, 16]",2,67385,0.009862054240606401,0.0297102735688289,0.31808726117014885,0.96563267972541,0.9889636995993688,0.5697260606734426,0.9875957406148816,0.961226444193921,0.540610250285769,0.0,0.0,0.0
enc_f4_8_8,SeqEncoder_srp,enc_f4_8_8,"[4, 8, 8]",2,33793,0.011345980648437271,0.03501949552446604,0.35909340530633926,0.9599206539370305,0.9871532812507623,0.5555013574608045,0.9855681692977702,0.9548105295560102,0.5222349914216974,0.0,0.0,0.0
enc_f4_4_64,SeqEncoder_srp,enc_f4_4_64,"[4, 4, 64]",2,276017,0.016499283521071724,0.038407016545534134,0.3471399210393429,0.9559424628464157,0.9817298504742648,0.5205240933879316,0.979580415774408,0.9505998898690372,0.5185060694611061,0.0,0.0,0.0
enc_f4_4_32,SeqEncoder_srp,enc_f4_4_32,"[4, 4, 32]",2,135121,0.011768110946792623,0.03172463706384102,0.3403858132660389,0.9631551214899646,0.9868795746470106,0.5456164349515327,0.9852680504742125,0.9584542839731935,0.5263634307890157,0.0,0.0,0.0
enc_f4_4_16,SeqEncoder_srp,enc_f4_4_16,"[4, 4, 16]",2,66977,0.014130179324875708,0.03579477903743585,0.3451540768146515,0.9584613295665937,0.9842791262621461,0.5450637260991829,0.9823416884786369,0.9531500295168364,0.5210666820244664,0.0,0.0,0.0
enc_f4_4_8,SeqEncoder_srp,enc_f4_4_8,"[4, 4, 8]",2,33481,0.02215886358981547,0.04367487691342831,0.34715792909264565,0.9510212059464936,0.975266805316872,0.5324260102066248,0.97227467539103,0.9449243002648481,0.5175019124121661,0.0,0.0,0.0
enc_f4_4_4,SeqEncoder_srp,enc_f4_4_4,"[4, 4, 4]",2,16877,0.018639849255914272,0.03784060074637333,0.3485870957374573,0.9565301304495772,0.9790050883200204,0.5436288382337768,0.9763703915499625,0.9509705108731774,0.5155444517429073,0.0,0.0,0.0
enc_f64_64,SeqEncoder_srp,enc_f64_64,"[64, 64]",2,562881,0.07180695008972417,0.0794484131038189,0.36751382425427437,0.9137011110641021,0.9217069644094904,0.5293366964304609,0.9136113927857921,0.9044664794144222,0.5137369767944646,0.0,0.0,0.0
enc_f32_64,SeqEncoder_srp,enc_f32_64,"[32, 64]",2,546945,0.008154202556318563,0.023760302923619747,0.3129020743072033,0.9729161022018497,0.9911538007160191,0.5501046713524963,0.9900783438311683,0.9694947836312142,0.5374918476238515,0.0,0.0,0.0
enc_f32_32,SeqEncoder_srp,enc_f32_32,"[32, 32]",2,272289,0.006406845443922541,0.023847322290142376,0.31607652455568314,0.9725657692444627,0.993008736869899,0.5394795115309889,0.9921510303981043,0.9690950607037742,0.5288141208813346,0.0,0.0,0.0
enc_f16_64,SeqEncoder_srp,enc_f16_64,"[16, 64]",2,541281,0.10027901893076689,0.10662941510478656,0.3627701364457607,0.8854403138482154,0.8911534241897761,0.5515937433129325,0.8792912989853352,0.872484993052519,0.5253686500629405,0.0,0.0,0.0
enc_f16_32,SeqEncoder_srp,enc_f16_32,"[16, 32]",2,268161,0.01674812489553638,0.032591965049505234,0.3380068801343441,0.9640769070058202,0.9818390101489306,0.550558475942766,0.9796230314530261,0.959546560411166,0.5335673843146952,0.0,0.0,0.0
enc_f16_16,SeqEncoder_srp,enc_f16_16,"[16, 16]",2,133905,0.012303182895740738,0.029190954752266407,0.34099340811371803,0.9672872479355591,0.98659269600741,0.5411894611384462,0.9849610706514553,0.9631208654467448,0.5235597560514129,0.0,0.0,0.0
enc_f8_64,SeqEncoder_srp,enc_f8_64,"[8, 64]",2,539025,0.09609401906314104,0.10192093128959338,0.35931094363331795,0.8917564671386248,0.897035878506006,0.5512225625662414,0.8844280824427166,0.8781365699512292,0.5298749999316787,0.0,0.0,0.0
enc_f8_32,SeqEncoder_srp,enc_f8_32,"[8, 32]",2,266673,0.00966313906499873,0.025705904078980286,0.3374023213982582,0.9711637610207813,0.9895178364084651,0.5506281954185765,0.9882228083110063,0.9674660128072281,0.530689285122616,0.0,0.0,0.0
enc_f8_16,SeqEncoder_srp,enc_f8_16,"[8, 16]",2,132801,0.01090612315127383,0.02961443488796552,0.3337083160877228,0.9666030846216772,0.9880547928592381,0.5562888431718146,0.9866110147694546,0.9624180178478735,0.5350973317061488,0.0,0.0,0.0
enc_f8_8,SeqEncoder_srp,enc_f8_8,"[8, 8]",2,66441,0.021559870437435482,0.04066862817853689,0.34607044234871864,0.955240210588145,0.976648762065818,0.5436747406627666,0.973921744746132,0.9498972858999472,0.5276976480802499,0.0,0.0,0.0
enc_f4_64,SeqEncoder_srp,enc_f4_64,"[4, 64]",2,538041,0.1012111150700113,0.10795092831055324,0.3543437086045742,0.8838259337968699,0.8903485965043695,0.5569432810111712,0.8781103876553836,0.8703726439225085,0.5312196325315945,0.0,0.0,0.0
enc_f4_32,SeqEncoder_srp,enc_f4_32,"[4, 32]",2,266073,0.017361953328161137,0.0344542662302653,0.34860770031809807,0.9621149165678057,0.981189351884683,0.5493239750404996,0.9789010628340545,0.9572638156789481,0.5256920472369571,0.0,0.0,0.0
enc_f4_16,SeqEncoder_srp,enc_f4_16,"[4, 16]",2,132393,0.011169091676888258,0.031389694971342884,0.3424960859119892,0.9641861415474402,0.9878644512712321,0.5383484244081689,0.9863981321988619,0.9597866473062644,0.5236098662834451,0.0,0.0,0.0
enc_f4_8,SeqEncoder_srp,enc_f4_8,"[4, 8]",2,66129,0.012290514276727386,0.030836216484506924,0.34580443799495697,0.9656530324467356,0.9866216405281036,0.5557518858219376,0.9849436938068711,0.9612095792198024,0.5319946237396447,0.0,0.0,0.0
enc_f4_4,SeqEncoder_srp,enc_f4_4,"[4, 4]",2,33141,0.03396929581852063,0.05214026508231958,0.35550323128700256,0.9432729238461007,0.9631732529735074,0.5431094675684608,0.9588936372612022,0.9364435696464583,0.5301417047784175,0.0,0.0,0.0
