epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.2564,0.0553,0.3007,0.3797,0.0459
1,0.3892,0.0301,0.4545,0.4780,0.0338
2,0.4591,0.0256,0.5040,0.5539,0.0266
3,0.5022,0.0228,0.5386,0.5460,0.0313
4,0.5435,0.0208,0.4645,0.4645,0.0400
