epoch,train_f1,train_loss,valid_f1,valid_f1_post,valid_loss
0,0.5313,0.0219,0.5423,0.6143,0.0240
1,0.5827,0.0179,0.6170,0.6414,0.0273
2,0.6355,0.0148,0.6503,0.6702,0.0249
3,0.6776,0.0124,0.6676,0.6808,0.0286
4,0.7271,0.0097,0.6954,0.7166,0.0248
5,0.7646,0.0079,0.5883,0.6945,0.0205
