run_name,exp,run,arc_features,arc_skip,arc_encoder_blocks,arc_num_conv,arc_latent_volume,arc_num_params,train_loss,valid_loss,test_loss,valid_F1,train_F1,test_F1,train_Accuracy,valid_Accuracy,test_Accuracy,train_Accuracy_seq,valid_Accuracy_seq,test_Accuracy_seq
s2m_skip1_f64_64_64,Seq2Motif_srp,s2m_skip1_f64_64_64,"[64, 64, 64]",1,2,2,2048.0,162625,0.00946881998654293,0.024697904475033283,0.28764157742261887,0.9693488001808915,0.9884102232628618,0.6025510624557313,0.9869857582449657,0.965557460058934,0.5620068398303094,0.0,0.0,0.0
s2m_skip0_f64_64_64,Seq2Motif_srp,s2m_skip0_f64_64_64,"[64, 64, 64]",0,2,2,2048.0,138049,0.014164291524692722,0.0276118287195762,0.2774118632078171,0.965407396338033,0.9823101522662934,0.5958727379553352,0.9800906582598152,0.9608806641210905,0.5528659968073607,0.0,0.0,0.0
s2m_skip1_f32_64_64,Seq2Motif_srp,s2m_skip1_f32_64_64,"[32, 64, 64]",1,2,2,2048.0,112641,0.009651912497761457,0.023838040108482044,0.28897490724921227,0.970835693440251,0.9884366649664108,0.5890053993881985,0.987010011996319,0.9670156097011589,0.551257170535503,0.0,0.0,0.0
s2m_skip0_f32_64_64,Seq2Motif_srp,s2m_skip0_f32_64_64,"[32, 64, 64]",0,2,2,2048.0,97281,0.011008164885899296,0.027200278205176193,0.29306742548942566,0.966389087169036,0.9865941178324235,0.575700661386593,0.9849244765807292,0.962181042959063,0.5451858343845737,0.0,0.0,0.0
s2m_skip1_f32_32_64,Seq2Motif_srp,s2m_skip1_f32_32_64,"[32, 32, 64]",1,2,2,2048.0,56929,0.01132481395388427,0.0252508328606685,0.2872183471918106,0.9686925993141332,0.9861471299084109,0.5948239142269849,0.9844327466178582,0.9644529498982094,0.5599948643654168,0.0,0.0,0.0
s2m_skip0_f32_32_64,Seq2Motif_srp,s2m_skip0_f32_32_64,"[32, 32, 64]",0,2,2,2048.0,50785,0.01376683131346236,0.026719626349707443,0.2921300455927849,0.9664490949897192,0.9831454920635609,0.5786759544787113,0.9810247213605355,0.9621649600994174,0.5385518990348941,0.0,0.0,0.0
s2m_skip1_f32_32_32,Seq2Motif_srp,s2m_skip1_f32_32_32,"[32, 32, 32]",1,2,2,1024.0,41377,0.010783258906525114,0.02618250095595916,0.28510141745209694,0.967639077351044,0.9867883155324647,0.61007779541836,0.9851559021338143,0.9635039825897359,0.5606445461894769,0.0,0.0,0.0
s2m_skip0_f32_32_32,Seq2Motif_srp,s2m_skip0_f32_32_32,"[32, 32, 32]",0,2,2,1024.0,35233,0.015900108396359112,0.02958331195016702,0.28284353762865067,0.9626114387321708,0.9801478099820219,0.5991865222265835,0.9776428817596482,0.9576638836783472,0.5483626128673533,0.0,0.0,0.0
s2m_skip1_f16_64_64,Seq2Motif_srp,s2m_skip1_f16_64_64,"[16, 64, 64]",1,2,2,2048.0,96865,0.012641865274180536,0.028157166826228302,0.2688165456056595,0.9650252927907746,0.9842287741425101,0.6348692063997415,0.9822724005906482,0.9605008773570924,0.581178750767813,0.0,0.0,0.0
s2m_skip0_f16_64_64,Seq2Motif_srp,s2m_skip0_f16_64_64,"[16, 64, 64]",0,2,2,2048.0,83809,0.016067230952498707,0.03214462287724018,0.2831447198987007,0.9590557102913045,0.9800159334893187,0.567099104487508,0.9774944321287925,0.9536974513662938,0.542382494806151,0.0,0.0,0.0
s2m_skip1_f16_32_64,Seq2Motif_srp,s2m_skip1_f16_32_64,"[16, 32, 64]",1,2,2,2048.0,44225,0.01367074141845755,0.02767933315287034,0.2748478390276432,0.9654976532475757,0.982978844388361,0.6269669773459566,0.9808641973240902,0.9610992142198559,0.5769185657330549,0.0,0.0,0.0
s2m_skip0_f16_32_64,Seq2Motif_srp,s2m_skip0_f16_32_64,"[16, 32, 64]",0,2,2,2048.0,40385,0.012906152755022049,0.028444360941648483,0.29116201400756836,0.9645707681703564,0.9839148610510766,0.565010584283336,0.9819168096403673,0.9601426839672368,0.5440404747026244,0.0,0.0,0.0
s2m_skip1_f16_32_32,Seq2Motif_srp,s2m_skip1_f16_32_32,"[16, 32, 32]",1,2,2,1024.0,28673,0.0112062758239715,0.02793584515651067,0.2839176319539547,0.9651310292185181,0.986119969570583,0.6087791666046487,0.984402834012393,0.961003482614936,0.5616574360915956,0.0,0.0,0.0
s2m_skip0_f16_32_32,Seq2Motif_srp,s2m_skip0_f16_32_32,"[16, 32, 32]",0,2,2,1024.0,24833,0.017556227095749066,0.03141973198701938,0.28682930395007133,0.9594429467170879,0.9777018000875598,0.5658919078276076,0.974873098968108,0.954540818566099,0.5409625095585556,0.0,0.0,0.0
s2m_skip1_f16_16_64,Seq2Motif_srp,s2m_skip1_f16_16_64,"[16, 16, 64]",1,2,2,2048.0,27121,0.01294674116956151,0.026509925723075867,0.2793232575058937,0.9673547543412023,0.983929429681659,0.6104262608892301,0.981929683708268,0.9631638407771536,0.5687110844356984,0.0,0.0,0.0
s2m_skip0_f16_16_64,Seq2Motif_srp,s2m_skip0_f16_16_64,"[16, 16, 64]",0,2,2,2048.0,25585,0.016311205883064995,0.030397204371790092,0.2836156375706196,0.9612885852211358,0.9795378797801562,0.573993300469601,0.9769538748588539,0.9561207174381621,0.5468883965430615,0.0,0.0,0.0
s2m_skip1_f16_16_32,Seq2Motif_srp,s2m_skip1_f16_16_32,"[16, 16, 32]",1,2,2,1024.0,14641,0.014501826837658882,0.02718150398383538,0.27636605128645897,0.9661121039636749,0.9818379909411579,0.6316680572751522,0.9795721725507519,0.9616003540053103,0.5712008697455836,0.0,0.0,0.0
